from date,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
01-Jan-2018 - 00:00,8.17,-0.28,186.49,72.67,755.17,93.03,4.25,27.34,0.0,12.15,286.96,23.91,26.5,0.04,0.64,18.81,15.95,2.44,5.2,2.27,8.06,02-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Jan-2018 - 00:00,,0.36,210.12,83.79,,78.17,15.94,43.71,0.0,14.3,251.29,23.59,,0.0,0.69,8.2,7.07,1.42,2.08,0.86,4.21,03-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Jan-2018 - 00:00,,0.4,239.58,83.44,,85.12,14.93,48.19,0.0,14.19,222.42,18.23,,0.0,0.71,6.44,4.91,0.94,1.28,0.48,3.72,04-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Jan-2018 - 00:00,,0.12,195.57,55.8,,92.22,14.84,54.4,0.0,17.99,200.82,14.86,,0.0,0.73,7.72,8.37,1.59,2.17,0.98,5.23,05-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Jan-2018 - 00:00,,0.58,153.39,67.84,,81.4,16.52,55.74,0.0,16.07,226.09,15.21,,0.0,0.75,7.99,7.62,1.54,2.62,0.97,4.38,06-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Jan-2018 - 00:00,,0.41,231.87,74.72,,89.81,31.75,48.83,0.0,15.32,257.14,14.58,,0.0,0.63,15.75,16.46,2.84,5.61,2.56,7.33,07-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Jan-2018 - 00:00,,0.63,272.03,64.09,,96.5,14.39,48.78,0.0,17.27,197.91,15.24,,0.0,0.88,11.65,5.69,1.38,2.03,0.96,3.59,08-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Jan-2018 - 00:00,,0.94,243.16,56.7,,88.31,52.17,54.12,0.0,19.16,213.24,15.34,,0.0,0.65,9.81,9.13,1.71,3.65,1.6,5.06,09-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Jan-2018 - 00:00,,0.83,239.83,62.16,,91.29,50.65,68.04,0.0,18.27,225.52,15.42,,0.41,0.69,12.64,7.39,1.42,3.3,1.67,4.58,10-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Jan-2018 - 00:00,,1.15,271.91,54.03,,92.25,24.78,66.07,0.0,20.77,201.3,16.05,,0.57,0.95,8.77,5.34,1.52,2.1,0.75,3.3,11-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
