from date,NO,NO2,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,Temp,WD,WS,BP,SR,RF,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
01-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,02-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
02-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,03-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
03-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,04-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
05-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,06-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
06-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,07-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
07-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,08-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
08-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,09-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
09-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,10-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
10-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,11-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
11-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,12-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
12-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,13-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
13-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,14-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
14-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,15-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
15-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,16-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
16-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,17-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
17-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,18-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
18-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,19-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
19-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,20-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
20-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,21-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
21-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,22-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
22-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,23-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
23-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,24-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
24-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,25-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,26-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
26-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,27-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
27-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,28-Feb-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
28-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,01-Mar-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
01-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,02-Mar-2018 - 00:00,"New Collectorate, Baghpat - UPPCB"
