from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Toluene,AT,WS,RH,WD,BP,SR,RF,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,02-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,03-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,04-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,06-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,07-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,08-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,09-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,10-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,11-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
