from date,NO2,NO,NOx,SO2,CO,PM2.5,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
01-Jan-2018 - 00:00,33.59,7.52,23.45,8.48,3.34,167.27,21.01,72.6,0.55,-0.31,348.0,750.14,27.0,0.0,1.93,1.18,136.78,02-Jan-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
02-Jan-2018 - 00:00,40.62,65.79,73.46,8.47,1.91,265.27,20.15,70.8,0.96,-0.36,211.86,750.14,39.46,0.0,4.76,3.01,160.61,03-Jan-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
03-Jan-2018 - 00:00,29.69,7.22,18.73,8.62,2.76,216.18,18.96,73.24,2.11,-0.46,4.0,750.45,45.76,0.0,2.17,0.94,93.47,04-Jan-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
04-Jan-2018 - 00:00,39.46,24.1,35.21,8.41,3.33,239.26,19.64,68.31,0.82,-0.31,4.0,750.94,50.0,0.0,3.72,1.99,35.25,05-Jan-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
05-Jan-2018 - 00:00,36.4,14.26,29.74,8.44,3.02,230.94,16.5,74.1,0.94,-0.32,4.0,750.9,33.81,0.0,2.23,0.92,23.07,06-Jan-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
06-Jan-2018 - 00:00,41.25,31.85,44.86,8.41,3.25,219.95,14.05,66.77,1.11,-0.33,4.0,750.7,77.12,0.0,3.16,1.89,35.97,07-Jan-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
07-Jan-2018 - 00:00,25.2,8.19,17.16,8.43,2.66,304.96,13.99,66.59,1.16,-0.43,4.0,751.8,64.94,0.0,5.22,3.52,43.77,08-Jan-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
08-Jan-2018 - 00:00,38.61,29.73,9.5,8.52,3.48,318.3,14.47,66.25,0.66,-0.31,4.0,752.68,73.02,0.0,4.67,3.96,38.45,09-Jan-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
09-Jan-2018 - 00:00,33.67,21.06,34.3,8.41,2.8,254.27,13.33,73.83,0.72,-0.32,4.0,754.1,44.59,0.0,3.12,1.78,40.62,10-Jan-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
10-Jan-2018 - 00:00,35.57,20.37,34.71,8.38,3.76,254.24,13.47,72.24,0.83,-0.32,4.0,753.42,49.34,0.0,3.8,2.52,50.82,11-Jan-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
11-Jan-2018 - 00:00,32.81,15.99,28.34,8.4,2.87,251.28,13.82,71.3,0.96,-0.35,4.0,752.57,44.36,0.0,3.11,1.83,52.38,12-Jan-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
12-Jan-2018 - 00:00,35.34,14.54,29.69,8.42,2.81,242.64,12.66,76.41,0.49,-0.3,5.85,751.99,26.38,0.0,2.75,1.53,24.85,13-Jan-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
13-Jan-2018 - 00:00,22.94,5.85,16.22,8.45,1.77,199.73,10.96,76.96,0.91,-0.32,11.0,751.82,31.68,0.0,1.34,0.42,25.29,14-Jan-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
15-Jan-2018 - 00:00,49.2,17.01,40.76,8.53,2.02,251.0,15.47,46.26,2.47,-0.58,11.0,750.46,104.2,0.0,2.65,2.12,50.75,16-Jan-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
16-Jan-2018 - 00:00,26.0,6.2,16.92,8.43,2.5,251.0,13.5,61.43,1.24,-0.37,11.0,750.59,71.6,0.0,2.09,1.38,40.92,17-Jan-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
17-Jan-2018 - 00:00,18.85,73.34,22.74,8.41,3.23,242.06,12.67,70.23,0.54,-0.3,11.0,751.45,64.58,0.0,3.96,3.0,16.53,18-Jan-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
