from date,AT,BP,PM2.5,PM10,RH,SR,WD,WS,Benzene,Toluene,P-Xylene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
01-Feb-2018 - 00:00,22.06,990.9,147.99,344.82,53.17,163.63,232.07,0.61,,,,36.2,99.06,163.16,317.76,2.59,,23.0,02-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
02-Feb-2018 - 00:00,18.46,989.57,156.64,307.79,67.36,111.99,233.39,0.7,,,,42.41,79.04,77.49,163.19,1.76,8.4,16.77,03-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
