from date,Benzene,Eth-Benzene,MP-Xylene,Toluene,PM10,PM2.5,RH,SR,WD,WS,Temp,CO,NH3,NO,NO2,NOx,O Xylene,SO2,Ozone,to date,station
01-Jan-2018 - 00:00,12.57,7.78,25.15,38.26,155.9,96.8,63.16,48.65,174.84,0.41,22.17,1.71,24.7,13.28,40.0,29.21,11.63,16.71,44.62,02-Jan-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
02-Jan-2018 - 00:00,11.06,7.39,23.53,35.67,150.75,96.68,63.08,54.08,174.16,0.48,22.42,1.59,24.36,13.87,38.11,28.05,10.7,18.26,43.36,03-Jan-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
03-Jan-2018 - 00:00,10.4,7.7,23.64,36.53,111.47,70.67,59.51,4.78,174.5,1.93,21.25,1.77,25.96,15.39,41.27,33.01,10.86,9.53,34.72,04-Jan-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
04-Jan-2018 - 00:00,12.95,9.02,27.83,41.5,133.72,79.32,55.03,53.08,187.52,1.44,20.89,1.97,28.67,23.37,41.5,38.18,12.75,31.78,36.26,05-Jan-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
05-Jan-2018 - 00:00,12.6,9.64,25.87,38.85,151.72,93.9,63.29,57.45,193.49,0.51,21.45,1.71,24.74,15.46,41.11,32.07,11.79,11.2,40.51,06-Jan-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
06-Jan-2018 - 00:00,11.22,7.95,23.69,34.63,143.25,85.82,63.37,58.0,197.67,0.72,21.94,1.87,28.83,21.08,41.22,37.88,10.58,15.81,33.29,07-Jan-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
07-Jan-2018 - 00:00,10.2,5.69,17.98,28.47,139.4,87.94,64.12,54.02,180.33,0.47,22.02,1.36,22.85,13.54,36.99,27.3,8.2,16.44,39.63,08-Jan-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
08-Jan-2018 - 00:00,11.91,8.97,27.62,39.38,138.57,81.61,60.08,53.37,151.55,0.6,21.91,1.63,27.07,20.63,37.3,34.94,12.38,33.29,35.36,09-Jan-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
09-Jan-2018 - 00:00,11.48,8.26,26.15,38.33,126.04,68.13,59.11,56.87,157.95,0.54,21.41,1.75,30.19,26.55,37.24,38.81,11.97,29.26,37.25,10-Jan-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
10-Jan-2018 - 00:00,10.42,8.36,25.31,36.32,124.71,69.46,57.42,59.53,179.96,0.87,22.52,1.35,21.77,14.41,33.05,27.01,11.34,12.74,40.73,11-Jan-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
11-Jan-2018 - 00:00,13.78,8.09,25.06,35.13,116.43,77.8,54.06,58.56,197.01,1.01,23.23,1.77,25.26,19.76,34.85,33.09,10.99,16.09,37.36,12-Jan-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
12-Jan-2018 - 00:00,10.02,7.82,23.96,35.34,113.1,61.11,53.42,60.34,190.8,0.94,23.28,1.77,27.41,24.78,36.28,37.14,10.92,17.48,36.39,13-Jan-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
13-Jan-2018 - 00:00,9.48,6.25,19.76,30.35,118.75,67.44,52.62,67.17,184.35,0.91,23.56,1.51,21.82,17.12,32.53,27.95,9.12,8.03,39.56,14-Jan-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
