from date,Benzene,Eth-Benzene,MP-Xylene,Toluene,O Xylene,BP,PM2.5,PM10,RF,RH,SR,Temp,VWS,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
19-Jan-2018 - 00:00,15.56,0.0,0.0,35.12,6.12,,158.7,262.49,0.0,52.03,64.53,18.77,-0.04,221.69,1.87,1.81,12.71,57.31,61.95,119.26,27.48,6.99,20-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
