from date,Benzene,MP-Xylene,O Xylene,Toluene,CO,NO2,NO,NOx,NH3,Ozone,PM10,PM2.5,SR,Temp,WD,WS,SO2,to date,station
01-Jan-2018 - 00:00,12.22,12.47,4.22,1.16,3.66,90.45,135.92,66.75,44.29,40.82,187.01,42.19,178.53,22.32,198.77,1.1,41.72,02-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Jan-2018 - 00:00,12.26,11.16,1.13,1.42,2.46,47.57,54.0,41.07,109.97,41.56,198.52,56.48,176.14,21.89,205.15,1.19,30.15,03-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Jan-2018 - 00:00,15.09,12.07,1.93,4.15,3.03,61.52,67.61,91.93,142.87,40.14,241.34,66.71,167.57,22.51,209.66,1.07,34.38,04-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Jan-2018 - 00:00,16.43,13.41,1.98,2.98,2.48,62.77,74.46,96.9,149.64,34.73,264.83,70.47,161.15,22.72,201.75,1.18,37.4,05-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Jan-2018 - 00:00,13.39,12.65,3.62,1.17,3.33,59.88,77.34,94.83,149.59,28.6,216.09,50.35,169.39,22.81,196.61,1.04,29.2,06-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Jan-2018 - 00:00,9.72,7.45,2.65,0.46,2.97,67.23,48.51,71.05,118.43,33.8,154.93,39.17,186.8,22.77,181.53,1.12,38.63,07-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Jan-2018 - 00:00,7.52,5.92,2.32,0.35,0.85,86.56,44.27,65.18,102.8,39.25,121.44,17.41,199.26,21.29,224.98,1.36,34.21,08-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Jan-2018 - 00:00,11.25,10.44,1.01,0.83,1.36,129.12,67.23,95.66,144.97,32.91,196.31,26.68,164.79,21.27,186.04,1.3,37.95,09-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Jan-2018 - 00:00,15.03,16.15,3.93,1.51,0.74,146.26,89.2,115.54,176.49,25.56,255.12,41.3,169.17,23.39,151.59,1.24,37.25,10-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Jan-2018 - 00:00,14.14,20.22,4.92,1.64,0.85,139.11,78.16,107.82,164.74,21.98,246.09,46.61,178.1,24.91,166.75,1.15,60.25,11-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Jan-2018 - 00:00,10.71,12.8,2.13,0.88,1.76,124.34,68.46,94.19,152.65,41.89,201.51,53.93,173.96,26.23,162.51,1.25,61.18,12-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Jan-2018 - 00:00,9.48,11.18,2.97,1.02,3.27,115.46,52.95,81.87,139.96,32.36,195.72,70.72,130.53,26.61,144.11,1.27,61.62,13-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Jan-2018 - 00:00,10.68,9.88,1.53,0.62,1.58,106.87,52.0,78.0,138.17,35.88,190.94,63.34,157.37,26.66,183.0,1.33,38.27,14-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Jan-2018 - 00:00,14.88,12.02,2.07,0.96,0.34,123.08,62.21,91.1,158.93,36.71,245.45,75.66,151.5,27.37,195.27,1.24,42.08,15-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Jan-2018 - 00:00,15.85,12.4,2.22,1.16,0.55,123.55,73.05,95.48,162.59,33.66,348.03,99.44,156.79,27.28,216.05,1.3,45.95,16-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Jan-2018 - 00:00,14.2,14.24,4.01,1.41,2.07,128.84,91.61,108.18,168.27,21.45,238.32,81.47,173.35,27.57,178.73,1.19,53.32,17-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Jan-2018 - 00:00,11.14,12.07,4.11,0.96,0.74,102.19,76.8,88.24,135.28,25.2,179.08,55.67,202.5,26.45,210.21,1.27,43.51,18-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Jan-2018 - 00:00,6.02,13.96,6.7,0.55,0.95,80.81,37.06,57.88,103.47,31.03,140.7,51.56,207.19,26.66,173.29,1.32,55.84,19-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Jan-2018 - 00:00,8.17,11.58,1.34,0.48,1.55,120.59,77.69,97.32,109.9,49.7,155.75,50.47,185.35,23.4,186.01,1.37,29.34,20-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Jan-2018 - 00:00,9.24,10.45,2.91,0.63,2.69,205.65,93.69,152.52,43.78,53.17,149.44,48.2,208.78,25.45,167.09,1.28,45.39,21-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-Jan-2018 - 00:00,14.0,13.02,3.41,1.19,1.84,231.59,107.18,179.02,47.34,48.68,228.81,73.82,206.86,24.82,177.61,1.24,46.18,22-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-Jan-2018 - 00:00,14.12,10.45,2.95,1.11,1.51,220.59,99.44,159.78,44.02,56.86,210.94,81.17,180.5,24.22,207.89,1.51,43.91,23-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Jan-2018 - 00:00,10.99,6.58,0.71,5.2,2.27,133.91,57.79,93.73,45.32,46.68,192.92,61.69,186.39,22.74,216.86,1.61,26.68,24-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Jan-2018 - 00:00,8.65,6.73,2.27,1.82,2.27,99.42,79.2,85.66,51.08,46.46,151.99,50.62,209.9,22.12,203.41,1.41,30.0,25-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Jan-2018 - 00:00,9.42,9.42,3.21,4.19,3.86,120.98,66.0,90.56,57.31,46.5,174.96,60.29,219.7,23.41,188.99,1.25,50.24,26-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Jan-2018 - 00:00,7.63,7.06,2.46,0.62,0.3,97.57,47.28,70.14,49.01,68.73,137.26,43.57,209.8,24.37,161.05,1.41,60.49,27-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Jan-2018 - 00:00,9.25,12.75,3.0,1.56,2.08,131.53,106.22,115.16,64.64,48.88,170.32,55.55,223.65,23.17,182.07,1.41,25.39,28-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Jan-2018 - 00:00,9.71,11.28,1.87,1.61,1.39,127.42,108.29,113.52,60.45,42.49,185.51,53.46,214.96,22.84,224.49,1.38,27.07,29-Jan-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
