from date,PM2.5,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Temp,SR,RH,WD,WS,to date,station
01-Jan-2018 - 00:00,155.86,321.66,2.93,7.78,24.82,32.6,29.26,1.13,3.8,3.53,1.81,11.74,115.58,92.02,185.41,0.4,02-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
02-Jan-2018 - 00:00,96.06,211.2,2.89,6.95,25.45,32.4,29.08,0.9,3.94,3.12,1.64,9.92,112.99,99.03,229.1,0.42,03-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
03-Jan-2018 - 00:00,73.89,155.46,2.73,3.07,24.19,27.26,28.97,0.73,4.77,2.66,1.23,8.57,151.51,97.85,234.48,0.53,04-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
04-Jan-2018 - 00:00,116.61,241.79,3.3,5.48,25.95,31.43,29.38,1.01,4.02,2.82,1.37,10.1,136.04,93.54,175.42,0.39,05-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
05-Jan-2018 - 00:00,120.9,241.77,3.47,8.83,25.89,34.72,29.82,1.09,3.89,3.03,1.58,8.97,106.04,94.81,174.28,0.38,06-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
06-Jan-2018 - 00:00,74.74,147.36,1.93,12.38,19.35,31.55,43.25,0.77,5.28,2.66,1.34,9.67,152.86,89.64,237.54,0.48,07-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
07-Jan-2018 - 00:00,68.77,141.83,3.81,15.92,16.11,32.03,54.11,0.73,7.18,2.4,0.93,10.93,136.94,77.68,236.13,0.5,08-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
08-Jan-2018 - 00:00,76.01,161.36,2.96,14.57,15.52,30.08,54.28,0.74,8.14,2.38,0.86,11.21,135.43,77.0,228.82,0.38,09-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
09-Jan-2018 - 00:00,77.26,157.04,4.49,11.14,14.12,25.81,53.76,0.7,11.5,2.28,0.88,11.76,139.22,76.22,254.85,0.52,10-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
10-Jan-2018 - 00:00,85.36,172.12,4.41,12.65,15.82,28.87,54.23,0.71,10.49,2.34,0.93,12.39,141.56,76.03,265.34,0.59,11-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
11-Jan-2018 - 00:00,77.44,167.61,6.58,16.74,17.75,34.33,54.22,0.86,6.76,2.38,0.86,13.64,152.07,71.69,268.23,0.55,12-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
12-Jan-2018 - 00:00,78.31,174.22,,,,,,0.85,3.25,2.87,0.99,14.56,141.08,74.2,251.9,0.43,13-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
13-Jan-2018 - 00:00,94.97,194.87,,,,,,1.03,4.05,3.24,1.25,13.16,133.88,80.53,240.55,0.38,14-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
14-Jan-2018 - 00:00,91.22,185.34,,,,,,0.94,3.69,2.94,1.08,13.4,140.82,77.38,264.46,0.41,15-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
15-Jan-2018 - 00:00,81.12,169.27,8.63,43.71,38.58,82.3,56.69,0.87,4.03,2.7,0.98,12.05,139.29,81.96,243.32,0.57,16-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
16-Jan-2018 - 00:00,82.24,,6.01,43.39,34.67,78.06,56.96,1.12,4.03,2.76,1.21,13.8,155.04,72.38,207.37,0.46,17-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
17-Jan-2018 - 00:00,120.36,229.95,4.74,31.88,26.31,52.58,46.75,1.06,6.82,2.31,0.9,15.48,123.21,74.09,113.0,0.61,18-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
18-Jan-2018 - 00:00,91.24,169.96,3.89,12.26,20.79,23.31,47.08,0.83,10.36,2.69,1.0,15.23,141.66,75.46,247.57,0.33,19-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
19-Jan-2018 - 00:00,57.27,113.27,4.59,2.81,22.25,22.56,56.7,0.62,10.0,2.49,0.76,14.82,139.18,72.98,269.89,0.54,20-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
20-Jan-2018 - 00:00,61.78,133.33,4.32,5.76,23.45,25.36,56.8,0.84,9.53,2.26,0.86,13.68,145.74,72.16,249.29,0.53,21-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
21-Jan-2018 - 00:00,62.29,142.64,4.16,6.91,24.69,29.41,57.23,0.82,6.73,2.16,0.8,13.88,141.79,75.35,184.34,0.3,22-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
22-Jan-2018 - 00:00,114.55,240.52,4.97,17.4,29.75,47.15,58.62,1.35,5.84,2.45,0.09,13.65,128.04,79.84,184.52,0.26,23-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
23-Jan-2018 - 00:00,74.14,138.73,5.01,9.03,27.2,36.23,57.51,0.83,5.34,2.46,1.05,11.19,49.96,95.22,108.6,0.75,24-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
24-Jan-2018 - 00:00,32.28,54.63,4.18,1.85,23.52,24.67,56.92,0.57,7.08,1.59,0.49,12.48,228.82,90.32,211.3,0.48,25-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
25-Jan-2018 - 00:00,38.97,75.08,5.07,1.99,23.72,24.57,56.78,0.59,7.51,1.86,0.56,11.74,161.06,92.6,260.9,0.63,26-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
26-Jan-2018 - 00:00,45.27,88.16,4.37,0.68,22.78,22.57,56.83,0.59,6.13,1.93,0.64,10.39,128.55,99.06,243.5,0.58,27-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
27-Jan-2018 - 00:00,63.05,127.35,3.92,0.23,22.33,20.67,56.84,0.61,7.6,2.04,0.64,10.86,147.2,96.34,233.81,0.51,28-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
28-Jan-2018 - 00:00,38.0,75.22,4.7,0.65,22.84,22.94,57.06,0.65,5.25,1.71,0.59,9.52,145.76,99.09,261.35,0.59,29-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
29-Jan-2018 - 00:00,35.9,70.51,4.53,0.56,21.87,20.84,57.13,0.72,7.56,1.82,0.64,11.85,199.94,90.0,226.95,0.62,30-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
30-Jan-2018 - 00:00,47.99,98.55,3.96,1.66,24.1,24.17,57.16,0.64,10.23,2.26,0.7,15.03,163.37,76.37,256.15,0.58,31-Jan-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
31-Jan-2018 - 00:00,57.82,97.69,5.3,2.33,26.34,27.95,57.09,0.63,9.8,2.28,0.75,14.98,148.29,81.98,270.79,0.61,01-Feb-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
01-Feb-2018 - 00:00,45.83,92.75,5.31,4.83,26.68,29.1,57.28,0.59,11.9,2.36,0.63,16.61,167.06,76.62,268.47,0.54,02-Feb-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
02-Feb-2018 - 00:00,33.18,88.1,4.59,3.46,25.56,28.68,57.03,0.55,10.22,2.49,0.53,15.62,172.99,68.69,263.01,0.59,03-Feb-2018 - 00:00,"Punjab Agricultural University, Ludhiana - PPCB"
