from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RH,SO2,SR,VWS,WD,WS,Toluene,to date,station
01-Jan-2018 - 00:00,9.88,2.2,521.1,3.67,95.61,120.94,133.32,318.63,44.68,682.94,436.52,74.68,27.21,53.53,0.01,64.24,0.63,12.97,02-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
02-Jan-2018 - 00:00,8.48,1.99,528.14,1.91,77.7,49.6,101.69,158.37,44.14,552.21,349.79,73.8,12.06,49.29,0.01,67.16,0.75,7.82,03-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
03-Jan-2018 - 00:00,8.22,1.61,554.05,1.53,67.42,11.68,83.1,92.94,38.65,411.79,283.46,72.6,11.82,54.9,-0.0,62.01,0.91,5.65,04-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
04-Jan-2018 - 00:00,8.43,2.09,529.75,2.48,74.3,36.32,132.66,169.3,30.07,519.08,349.5,71.98,18.76,60.45,0.0,75.95,0.77,7.33,05-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
05-Jan-2018 - 00:00,7.42,1.32,490.68,1.97,68.9,36.69,108.43,147.47,22.4,402.52,277.17,73.61,18.33,72.66,0.0,93.7,0.8,3.67,06-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
06-Jan-2018 - 00:00,9.67,11.2,553.88,3.29,,,,,27.8,468.0,298.75,64.62,15.03,13.47,0.0,110.64,0.39,35.49,07-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
07-Jan-2018 - 00:00,9.62,1.97,553.94,1.59,,,,,31.14,380.25,252.54,61.15,20.21,61.69,-0.03,74.15,0.99,4.94,08-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
08-Jan-2018 - 00:00,10.45,3.44,513.14,2.13,54.64,105.41,109.04,249.07,44.77,368.33,205.38,54.57,23.64,62.14,0.01,91.62,0.89,11.9,09-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
09-Jan-2018 - 00:00,10.44,4.51,553.5,2.22,69.17,63.32,110.65,191.11,32.37,464.72,302.62,58.91,23.68,61.29,-0.01,89.74,0.82,13.98,10-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
10-Jan-2018 - 00:00,11.76,4.65,524.67,1.43,60.9,11.91,105.35,113.72,36.28,363.46,298.38,53.89,27.47,61.89,-0.05,73.86,1.11,9.67,11-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
11-Jan-2018 - 00:00,13.18,5.97,529.22,1.5,54.58,18.49,105.87,118.69,50.79,324.87,176.27,48.7,20.44,75.96,-0.06,84.18,1.22,12.37,12-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
12-Jan-2018 - 00:00,12.34,4.06,553.5,1.69,64.66,44.5,113.01,255.95,34.56,412.08,206.62,52.92,37.38,58.63,-0.02,84.11,0.87,13.73,13-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
13-Jan-2018 - 00:00,12.4,10.59,553.87,2.93,75.67,102.75,118.77,368.12,26.31,544.04,198.44,54.77,26.01,61.88,-0.01,100.84,0.7,32.32,14-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
14-Jan-2018 - 00:00,11.93,2.56,553.5,2.56,66.23,66.67,107.5,192.92,23.01,454.04,287.29,53.92,34.43,63.55,-0.02,91.01,0.73,8.53,15-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
15-Jan-2018 - 00:00,12.07,2.49,553.51,1.7,63.3,37.0,105.94,143.89,20.7,396.17,248.54,55.64,25.09,62.81,-0.03,70.0,1.03,6.82,16-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
16-Jan-2018 - 00:00,12.67,2.84,540.05,1.29,49.76,25.81,110.31,361.87,41.33,322.12,163.83,48.28,27.87,66.07,-0.03,72.51,0.97,11.49,17-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
17-Jan-2018 - 00:00,12.11,2.18,553.62,2.88,62.88,80.17,138.57,315.42,35.9,439.38,260.46,60.03,12.74,61.84,-0.0,99.97,0.74,11.19,18-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
18-Jan-2018 - 00:00,14.23,3.81,555.53,3.64,77.46,170.69,138.16,215.51,47.96,485.25,341.08,63.15,26.72,61.33,-0.01,97.02,0.52,16.75,19-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
19-Jan-2018 - 00:00,13.69,6.19,546.56,2.38,80.49,49.82,112.22,163.89,48.97,514.88,351.04,64.22,20.07,62.53,-0.0,87.98,0.71,20.09,20-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
20-Jan-2018 - 00:00,9.34,1.79,553.5,1.04,64.36,4.56,88.36,87.73,42.51,329.18,243.27,66.05,19.16,42.03,-0.02,64.11,0.8,4.05,21-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
21-Jan-2018 - 00:00,15.77,1.64,553.5,2.71,44.14,94.13,124.31,229.82,79.35,306.38,181.08,40.19,25.01,91.44,-0.02,88.64,0.66,8.36,22-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
22-Jan-2018 - 00:00,13.57,1.72,553.5,2.28,55.57,140.37,140.95,210.51,48.82,431.33,236.54,53.32,27.01,63.85,-0.0,111.01,0.59,6.94,23-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
23-Jan-2018 - 00:00,10.79,1.34,554.43,1.32,58.7,35.43,123.68,163.78,25.93,284.3,189.94,67.37,19.16,25.44,-0.0,95.23,1.03,4.35,24-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
24-Jan-2018 - 00:00,9.73,1.37,537.05,1.19,54.55,49.56,90.12,137.62,33.91,256.59,179.3,72.02,16.39,71.01,-0.01,72.22,0.8,4.49,25-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
25-Jan-2018 - 00:00,9.14,,559.29,1.18,59.08,25.57,70.67,95.51,,226.08,159.42,77.14,10.1,51.55,-0.03,66.58,0.96,,26-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
26-Jan-2018 - 00:00,8.58,,560.74,1.2,53.96,25.34,70.11,93.37,,229.5,166.67,76.2,8.21,64.89,0.03,54.98,0.86,,27-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
27-Jan-2018 - 00:00,9.43,,554.45,1.61,52.49,54.17,80.91,143.31,,335.54,216.58,68.58,10.18,71.27,0.01,65.99,0.84,,28-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
28-Jan-2018 - 00:00,10.13,,562.91,1.73,51.02,68.86,86.95,168.29,,284.12,187.17,67.12,10.38,77.52,-0.0,71.68,0.82,,29-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
29-Jan-2018 - 00:00,11.33,,556.75,1.7,57.08,61.45,90.3,161.96,,321.58,215.46,62.45,12.36,78.82,-0.02,74.4,0.86,,30-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
30-Jan-2018 - 00:00,14.89,,553.5,1.06,52.16,15.7,88.28,92.16,,269.42,162.0,50.99,16.21,78.58,-0.04,56.6,1.34,,31-Jan-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
31-Jan-2018 - 00:00,15.03,,553.5,1.06,54.25,11.93,82.37,84.11,,252.92,148.62,53.8,13.88,75.54,-0.06,61.42,1.37,,01-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
01-Feb-2018 - 00:00,16.1,,553.5,1.63,63.3,59.14,102.92,162.64,,370.92,214.5,52.0,34.09,76.2,-0.02,75.5,0.75,,02-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
02-Feb-2018 - 00:00,15.72,,553.57,1.03,53.98,30.55,92.57,115.01,,271.83,145.04,55.06,20.62,76.64,-0.01,78.82,0.9,,03-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
03-Feb-2018 - 00:00,14.69,,553.5,0.88,45.76,27.57,96.27,113.87,,236.08,119.38,46.97,18.49,78.8,0.03,79.06,0.94,,04-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
04-Feb-2018 - 00:00,13.32,1.69,553.5,1.03,46.74,18.88,84.35,96.32,14.52,251.38,138.71,47.55,22.46,79.36,0.0,64.97,1.15,5.39,05-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
05-Feb-2018 - 00:00,12.83,1.33,553.5,1.14,47.68,36.53,103.86,131.25,24.76,304.58,170.75,43.18,22.9,67.18,0.01,84.16,0.86,3.7,06-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
06-Feb-2018 - 00:00,13.82,1.59,553.5,1.14,46.03,28.2,97.57,117.01,17.26,265.12,142.25,44.81,24.4,57.33,0.04,54.06,1.24,3.15,07-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
07-Feb-2018 - 00:00,13.25,2.27,553.5,1.15,43.84,33.8,91.99,120.06,31.92,247.42,134.29,43.07,25.43,80.75,0.02,66.14,1.21,4.69,08-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
