from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
01-Jan-2018 - 00:00,,,0.0,24.32,11.77,77.48,123.03,984.87,,343.39,225.25,45.92,24.43,12.36,4.51,,48.3,0.0,0.0,0.0,0.0,02-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
02-Jan-2018 - 00:00,,,0.0,24.54,10.89,75.4,146.57,985.74,,361.23,211.54,32.75,16.64,27.49,3.69,,17.18,0.0,0.0,0.0,0.0,03-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
03-Jan-2018 - 00:00,,,0.0,20.88,10.19,75.51,178.05,986.17,,266.6,161.31,202.92,113.86,295.67,3.65,,12.84,0.0,0.0,0.0,0.0,04-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
04-Jan-2018 - 00:00,1.62,59.25,0.37,22.94,9.97,74.98,192.13,986.05,14.0,277.58,168.73,110.44,65.77,0.0,3.91,,12.31,0.0,0.0,0.0,0.0,05-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
05-Jan-2018 - 00:00,,,0.0,18.21,10.41,73.27,160.19,985.38,,260.55,160.62,122.09,57.34,0.0,3.75,,13.6,0.0,0.0,0.0,0.0,06-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
06-Jan-2018 - 00:00,,,0.0,15.61,11.21,67.99,194.19,984.8,14.0,292.66,172.7,169.16,85.0,0.0,4.25,,24.07,0.0,0.0,0.0,0.0,07-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
07-Jan-2018 - 00:00,,,0.0,27.27,7.58,79.6,162.96,986.42,,213.91,123.68,26.12,14.79,0.0,3.9,,54.07,0.0,0.0,0.0,0.0,08-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
08-Jan-2018 - 00:00,,,,,,,,,,205.5,104.81,40.22,23.06,0.0,3.27,,70.61,0.0,0.0,0.0,0.0,09-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
09-Jan-2018 - 00:00,,,,,,,,,,261.36,149.27,186.86,129.48,0.0,4.05,0.0,67.78,0.0,0.0,0.0,0.0,10-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
10-Jan-2018 - 00:00,,,0.0,17.52,14.68,48.64,265.16,988.12,,227.32,123.9,145.98,137.21,0.0,3.78,2.78,75.02,0.0,0.0,0.0,0.0,11-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
11-Jan-2018 - 00:00,,,0.0,14.32,13.77,51.42,219.73,986.81,,191.72,102.68,194.91,223.79,0.0,3.31,2.21,130.82,0.0,0.0,0.0,0.0,12-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
12-Jan-2018 - 00:00,,,0.0,14.31,14.99,49.71,195.22,986.47,14.0,210.65,102.65,73.61,182.03,0.0,3.56,6.01,94.14,0.0,0.0,0.0,0.0,13-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
13-Jan-2018 - 00:00,,,0.0,18.67,14.49,53.26,246.55,987.12,,274.79,153.39,21.2,12.7,0.0,4.91,,82.38,0.0,0.0,0.0,0.0,14-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
14-Jan-2018 - 00:00,,,,,,,,,,240.48,131.46,13.45,7.22,0.0,4.34,,40.56,0.0,0.0,0.0,0.0,15-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
15-Jan-2018 - 00:00,,,0.0,23.13,15.18,47.91,260.56,985.04,14.0,224.03,120.57,12.31,5.72,0.0,4.24,,34.63,0.0,0.0,0.0,0.0,16-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
16-Jan-2018 - 00:00,,,0.0,16.42,15.18,45.81,236.89,983.91,,177.56,82.08,10.58,4.35,0.0,3.55,,30.65,0.0,0.0,0.0,0.0,17-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
17-Jan-2018 - 00:00,,,0.0,12.11,13.07,67.59,194.52,985.73,14.0,245.29,134.84,13.17,6.29,4.05,4.42,,39.7,0.0,0.0,0.0,0.0,18-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
18-Jan-2018 - 00:00,,332.5,0.04,15.01,17.44,56.56,207.73,985.35,14.0,266.12,161.44,11.77,5.16,16.93,4.38,,71.0,0.0,0.0,0.0,0.0,19-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
19-Jan-2018 - 00:00,,,0.0,14.86,15.37,61.33,203.17,986.56,14.0,306.64,175.83,13.29,5.35,18.64,5.1,,105.54,0.0,0.0,0.0,0.0,20-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
20-Jan-2018 - 00:00,,,0.0,20.69,13.21,55.26,254.37,986.35,14.0,197.89,101.2,9.62,2.68,12.3,3.95,,40.5,0.0,0.0,0.0,0.0,21-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
21-Jan-2018 - 00:00,,,0.0,13.51,17.04,39.2,272.35,984.33,14.0,207.97,108.23,11.27,3.58,14.85,4.13,,32.21,0.0,0.0,0.0,0.0,22-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
22-Jan-2018 - 00:00,,,0.0,14.11,15.46,47.79,216.87,984.83,,270.84,147.24,12.72,4.49,17.21,5.01,,45.01,0.0,0.0,0.0,0.0,23-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
23-Jan-2018 - 00:00,,,,,,,,,,185.62,106.03,11.2,10.24,21.44,4.22,,51.3,0.0,0.0,0.0,0.0,24-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
24-Jan-2018 - 00:00,,,,,,,,,,139.01,88.82,12.37,10.56,22.87,4.01,,25.01,0.0,0.0,0.0,0.0,25-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
25-Jan-2018 - 00:00,,,0.0,15.48,11.77,79.14,181.92,983.65,,124.65,82.28,20.46,13.08,33.53,2.93,,17.1,0.0,0.0,0.0,0.0,26-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
26-Jan-2018 - 00:00,,,0.0,28.65,10.73,78.24,201.44,984.42,,156.23,98.24,12.15,8.7,20.86,1.38,,16.47,0.0,0.0,0.0,0.0,27-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
27-Jan-2018 - 00:00,,,0.0,23.26,11.84,68.96,222.81,984.42,14.0,214.34,125.34,11.71,10.9,22.61,1.24,,40.18,0.0,0.0,0.0,0.0,28-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
28-Jan-2018 - 00:00,1.25,312.83,0.4,22.5,12.79,63.94,253.5,985.32,14.0,160.74,95.61,15.67,11.82,27.49,1.63,,63.8,0.0,0.0,0.0,0.0,29-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
29-Jan-2018 - 00:00,0.75,137.0,0.35,18.99,14.46,56.67,255.96,986.7,,192.13,107.82,16.79,11.8,28.58,1.71,,68.79,0.0,0.0,0.0,0.0,30-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
30-Jan-2018 - 00:00,,,0.0,31.08,21.75,29.94,383.83,985.54,14.0,153.86,76.48,11.13,7.8,18.93,1.43,,74.07,0.0,0.0,0.0,0.0,31-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
31-Jan-2018 - 00:00,,,,,,,,,,163.87,77.59,15.01,8.01,23.02,1.25,,85.54,0.0,0.0,0.0,0.0,01-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
01-Feb-2018 - 00:00,,,,,,,,,,196.04,92.56,12.57,5.72,18.29,1.4,,67.97,0.0,0.0,0.0,0.0,02-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
02-Feb-2018 - 00:00,,,,,,,,,,165.42,72.91,16.81,7.21,24.01,1.47,,65.29,0.0,0.0,0.0,0.0,03-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
