from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,P-Xylene,RH,SO2,SR,WD,WS,VWS,Toluene,to date,station
01-Jan-2018 - 00:00,9.2,8.75,729.33,3.6,51.09,151.03,95.43,296.78,19.26,553.5,316.42,10.56,74.6,18.43,58.06,201.8,0.43,-0.07,24.84,02-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
02-Jan-2018 - 00:00,8.57,7.53,729.64,2.13,51.44,59.91,85.68,253.59,20.94,523.29,362.25,6.94,75.62,23.23,60.58,221.47,0.54,-0.1,18.62,03-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
03-Jan-2018 - 00:00,8.31,4.78,729.22,2.16,43.98,36.26,69.93,115.5,20.85,387.42,231.58,3.4,74.22,14.4,67.91,230.7,0.61,-0.13,12.48,04-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
04-Jan-2018 - 00:00,7.88,5.31,732.67,2.19,44.44,43.93,90.58,141.84,20.97,326.08,195.54,2.98,75.24,15.49,70.16,160.43,0.81,-0.02,12.74,05-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
05-Jan-2018 - 00:00,7.53,8.55,736.58,2.5,45.32,47.64,72.69,134.04,14.59,402.38,230.04,7.76,74.65,15.62,64.64,152.79,0.78,0.01,21.6,06-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
06-Jan-2018 - 00:00,8.17,10.66,729.43,2.8,45.67,115.36,81.28,237.5,29.24,387.58,227.92,12.41,68.85,16.53,76.07,216.48,0.59,-0.11,28.71,07-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
07-Jan-2018 - 00:00,9.18,4.85,734.89,1.49,39.46,28.12,75.57,103.33,32.85,302.04,189.96,3.19,63.9,26.29,81.31,221.19,0.89,-0.18,11.98,08-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
08-Jan-2018 - 00:00,9.4,4.18,729.64,2.18,33.45,85.23,79.95,186.93,32.41,325.29,185.12,3.59,59.18,38.71,81.66,217.07,0.73,-0.13,10.37,09-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
09-Jan-2018 - 00:00,9.78,4.81,733.42,1.73,36.27,74.53,87.29,185.44,34.25,369.79,215.96,4.02,61.85,46.68,79.45,218.1,0.74,-0.14,12.88,10-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
10-Jan-2018 - 00:00,11.14,2.06,730.22,1.31,33.54,26.92,78.34,110.06,38.4,316.71,175.42,0.67,56.8,48.73,85.45,222.11,1.18,-0.2,4.75,11-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
11-Jan-2018 - 00:00,11.13,2.27,730.12,1.24,31.2,27.36,79.06,111.34,36.17,284.42,163.88,0.8,55.49,55.38,83.96,223.56,1.27,-0.21,5.33,12-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
12-Jan-2018 - 00:00,11.45,2.68,730.17,2.36,36.77,41.4,98.95,299.96,31.19,377.08,201.5,1.88,56.1,63.05,81.0,218.88,0.82,-0.15,6.94,13-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
13-Jan-2018 - 00:00,10.91,3.63,731.15,2.91,39.44,166.08,94.09,404.49,29.98,395.5,216.21,4.27,59.31,33.26,82.52,213.14,0.66,-0.13,10.79,14-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
14-Jan-2018 - 00:00,11.18,2.56,730.38,2.08,38.77,110.05,89.4,237.48,34.4,340.42,184.96,2.07,56.01,41.79,87.09,220.22,0.79,-0.15,7.06,15-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
15-Jan-2018 - 00:00,11.12,3.26,730.4,1.61,42.12,70.94,81.45,175.01,32.02,371.71,200.42,2.69,59.25,46.52,84.56,220.61,1.0,-0.18,9.67,16-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
16-Jan-2018 - 00:00,11.73,4.47,730.43,1.05,32.73,27.39,73.33,59.81,49.16,355.67,190.38,4.9,52.31,49.03,91.56,222.5,1.21,-0.2,11.76,17-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
17-Jan-2018 - 00:00,9.92,9.23,730.81,2.8,41.54,78.36,79.96,145.68,20.47,409.96,244.38,11.9,69.85,16.34,81.51,136.75,1.15,0.03,24.69,18-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
18-Jan-2018 - 00:00,13.09,10.47,731.7,2.76,43.92,134.12,78.67,212.43,16.42,496.08,305.88,12.57,66.48,33.83,84.61,201.67,0.53,-0.11,28.81,19-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
19-Jan-2018 - 00:00,13.2,7.09,732.02,2.17,42.47,88.2,87.31,178.59,35.98,449.96,261.42,8.02,66.69,29.22,85.31,216.55,0.67,-0.13,21.26,20-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
20-Jan-2018 - 00:00,8.52,6.97,732.2,1.26,36.83,35.17,68.53,112.65,14.5,400.64,224.14,3.61,75.18,44.69,74.84,218.26,0.9,-0.18,16.57,21-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
21-Jan-2018 - 00:00,14.99,7.94,731.9,1.33,27.44,66.97,84.07,154.42,41.87,353.77,237.0,11.24,44.93,45.88,122.28,221.17,0.68,-0.11,23.54,22-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
22-Jan-2018 - 00:00,11.18,9.68,731.88,3.14,34.04,131.9,92.09,216.85,27.67,463.08,246.08,15.76,64.02,33.04,80.56,168.73,0.77,-0.03,27.58,23-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
23-Jan-2018 - 00:00,9.8,6.96,706.21,2.53,44.5,59.14,94.39,170.27,25.65,264.38,143.45,7.6,73.58,9.52,36.51,144.84,1.64,0.03,20.25,24-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
24-Jan-2018 - 00:00,8.85,6.77,732.47,2.42,37.83,54.37,58.85,130.84,40.37,240.89,144.68,5.06,76.92,11.3,93.64,231.26,0.7,-0.14,21.95,25-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
25-Jan-2018 - 00:00,8.83,,732.64,2.19,32.73,41.1,47.15,98.34,,183.58,111.58,,79.43,5.37,83.45,223.03,0.97,-0.2,,26-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
26-Jan-2018 - 00:00,8.88,,734.44,2.49,33.56,50.63,54.33,117.19,,235.92,154.67,,76.64,4.66,80.56,230.19,0.52,-0.11,,27-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
27-Jan-2018 - 00:00,9.41,,,3.19,32.35,78.77,72.33,171.33,,370.62,202.92,,69.14,8.9,87.25,224.87,0.55,-0.11,,28-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
