from date,BP,PM2.5,PM10,RF,RH,SR,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Ozone,Toluene,CO,NH3,NO,NO2,NOx,SO2,to date,station
01-Jan-2018 - 00:00,781.27,295.24,487.27,0.0,74.36,569.81,175.18,0.6,2.45,0.65,0.4,0.39,13.9,0.85,1.65,4.25,20.39,45.93,,40.76,02-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
02-Jan-2018 - 00:00,781.34,254.65,431.18,0.0,86.97,690.7,272.77,0.77,2.52,0.39,0.3,0.29,7.94,0.59,1.33,3.65,22.54,42.16,,33.5,03-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
03-Jan-2018 - 00:00,781.41,163.3,303.61,0.0,88.6,641.25,244.58,0.75,2.25,0.48,0.32,0.33,6.31,0.44,1.41,3.43,25.27,40.85,,25.98,04-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
04-Jan-2018 - 00:00,781.38,191.86,296.6,0.01,75.9,615.06,150.97,0.59,2.47,1.13,0.51,0.48,20.64,0.46,1.43,4.53,15.93,28.23,,18.97,05-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
05-Jan-2018 - 00:00,781.33,155.08,276.82,0.0,83.4,598.68,124.88,0.54,1.78,0.08,0.06,0.07,15.21,0.29,1.24,5.31,7.06,25.05,,29.78,06-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
06-Jan-2018 - 00:00,781.27,213.41,625.3,0.0,79.05,579.16,213.92,0.74,2.76,0.35,0.26,0.24,10.95,0.94,1.39,3.1,22.37,46.46,,49.5,07-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
07-Jan-2018 - 00:00,781.39,143.65,312.41,0.0,66.93,570.61,204.08,0.75,1.34,0.12,0.13,0.12,11.29,0.27,0.99,1.64,21.19,53.49,,32.68,08-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
08-Jan-2018 - 00:00,781.54,127.02,292.05,0.0,59.54,569.5,250.62,0.77,2.33,0.34,0.21,0.2,20.51,0.36,0.76,2.5,24.81,54.6,,36.16,09-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
09-Jan-2018 - 00:00,781.73,146.38,311.6,0.0,63.55,569.59,228.9,0.84,1.84,0.72,0.4,0.84,17.62,0.38,0.79,1.97,14.69,44.8,,30.65,10-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
10-Jan-2018 - 00:00,773.61,115.56,503.91,0.0,57.01,570.0,288.52,1.11,1.42,0.29,0.29,0.27,16.22,0.54,0.84,2.48,18.06,55.34,,46.15,11-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
11-Jan-2018 - 00:00,764.57,126.13,497.32,0.0,54.39,571.42,265.75,1.15,1.44,0.13,0.16,0.21,16.28,0.4,1.05,3.35,21.61,55.5,,29.7,12-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
12-Jan-2018 - 00:00,764.45,130.49,363.84,0.0,47.43,578.22,241.93,0.71,1.9,1.12,0.61,0.67,17.33,0.55,1.15,3.91,32.88,52.21,,51.5,13-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
13-Jan-2018 - 00:00,764.47,155.66,431.24,0.0,55.01,571.49,222.53,0.74,2.57,2.34,1.26,1.41,12.63,1.24,0.99,3.17,32.53,56.2,,60.44,14-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
14-Jan-2018 - 00:00,764.46,110.46,304.55,0.0,51.06,573.98,203.76,0.64,,,,,20.03,,0.73,3.28,20.69,47.94,,43.57,15-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
15-Jan-2018 - 00:00,764.49,121.98,339.66,0.0,56.09,580.06,264.95,1.15,1.15,0.17,0.14,0.16,22.38,0.52,0.76,1.68,19.99,54.58,,51.06,16-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
16-Jan-2018 - 00:00,764.25,144.01,371.54,0.0,44.26,597.15,254.37,0.9,0.96,0.2,0.16,0.17,17.26,0.24,1.09,1.16,30.94,54.03,117.45,46.29,17-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
17-Jan-2018 - 00:00,764.29,194.96,433.1,0.0,62.74,612.28,142.65,0.65,5.99,0.72,0.08,1.17,22.86,0.59,1.25,6.54,7.4,29.44,36.84,67.51,18-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
18-Jan-2018 - 00:00,764.38,179.0,460.24,0.0,79.83,653.47,169.93,0.65,6.37,2.05,0.69,1.41,12.16,1.03,1.59,5.61,28.92,42.45,71.36,54.2,19-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
19-Jan-2018 - 00:00,764.47,199.64,556.31,0.0,81.09,578.04,243.2,0.76,4.02,11.09,4.05,3.8,8.11,1.48,1.16,0.87,19.13,47.84,59.32,49.92,20-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
20-Jan-2018 - 00:00,764.29,56.63,292.58,0.0,59.13,571.8,189.44,0.47,0.53,0.04,0.03,0.02,5.66,0.28,0.61,2.03,14.7,41.27,37.32,36.11,21-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
21-Jan-2018 - 00:00,764.28,126.93,364.48,0.0,65.44,571.64,119.43,0.51,0.79,0.06,0.04,0.03,10.3,0.42,1.11,0.08,14.38,42.13,57.91,18.63,22-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
22-Jan-2018 - 00:00,764.13,187.92,418.09,0.0,63.92,610.83,140.82,0.52,1.34,0.24,0.17,0.14,13.26,0.2,0.97,6.7,7.79,30.57,37.19,37.4,23-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
23-Jan-2018 - 00:00,763.95,117.04,282.74,0.0,68.03,583.96,136.97,0.66,1.04,0.14,0.09,0.1,19.9,0.26,0.81,13.73,7.8,23.7,31.52,36.68,24-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
24-Jan-2018 - 00:00,764.28,91.53,243.14,0.02,90.79,585.39,275.42,1.13,5.19,1.76,1.27,2.89,4.79,1.76,0.78,4.34,26.73,38.21,60.73,30.09,25-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
25-Jan-2018 - 00:00,759.8,150.11,289.09,0.0,91.98,600.6,238.54,0.9,0.67,0.1,0.04,0.06,7.87,1.23,0.71,6.03,20.09,33.3,53.39,26.44,26-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
26-Jan-2018 - 00:00,763.94,274.37,513.8,0.0,87.71,568.65,218.49,0.77,3.74,0.53,0.32,0.28,9.96,3.48,1.49,6.39,28.4,30.4,58.8,63.27,27-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
27-Jan-2018 - 00:00,764.25,167.53,332.86,0.01,86.36,574.75,228.17,0.71,1.69,0.09,0.08,0.08,7.32,3.25,1.08,3.62,18.89,33.84,52.73,63.13,28-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
28-Jan-2018 - 00:00,762.55,228.29,466.86,0.01,77.15,568.69,233.03,0.73,2.49,0.49,0.3,0.24,8.11,3.89,1.22,2.07,27.92,39.77,67.69,58.11,29-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
29-Jan-2018 - 00:00,764.46,177.68,355.28,0.0,71.59,577.71,219.23,0.76,1.0,0.06,0.05,0.05,10.08,2.05,0.69,3.07,30.37,46.39,76.76,47.96,30-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
30-Jan-2018 - 00:00,755.46,150.07,430.4,0.0,51.42,569.37,289.3,1.34,1.16,0.03,0.03,0.03,15.97,2.38,0.68,6.25,21.18,50.75,64.74,70.59,31-Jan-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
31-Jan-2018 - 00:00,764.35,166.28,393.13,0.0,54.57,569.65,273.86,1.22,0.0,0.0,0.0,0.0,13.31,0.0,0.96,6.23,29.54,55.06,84.58,39.53,01-Feb-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
01-Feb-2018 - 00:00,764.33,152.99,371.62,0.0,50.95,569.72,187.3,0.62,0.22,0.21,0.13,0.15,13.2,2.38,0.79,4.0,27.74,49.82,75.83,70.75,02-Feb-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
