from date,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,SR,RH,RF,WD,WS,PM2.5,to date,station
01-Jan-2018 - 00:00,181.93,7.93,16.25,16.56,31.82,12.4,1.11,3.47,2.07,0.49,75.32,96.19,0.0,143.28,0.35,105.82,02-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
02-Jan-2018 - 00:00,166.27,5.82,13.96,14.83,27.8,9.92,1.14,4.19,1.92,0.65,100.45,96.23,0.0,319.64,0.94,86.27,03-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
03-Jan-2018 - 00:00,106.35,7.46,10.07,13.5,22.57,7.38,1.19,6.68,1.39,0.35,163.27,96.22,0.0,261.11,1.0,63.46,04-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
04-Jan-2018 - 00:00,68.65,7.46,10.66,14.0,23.66,5.87,1.34,5.34,1.32,0.3,161.77,96.22,0.0,173.06,0.81,38.82,05-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
05-Jan-2018 - 00:00,87.26,7.42,14.02,15.19,28.2,6.26,1.16,2.76,1.72,0.4,135.37,96.23,0.0,146.47,0.69,50.03,06-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
06-Jan-2018 - 00:00,124.01,13.86,22.65,19.95,41.59,9.66,1.03,3.52,1.72,0.53,173.27,88.0,0.01,275.02,0.92,67.81,07-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
07-Jan-2018 - 00:00,165.31,20.87,8.12,12.99,20.1,5.96,1.11,11.95,1.35,0.38,200.33,69.0,0.0,296.87,1.57,110.06,08-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
08-Jan-2018 - 00:00,191.06,29.24,14.25,16.4,29.65,7.66,1.26,12.51,1.61,0.44,189.53,70.2,0.0,269.52,1.17,122.0,09-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
09-Jan-2018 - 00:00,163.06,18.01,8.03,10.81,17.83,5.74,1.16,13.82,1.43,0.55,198.65,73.7,0.0,259.74,1.22,104.13,10-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
10-Jan-2018 - 00:00,171.89,20.0,6.19,6.92,12.11,7.67,1.32,15.23,1.61,0.53,192.17,68.18,0.0,290.0,1.57,101.42,11-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
11-Jan-2018 - 00:00,218.25,32.36,13.83,10.63,23.46,9.71,1.23,14.81,1.78,0.56,183.51,57.06,0.0,300.15,1.61,135.61,12-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
12-Jan-2018 - 00:00,202.89,29.48,15.32,11.1,25.42,10.15,1.15,13.88,1.57,0.46,174.65,63.7,0.0,292.16,1.19,127.71,13-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
13-Jan-2018 - 00:00,145.98,14.8,16.44,11.69,27.12,8.19,1.21,12.81,1.42,0.38,156.88,76.41,0.0,219.6,0.91,96.56,14-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
14-Jan-2018 - 00:00,165.02,15.39,,,,,,16.74,1.77,0.44,195.54,70.23,0.0,242.52,1.26,107.37,15-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
15-Jan-2018 - 00:00,186.12,10.05,4.19,102.22,105.41,6.55,1.23,19.49,1.59,0.44,181.81,74.98,0.0,274.78,1.37,120.38,16-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
16-Jan-2018 - 00:00,129.7,9.27,5.9,123.66,128.57,7.38,1.19,25.49,1.44,0.53,195.36,71.31,0.0,262.71,1.51,82.74,17-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
17-Jan-2018 - 00:00,102.3,7.01,7.38,151.88,158.26,8.17,1.11,24.6,1.67,0.69,176.54,81.51,0.0,118.29,1.61,61.43,18-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
18-Jan-2018 - 00:00,122.37,7.76,,,,,1.27,13.08,1.73,0.81,96.65,79.44,0.0,275.93,0.82,92.24,19-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
19-Jan-2018 - 00:00,153.34,7.2,,,,,1.17,18.56,1.4,0.66,145.05,68.71,0.0,278.94,1.34,99.65,20-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
20-Jan-2018 - 00:00,203.83,14.17,,,,,1.21,16.59,1.62,0.64,142.31,62.62,0.0,270.01,1.31,123.27,21-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
21-Jan-2018 - 00:00,124.33,8.1,,,,,1.28,12.29,1.7,0.74,137.69,81.12,0.0,132.83,0.42,73.59,22-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
22-Jan-2018 - 00:00,76.61,6.21,,,,,1.2,19.1,1.52,0.72,141.97,79.88,0.0,118.14,0.47,44.25,23-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
23-Jan-2018 - 00:00,101.64,5.99,,,,,1.11,7.23,1.65,0.81,69.76,96.06,0.45,147.49,0.82,98.23,24-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
24-Jan-2018 - 00:00,80.9,5.8,,,,,1.24,12.82,1.08,0.59,226.01,91.51,0.01,263.28,1.1,58.56,25-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
25-Jan-2018 - 00:00,108.87,9.44,,,,,1.15,12.21,1.11,0.61,180.39,90.22,0.0,292.93,1.47,67.9,26-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
26-Jan-2018 - 00:00,76.77,5.72,,,,,1.18,18.57,1.34,0.57,113.26,96.08,0.0,318.04,1.26,47.18,27-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
27-Jan-2018 - 00:00,86.7,5.13,,,,,1.2,23.61,1.22,0.51,135.17,95.95,0.0,313.14,1.25,51.45,28-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
28-Jan-2018 - 00:00,71.25,4.74,,,,,1.18,12.45,1.54,0.57,140.89,96.11,0.0,323.03,1.41,44.39,29-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
29-Jan-2018 - 00:00,85.98,5.84,,,,,1.17,12.36,1.46,0.61,187.79,85.82,0.0,307.09,1.35,48.98,30-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
30-Jan-2018 - 00:00,91.95,6.93,,,,,1.17,20.89,1.19,0.55,184.35,74.02,0.0,313.51,1.5,55.06,31-Jan-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
31-Jan-2018 - 00:00,146.75,7.3,,,,,1.22,15.7,1.46,0.56,166.12,77.56,0.0,299.45,1.74,93.93,01-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
01-Feb-2018 - 00:00,106.48,7.23,2.8,18.08,18.47,5.61,1.12,20.79,1.24,0.72,186.87,76.83,0.0,318.83,1.31,61.97,02-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
02-Feb-2018 - 00:00,104.82,9.79,5.8,19.65,24.46,6.24,1.25,14.48,0.93,0.63,185.24,68.23,0.0,294.7,1.37,49.56,03-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
03-Feb-2018 - 00:00,155.37,7.12,8.48,20.88,28.35,5.83,1.17,4.55,1.37,0.79,67.2,87.61,0.0,243.17,0.57,102.19,04-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
05-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,06-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
06-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,07-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
07-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,08-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
08-Feb-2018 - 00:00,158.66,11.84,,,,,1.24,6.09,0.36,0.21,22.37,56.65,0.0,256.54,0.61,95.25,09-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
09-Feb-2018 - 00:00,121.7,8.72,5.0,40.47,44.47,6.95,1.2,31.98,0.0,0.0,177.27,65.73,0.0,260.27,1.01,70.29,10-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
10-Feb-2018 - 00:00,73.45,6.31,7.15,45.75,51.89,9.72,1.19,21.37,0.0,0.0,202.66,66.56,0.0,118.86,0.45,38.36,11-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
11-Feb-2018 - 00:00,95.64,6.56,,,,,1.2,18.89,0.07,0.06,185.88,73.31,0.0,168.9,0.8,40.99,12-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
12-Feb-2018 - 00:00,45.85,5.54,1.73,161.45,161.58,,1.17,29.96,0.01,0.01,123.14,87.49,0.14,138.47,3.14,24.31,13-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
13-Feb-2018 - 00:00,26.37,4.5,5.7,82.25,86.49,21.95,1.18,28.29,0.0,0.0,217.7,81.2,0.03,198.17,1.44,18.94,14-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
14-Feb-2018 - 00:00,79.06,6.3,10.01,21.64,31.65,21.0,1.24,18.22,0.0,0.0,214.68,78.38,0.0,301.25,1.9,55.01,15-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
15-Feb-2018 - 00:00,120.21,10.01,11.19,25.79,36.97,21.46,1.2,16.62,0.0,0.0,156.38,80.36,0.0,289.52,1.82,80.09,16-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
16-Feb-2018 - 00:00,161.08,12.06,13.9,29.58,43.47,22.49,1.17,20.59,0.0,0.0,189.75,76.24,0.0,293.77,1.53,107.65,17-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
17-Feb-2018 - 00:00,150.35,11.57,10.94,30.9,41.84,21.65,1.21,27.8,0.0,0.0,200.42,69.58,0.0,304.96,1.69,97.47,18-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
18-Feb-2018 - 00:00,145.27,11.36,14.19,35.28,49.47,23.72,1.17,23.75,0.0,0.0,193.95,65.54,0.0,241.13,0.85,96.26,19-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
19-Feb-2018 - 00:00,118.99,7.92,10.92,33.76,44.69,22.52,1.21,28.67,0.0,0.0,213.98,70.07,0.0,253.46,1.02,78.83,20-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
20-Feb-2018 - 00:00,134.43,9.69,9.71,32.07,41.78,21.94,1.28,27.01,0.0,0.0,194.6,65.06,0.0,261.57,1.1,80.77,21-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
