from date,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,AT,Rack Temp,Benzene,Toluene,Xylene,RH,WS,WD,SR,BP,VWS,to date,station
01-Jan-2018 - 00:00,1.22,27.11,25.92,60.13,51.94,13.17,63.96,23.42,24.87,5.37,47.06,3.51,52.81,0.77,131.02,140.22,712.57,0.82,02-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
02-Jan-2018 - 00:00,0.86,37.17,3.73,51.01,29.53,12.37,77.23,23.13,25.28,2.01,36.3,2.74,55.4,0.78,115.77,118.02,712.61,0.81,03-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
03-Jan-2018 - 00:00,0.74,44.65,3.18,42.35,24.58,11.54,81.27,22.95,25.46,1.89,29.66,1.55,56.66,0.79,120.43,121.1,715.79,0.8,04-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
04-Jan-2018 - 00:00,0.94,38.01,16.01,69.8,49.1,17.66,79.51,22.34,25.52,2.61,60.68,3.25,51.18,0.76,122.72,124.66,717.38,0.79,05-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
05-Jan-2018 - 00:00,1.0,38.33,11.95,73.24,47.65,15.92,80.1,22.5,25.5,2.57,44.87,2.82,48.69,0.65,141.9,130.42,715.54,0.79,06-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
06-Jan-2018 - 00:00,1.15,33.55,17.39,72.71,51.69,13.1,79.98,22.34,25.49,3.24,36.11,4.25,48.25,0.58,141.81,134.21,714.23,0.79,07-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
07-Jan-2018 - 00:00,1.16,37.45,25.26,62.18,52.5,13.12,77.64,22.32,25.68,3.28,46.64,3.81,50.41,0.62,146.76,128.24,715.52,0.78,08-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
08-Jan-2018 - 00:00,0.95,28.48,15.58,68.04,47.84,12.81,78.2,21.91,26.24,2.3,42.39,2.73,52.67,0.64,117.41,131.99,717.6,0.77,09-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
09-Jan-2018 - 00:00,0.88,36.82,6.11,52.33,32.11,12.6,78.5,21.68,25.64,1.88,26.1,1.66,58.44,0.71,104.88,122.56,720.93,0.79,10-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
10-Jan-2018 - 00:00,0.85,41.13,3.41,52.16,29.88,13.84,79.05,22.85,25.24,2.02,27.9,1.75,55.19,0.78,105.04,135.75,721.85,0.81,11-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
11-Jan-2018 - 00:00,0.99,41.96,4.24,65.33,37.39,17.56,78.88,24.22,26.37,3.49,42.08,2.54,50.98,0.62,117.98,126.36,720.86,0.78,12-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
12-Jan-2018 - 00:00,1.23,36.51,23.28,79.58,59.99,21.33,78.31,24.82,30.75,3.75,70.79,8.87,49.38,0.67,111.46,135.44,719.52,0.69,13-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
13-Jan-2018 - 00:00,1.03,34.75,16.86,63.37,46.42,24.18,74.85,24.62,25.43,4.98,69.19,4.5,46.06,0.85,112.89,138.17,718.95,0.79,14-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
14-Jan-2018 - 00:00,0.98,33.56,17.19,56.84,43.28,19.06,80.26,24.74,25.49,4.18,53.81,5.46,48.39,0.59,118.18,131.57,719.38,0.78,15-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
15-Jan-2018 - 00:00,0.67,43.06,1.27,29.78,16.52,8.84,75.68,25.21,25.56,1.57,12.07,1.26,54.76,0.58,164.9,120.23,719.06,0.78,16-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
16-Jan-2018 - 00:00,0.7,33.3,3.98,40.28,24.15,10.67,69.27,24.73,25.37,1.88,36.68,1.75,53.06,0.93,105.14,137.32,716.96,0.8,17-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
17-Jan-2018 - 00:00,0.87,30.49,8.24,55.01,35.2,12.29,68.96,24.1,25.18,1.74,29.96,3.62,51.56,0.7,120.44,136.69,716.76,0.8,18-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
18-Jan-2018 - 00:00,0.84,26.96,22.59,59.11,48.73,15.61,69.9,23.76,25.22,2.2,45.69,4.65,52.09,0.83,104.89,147.99,717.61,0.77,19-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
19-Jan-2018 - 00:00,0.71,32.54,11.42,58.98,40.66,17.51,68.06,23.23,25.27,1.56,40.59,2.33,45.77,0.89,102.68,142.82,718.74,0.79,20-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
20-Jan-2018 - 00:00,0.76,32.99,17.46,68.99,50.88,28.96,69.44,22.96,25.34,3.25,46.36,3.6,43.5,0.82,108.42,153.36,717.7,0.8,21-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
21-Jan-2018 - 00:00,0.84,32.93,20.83,60.86,49.3,18.14,72.92,22.5,25.48,2.85,46.2,3.69,50.25,0.73,108.55,148.81,716.04,0.79,22-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
22-Jan-2018 - 00:00,0.62,37.57,7.8,54.02,35.07,11.09,72.69,22.58,25.93,1.47,19.43,1.75,52.76,0.66,122.89,145.1,714.43,0.78,23-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
23-Jan-2018 - 00:00,0.65,36.59,3.4,49.5,29.09,8.7,70.23,23.1,25.94,1.03,10.45,1.58,53.99,0.59,138.97,137.93,713.46,0.78,24-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
24-Jan-2018 - 00:00,0.56,37.97,4.49,41.41,25.67,12.29,74.5,23.24,25.43,1.1,14.28,1.11,54.06,0.93,128.95,129.6,713.08,0.8,25-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
25-Jan-2018 - 00:00,0.77,41.27,29.55,64.29,58.21,23.93,72.42,23.54,25.33,2.18,39.12,2.05,47.25,0.87,114.08,137.03,713.15,0.8,26-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
26-Jan-2018 - 00:00,0.78,23.42,9.97,69.43,45.04,28.11,72.42,20.96,25.31,8.73,52.52,2.28,49.71,0.72,99.21,116.71,714.23,0.8,27-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
29-Jan-2018 - 00:00,0.66,42.41,1.72,52.55,27.86,14.03,62.97,24.52,25.44,1.06,32.51,1.95,44.74,0.96,116.24,93.32,718.97,0.8,30-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
30-Jan-2018 - 00:00,0.62,39.27,14.83,63.65,45.91,26.93,64.21,22.97,25.31,2.86,53.45,1.71,43.11,1.31,104.07,162.25,719.56,0.81,31-Jan-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
31-Jan-2018 - 00:00,0.9,28.16,37.11,70.05,67.44,36.62,54.5,23.52,25.3,5.18,60.47,3.28,37.9,1.16,98.21,166.0,719.82,0.81,01-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
01-Feb-2018 - 00:00,1.44,23.51,126.09,83.64,148.32,31.24,61.91,23.74,25.3,4.03,37.82,2.95,38.6,0.87,140.39,163.55,719.18,0.8,02-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
02-Feb-2018 - 00:00,1.19,21.15,74.34,80.73,103.37,22.9,57.9,24.05,25.35,4.71,47.37,4.48,39.28,0.72,127.79,165.7,717.19,0.8,03-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
03-Feb-2018 - 00:00,0.56,35.74,5.96,52.9,32.99,7.76,50.34,24.0,25.35,1.3,18.77,1.7,40.22,0.78,160.46,158.16,717.42,0.8,04-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
04-Feb-2018 - 00:00,0.48,43.9,1.62,35.11,19.99,6.68,43.59,23.84,25.34,0.41,7.4,0.51,40.78,0.85,183.93,159.71,718.23,0.8,05-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
05-Feb-2018 - 00:00,0.5,35.27,7.64,45.19,30.25,6.54,50.26,23.51,25.3,0.85,9.75,1.04,48.04,0.78,147.27,160.21,720.76,0.8,06-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
06-Feb-2018 - 00:00,0.8,20.37,34.73,73.3,63.06,5.55,58.2,23.69,25.24,2.79,39.06,3.8,48.08,0.74,123.33,162.31,720.71,0.8,07-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
07-Feb-2018 - 00:00,0.94,20.29,57.0,92.64,95.62,13.95,68.11,23.62,25.28,3.17,49.26,5.27,45.22,0.59,131.06,70.06,718.55,0.8,08-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
08-Feb-2018 - 00:00,0.93,22.66,36.43,74.04,69.0,14.11,58.39,25.74,25.2,3.13,29.93,4.27,43.94,0.72,161.93,151.91,716.0,0.8,09-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
09-Feb-2018 - 00:00,0.83,27.07,32.2,57.45,56.18,14.21,59.82,25.28,25.18,2.51,34.81,5.17,44.46,1.02,145.89,112.3,715.44,0.81,10-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
10-Feb-2018 - 00:00,0.63,17.96,11.19,51.29,36.38,11.18,58.62,24.56,25.14,1.62,32.02,2.59,52.32,0.75,126.36,81.68,717.77,0.81,11-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
11-Feb-2018 - 00:00,0.47,21.64,2.74,29.22,17.77,7.1,56.29,24.91,25.19,0.54,8.18,1.25,54.49,0.89,144.34,131.0,718.91,0.81,12-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
12-Feb-2018 - 00:00,0.48,21.19,2.06,25.63,15.31,5.66,61.65,24.4,25.21,0.28,8.89,0.46,60.66,0.91,148.44,125.34,721.39,0.81,13-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
13-Feb-2018 - 00:00,0.46,30.11,1.56,26.8,15.51,5.41,52.05,24.0,25.22,0.3,9.61,0.43,56.76,0.93,129.17,140.35,724.4,0.81,14-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
14-Feb-2018 - 00:00,0.54,31.22,2.99,37.0,22.1,6.62,52.47,23.91,25.18,0.78,12.12,0.85,55.34,0.89,104.97,151.78,725.47,0.81,15-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
15-Feb-2018 - 00:00,0.46,40.87,4.34,35.1,22.19,9.07,50.07,24.33,25.19,0.7,26.76,0.84,50.0,1.12,118.19,128.71,725.83,0.82,16-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
16-Feb-2018 - 00:00,0.53,32.93,9.79,52.9,36.09,13.26,53.17,24.95,25.14,1.36,32.81,1.6,43.88,1.09,119.47,149.46,723.57,0.81,17-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
17-Feb-2018 - 00:00,0.65,32.21,14.18,62.23,44.63,24.99,53.09,25.23,25.11,2.81,39.84,2.04,39.57,1.18,105.68,166.12,717.26,0.82,18-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
18-Feb-2018 - 00:00,0.79,37.06,17.33,55.49,43.61,10.8,61.43,25.48,25.13,2.35,25.95,3.17,45.48,0.79,138.05,153.49,714.96,0.81,19-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
19-Feb-2018 - 00:00,0.54,36.86,2.88,42.36,24.87,8.9,50.84,25.89,25.16,0.77,11.05,1.05,48.93,0.78,153.64,149.33,715.84,0.81,20-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
20-Feb-2018 - 00:00,0.6,37.46,5.21,44.22,27.75,7.45,52.08,26.16,25.11,0.69,10.64,1.17,47.59,0.82,166.01,151.68,715.86,0.81,21-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
21-Feb-2018 - 00:00,0.7,32.44,4.49,53.14,31.92,9.16,58.23,26.05,25.08,1.01,12.11,1.87,48.12,0.75,170.68,146.8,714.31,0.81,22-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
22-Feb-2018 - 00:00,0.7,34.93,2.84,54.04,31.04,9.34,58.31,26.3,25.05,1.0,11.37,1.5,44.59,0.79,171.96,139.6,713.94,0.81,23-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
23-Feb-2018 - 00:00,0.6,34.22,5.4,52.89,32.52,10.01,58.54,26.1,25.1,1.09,25.93,1.49,44.97,0.83,140.36,156.51,715.15,0.81,24-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
24-Feb-2018 - 00:00,0.47,32.45,3.22,39.79,23.78,8.31,44.0,25.64,25.19,0.36,10.72,0.53,43.62,0.83,135.53,168.05,718.77,0.8,25-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
25-Feb-2018 - 00:00,0.72,22.19,11.6,51.69,36.92,9.67,48.7,25.33,25.1,1.36,19.54,1.93,43.76,0.79,107.35,175.88,719.51,0.81,26-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
26-Feb-2018 - 00:00,1.6,27.92,84.92,94.54,119.33,20.54,65.23,26.07,25.16,4.13,53.93,7.64,40.78,0.73,120.62,164.73,717.36,0.8,27-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
27-Feb-2018 - 00:00,1.58,26.16,66.14,89.24,101.24,31.19,68.99,27.04,25.12,5.23,64.87,5.18,38.49,0.8,142.54,159.11,716.3,0.81,28-Feb-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
28-Feb-2018 - 00:00,1.66,26.79,59.5,88.74,95.58,25.14,67.97,27.44,25.05,9.99,68.72,5.64,39.69,0.77,139.81,96.86,715.9,0.81,01-Mar-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
01-Mar-2018 - 00:00,1.34,25.48,45.66,78.07,78.65,19.45,65.68,27.4,25.14,3.48,59.5,5.12,38.59,0.77,143.06,101.09,715.04,0.81,02-Mar-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
02-Mar-2018 - 00:00,1.29,30.54,29.82,64.47,58.55,16.36,65.28,27.86,25.08,2.94,39.8,4.94,37.48,0.76,169.21,102.71,713.98,0.8,03-Mar-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
03-Mar-2018 - 00:00,0.97,43.07,10.67,53.64,37.2,10.25,58.71,28.34,25.09,1.5,15.07,1.73,35.59,0.99,219.9,99.66,712.57,0.82,04-Mar-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
04-Mar-2018 - 00:00,0.86,38.41,12.03,53.1,38.02,12.82,66.55,28.32,25.11,1.52,20.84,2.51,36.29,0.97,190.33,100.82,712.03,0.81,05-Mar-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
05-Mar-2018 - 00:00,0.71,31.54,6.44,51.24,32.5,11.03,55.28,28.18,25.16,1.03,10.79,1.6,38.0,0.89,178.78,107.12,713.94,0.81,06-Mar-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
06-Mar-2018 - 00:00,0.61,42.1,1.91,41.93,23.85,10.31,56.34,28.11,25.23,0.57,9.13,0.69,36.35,0.94,177.29,106.9,715.15,0.81,07-Mar-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
07-Mar-2018 - 00:00,0.63,36.69,6.44,46.2,29.81,9.5,55.58,27.77,25.22,0.63,9.23,0.81,37.41,1.01,168.76,112.14,715.05,0.81,08-Mar-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
08-Mar-2018 - 00:00,0.64,35.87,3.87,43.59,26.33,8.86,62.5,27.99,25.29,0.54,10.19,0.9,36.6,0.83,176.74,112.3,715.24,0.81,09-Mar-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
09-Mar-2018 - 00:00,0.72,35.21,2.43,45.85,26.36,9.1,69.91,27.62,25.28,0.78,8.95,1.15,41.32,0.72,144.67,107.5,715.79,0.8,10-Mar-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
10-Mar-2018 - 00:00,0.79,38.28,3.13,44.5,26.2,10.16,72.28,27.76,25.29,0.84,10.67,0.88,44.98,0.79,149.06,97.56,715.53,0.8,11-Mar-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
11-Mar-2018 - 00:00,0.65,43.23,1.24,30.05,16.99,8.02,59.79,28.19,25.27,0.35,7.3,0.7,43.32,0.88,158.36,101.18,716.8,0.81,12-Mar-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
12-Mar-2018 - 00:00,0.48,33.87,2.02,34.76,20.13,6.51,46.45,27.74,25.31,0.35,10.48,0.77,43.86,0.82,137.92,93.05,717.4,0.81,13-Mar-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
13-Mar-2018 - 00:00,0.36,30.67,3.88,43.14,26.1,6.38,50.98,27.86,25.39,0.71,16.12,1.08,43.36,0.85,139.49,113.4,716.54,0.8,14-Mar-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
14-Mar-2018 - 00:00,0.81,35.11,7.61,50.51,33.05,10.51,55.82,29.06,25.35,1.09,14.1,1.81,41.56,0.78,179.52,115.61,714.05,0.8,15-Mar-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
15-Mar-2018 - 00:00,0.68,38.93,2.23,38.42,22.24,9.52,54.75,28.93,25.3,0.4,7.2,0.65,40.59,1.2,213.01,54.31,713.06,0.81,16-Mar-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
16-Mar-2018 - 00:00,0.48,37.6,1.17,21.71,12.51,15.3,60.64,24.95,25.62,0.06,17.81,0.48,55.29,2.43,108.04,49.09,713.21,0.83,17-Mar-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
17-Mar-2018 - 00:00,0.53,34.94,1.24,24.53,14.06,6.19,53.5,25.03,25.8,0.05,7.6,0.18,61.19,1.2,130.54,103.39,714.95,0.8,18-Mar-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
