from date,Benzene,Toluene,Xylene,BP,PM2.5,RH,SR,Temp,VWS,WD,WS,RF,CO,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,4.86,8.26,5.85,745.0,339.11,89.72,17.86,28.17,-0.21,289.54,0.54,0.0,3.29,56.28,51.47,74.68,11.59,10.31,02-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
02-Jan-2018 - 00:00,2.05,2.6,1.68,745.0,228.73,90.7,15.72,28.13,-0.23,304.66,0.92,0.01,1.77,10.22,52.31,36.91,11.38,4.74,03-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
03-Jan-2018 - 00:00,1.92,3.69,2.76,745.04,276.8,85.54,12.1,28.13,-0.23,316.8,0.94,0.0,2.01,26.97,54.81,52.17,11.43,8.02,04-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
04-Jan-2018 - 00:00,3.85,7.63,4.79,744.98,297.38,89.16,14.36,28.19,-0.19,263.99,0.94,0.0,2.65,37.43,52.03,59.33,11.55,10.44,05-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
05-Jan-2018 - 00:00,2.17,3.13,1.32,745.03,226.89,84.25,13.53,28.19,-0.2,244.62,0.89,0.0,1.81,14.64,54.37,41.68,12.9,4.37,06-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
06-Jan-2018 - 00:00,4.25,9.15,6.56,745.23,251.21,79.92,12.86,28.24,-0.2,272.29,0.61,0.0,2.56,69.45,57.52,88.91,11.57,11.86,07-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
07-Jan-2018 - 00:00,3.55,10.52,7.88,745.32,233.85,66.5,11.57,28.25,-0.24,306.53,1.69,0.0,2.22,50.06,61.03,74.71,11.53,8.31,08-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
08-Jan-2018 - 00:00,2.79,8.64,6.72,745.35,172.75,59.91,11.59,28.27,-0.23,306.84,1.33,0.0,2.1,63.49,59.66,85.06,13.4,7.9,09-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
09-Jan-2018 - 00:00,4.17,13.4,8.55,745.32,221.65,63.83,11.52,28.27,-0.23,307.92,1.16,0.0,2.19,63.39,62.87,86.77,13.63,7.5,10-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
10-Jan-2018 - 00:00,2.25,6.0,3.17,745.42,182.32,58.46,11.43,28.32,-0.26,264.78,2.11,0.0,1.34,16.41,65.1,48.99,14.53,3.94,11-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
11-Jan-2018 - 00:00,1.43,3.94,2.16,745.41,130.22,51.77,11.6,28.37,-0.27,285.19,2.39,0.0,1.09,17.08,63.34,48.64,14.73,3.3,12-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
12-Jan-2018 - 00:00,2.85,11.56,5.66,745.44,172.26,48.88,11.52,28.23,-0.22,280.83,1.35,0.0,1.98,59.64,65.94,87.18,11.51,8.97,13-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
13-Jan-2018 - 00:00,5.46,22.53,12.71,745.45,239.02,56.1,11.53,28.14,-0.21,301.94,0.65,0.0,2.86,74.04,69.01,98.95,13.74,13.86,14-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
14-Jan-2018 - 00:00,3.19,10.54,6.6,745.43,196.01,55.14,11.61,28.19,-0.21,203.08,0.69,0.0,2.06,51.33,65.05,77.95,11.59,12.44,15-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
15-Jan-2018 - 00:00,3.51,10.5,8.89,745.39,224.99,58.62,11.55,28.11,-0.3,228.81,1.71,0.0,2.34,53.04,74.89,84.72,11.6,14.08,16-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
16-Jan-2018 - 00:00,2.59,7.93,5.87,745.44,156.36,49.94,11.55,28.24,-0.27,259.07,1.65,0.0,2.08,48.99,68.47,77.88,11.72,13.96,17-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
17-Jan-2018 - 00:00,3.76,11.55,8.54,745.43,240.05,63.82,11.38,28.21,-0.18,213.62,1.11,0.0,2.29,44.18,61.99,70.36,11.67,15.48,18-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
18-Jan-2018 - 00:00,2.66,5.94,3.4,714.56,237.67,66.29,11.7,27.01,-0.21,205.67,0.78,0.0,1.87,23.41,61.35,55.1,10.81,14.29,19-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
19-Jan-2018 - 00:00,3.26,11.27,6.53,714.59,226.46,63.75,10.77,26.99,-0.2,174.77,0.84,0.0,2.08,36.17,58.72,64.65,10.92,16.99,20-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
20-Jan-2018 - 00:00,1.49,4.33,2.82,745.42,176.66,62.14,11.8,28.23,-0.33,214.61,2.27,0.0,1.3,18.95,66.16,51.67,11.66,16.58,21-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
21-Jan-2018 - 00:00,3.06,9.41,4.8,745.44,198.45,57.23,11.62,28.27,-0.2,237.4,0.61,0.0,1.76,45.09,61.74,70.99,11.65,19.82,22-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
22-Jan-2018 - 00:00,2.57,5.15,4.05,745.47,201.19,59.06,11.65,28.15,-0.19,207.28,0.68,0.0,1.69,34.16,59.7,60.79,11.71,19.16,23-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
23-Jan-2018 - 00:00,1.51,2.92,2.0,745.12,168.89,73.38,13.5,28.01,-0.13,179.99,1.84,0.01,1.18,12.64,58.46,42.25,13.56,17.65,24-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
24-Jan-2018 - 00:00,1.08,2.01,1.08,745.0,166.83,87.89,16.8,27.89,-0.43,212.86,1.98,0.0,1.08,16.8,58.65,45.8,11.62,19.86,25-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
25-Jan-2018 - 00:00,2.24,8.44,4.3,745.17,169.9,81.73,13.54,27.9,-0.41,290.5,1.77,0.0,1.91,55.13,60.26,78.52,11.63,25.69,26-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
26-Jan-2018 - 00:00,4.78,20.89,9.36,745.33,239.24,76.01,12.11,27.95,-0.24,316.15,0.76,0.0,2.67,62.02,58.27,83.16,11.76,27.44,27-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
27-Jan-2018 - 00:00,2.67,5.84,3.63,745.12,238.9,85.67,13.46,27.9,-0.21,296.27,0.68,0.0,2.15,40.43,55.02,63.46,11.78,25.89,28-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
28-Jan-2018 - 00:00,3.19,8.16,4.52,745.3,248.04,77.2,12.92,28.01,-0.22,267.52,0.59,0.0,2.21,33.34,60.1,60.29,11.71,25.83,29-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
29-Jan-2018 - 00:00,2.66,7.21,4.82,745.48,242.56,63.46,11.93,28.11,-0.35,262.79,1.28,0.0,2.3,51.93,65.34,78.61,11.68,28.31,30-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
30-Jan-2018 - 00:00,0.81,3.05,2.09,745.79,103.15,51.3,11.95,28.36,-0.62,271.27,3.18,0.0,0.87,22.72,65.48,54.44,11.83,25.97,31-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
31-Jan-2018 - 00:00,0.74,2.24,1.23,745.73,90.92,52.23,11.85,28.37,-0.82,287.74,4.24,0.0,0.73,10.0,63.59,42.85,11.79,26.96,01-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
01-Feb-2018 - 00:00,1.92,6.68,4.0,745.93,117.5,49.33,11.79,28.25,-0.26,276.02,1.39,0.0,1.34,38.74,60.5,65.01,11.55,27.99,02-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
