from date,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
01-Jan-2018 - 00:00,0.0,5.66,12.33,73.85,80.68,995.18,13.66,491.86,142.97,29.61,8.54,,0.79,,28.46,02-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
02-Jan-2018 - 00:00,0.0,2.18,10.66,75.52,81.79,996.24,13.67,465.37,144.11,28.62,8.58,,0.75,,24.89,03-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
03-Jan-2018 - 00:00,0.0,2.15,11.38,68.77,106.05,996.4,13.67,422.8,123.52,26.91,8.84,,0.75,,21.21,04-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
04-Jan-2018 - 00:00,0.0,12.24,11.14,71.91,108.56,996.57,13.66,364.54,105.97,24.56,9.38,,0.75,,16.74,05-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
05-Jan-2018 - 00:00,0.0,1.52,9.92,71.78,97.14,995.97,13.67,376.21,126.22,26.08,9.24,,0.7,,15.46,06-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
06-Jan-2018 - 00:00,0.0,2.87,11.2,65.98,105.94,995.18,13.67,441.07,154.32,29.89,8.67,,0.76,,16.14,07-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
07-Jan-2018 - 00:00,0.0,6.69,10.12,73.56,71.44,996.65,13.67,346.26,101.98,20.9,10.52,,0.64,0.0,16.45,08-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
08-Jan-2018 - 00:00,,,,,,,,370.25,95.0,18.14,11.92,,0.5,0.0,18.62,09-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
09-Jan-2018 - 00:00,,,,,,,,466.12,124.66,23.54,10.4,,0.84,,17.14,10-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
10-Jan-2018 - 00:00,0.0,6.5,16.41,43.18,154.49,997.98,13.65,193.75,81.25,16.56,11.62,,0.77,,16.67,11-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
11-Jan-2018 - 00:00,0.0,6.04,15.42,46.77,130.05,996.67,13.66,139.24,83.65,15.57,11.46,,0.71,,16.83,12-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
12-Jan-2018 - 00:00,0.0,2.16,14.34,54.79,116.58,996.57,13.66,150.23,90.14,16.01,11.37,,0.73,,16.94,13-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
13-Jan-2018 - 00:00,0.0,1.53,15.75,56.32,129.26,997.23,13.65,213.0,127.8,18.52,10.61,,0.85,,20.55,14-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
14-Jan-2018 - 00:00,,,,,,,,181.7,109.02,16.64,11.36,,0.81,,16.32,15-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
15-Jan-2018 - 00:00,0.0,12.1,16.73,43.03,164.72,994.94,13.66,140.45,84.27,14.87,12.13,,0.76,,14.6,16-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
16-Jan-2018 - 00:00,0.0,2.29,14.92,50.69,135.39,994.1,13.66,137.6,82.57,15.5,11.69,,0.69,,16.14,17-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
17-Jan-2018 - 00:00,0.0,1.87,12.61,71.7,109.82,996.2,13.66,213.29,127.97,18.53,10.44,30.26,0.74,,14.09,18-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
18-Jan-2018 - 00:00,0.0,1.56,15.61,65.95,100.7,995.73,13.66,340.76,204.46,23.63,9.33,32.96,0.77,,14.56,19-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
19-Jan-2018 - 00:00,0.0,4.91,16.79,56.62,116.11,996.43,13.66,258.54,155.12,20.34,10.23,30.57,0.9,,14.99,20-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
20-Jan-2018 - 00:00,0.0,11.8,11.85,61.42,49.03,996.79,13.69,155.41,93.25,15.21,11.85,27.06,0.66,1.15,13.28,21-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
21-Jan-2018 - 00:00,0.0,0.81,14.52,54.28,180.88,994.58,13.66,145.96,87.57,15.69,11.62,27.3,0.49,0.97,17.2,22-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
22-Jan-2018 - 00:00,0.0,1.91,14.76,57.84,123.59,995.02,13.65,206.64,124.0,18.23,10.67,28.9,1.31,0.76,18.35,23-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
23-Jan-2018 - 00:00,,,,,,,,144.12,86.55,15.76,11.4,27.15,2.47,,15.79,24-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
24-Jan-2018 - 00:00,,,,,,,,119.21,71.56,14.76,11.79,26.56,2.24,,18.95,25-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
25-Jan-2018 - 00:00,,,,,,,,104.41,62.64,14.18,12.08,26.26,2.49,,15.44,26-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
26-Jan-2018 - 00:00,,,,,,,,142.14,85.29,15.69,11.44,27.12,1.56,,50.21,27-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
27-Jan-2018 - 00:00,0.0,,9.0,85.0,,994.0,13.7,177.61,106.56,17.1,10.96,28.07,1.61,,38.89,28-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
28-Jan-2018 - 00:00,0.0,1.22,13.3,61.77,142.22,995.52,13.66,136.9,82.14,15.43,11.6,27.03,1.87,,30.21,29-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
29-Jan-2018 - 00:00,0.0,6.46,16.45,49.66,140.98,996.56,13.65,151.08,90.65,16.04,11.47,27.51,1.9,,26.95,30-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
30-Jan-2018 - 00:00,0.0,,25.02,22.75,222.19,994.18,13.6,99.38,59.63,13.98,12.22,26.19,2.28,,17.56,31-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
31-Jan-2018 - 00:00,,,,,,,,108.08,64.85,14.32,12.04,26.37,2.35,,16.74,01-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
01-Feb-2018 - 00:00,,,,,,,,132.19,79.31,15.29,11.64,26.93,2.25,,17.35,02-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
02-Feb-2018 - 00:00,,,,,,,,119.8,71.88,14.79,11.85,26.64,2.12,,21.69,03-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
