from date,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,Rack Temp,RH,BP,SR,RF,VWS,Benzene,Toluene,Xylene,PM2.5,AT,to date,station
01-Jan-2018 - 00:00,2.86,8.03,125.47,108.86,5.9,5.68,0.27,190.14,30.52,60.54,734.87,57.37,0.0,-0.12,0.97,4.1,1.5,433.91,14.65,02-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Jan-2018 - 00:00,2.68,6.74,96.47,87.44,0.32,5.79,0.33,196.07,30.27,60.16,735.45,55.14,0.0,-0.15,0.8,2.93,0.93,249.42,13.54,03-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Jan-2018 - 00:00,2.17,8.73,84.82,76.8,0.0,5.86,0.34,249.46,31.25,59.37,736.06,83.64,0.0,-0.18,0.57,1.96,0.68,178.88,14.52,04-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Jan-2018 - 00:00,1.89,7.67,86.51,69.44,0.74,4.22,0.49,184.86,30.94,60.18,736.22,89.6,0.0,-0.12,0.61,1.85,0.78,240.83,12.56,05-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Jan-2018 - 00:00,1.69,6.33,76.08,59.99,3.68,7.07,0.43,143.83,31.05,60.35,735.76,92.84,0.0,-0.11,0.45,1.4,0.48,413.49,12.91,06-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Jan-2018 - 00:00,2.59,8.33,79.71,77.17,0.0,5.6,0.29,212.18,30.69,60.51,734.53,75.67,0.0,-0.15,0.71,2.45,0.78,239.89,14.1,07-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Jan-2018 - 00:00,1.55,5.21,64.98,71.89,0.0,3.37,1.45,263.78,29.77,59.45,735.49,104.95,0.0,-0.26,0.31,1.17,0.44,139.0,15.2,08-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Jan-2018 - 00:00,1.42,6.75,57.51,71.28,0.0,7.98,1.15,266.27,30.62,57.91,737.41,97.87,0.0,-0.23,0.27,0.89,0.33,146.58,15.99,09-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Jan-2018 - 00:00,1.23,7.98,62.83,82.58,0.35,8.13,1.14,266.81,30.57,59.55,739.52,91.65,0.0,-0.21,0.36,1.28,0.63,199.66,16.08,10-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Jan-2018 - 00:00,1.77,7.28,50.53,73.55,0.0,23.15,1.79,265.91,30.71,56.64,738.85,109.99,0.0,-0.3,0.25,0.85,0.39,153.46,17.0,11-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
