from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
