from date,NO2,NH3,NO,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM2.5,PM10,AT,SR,RH,RF,WD,WS,Temp,to date,station
01-Jan-2018 - 00:00,22.3,22.28,1.23,12.86,0.77,121.03,23.05,0.99,1.78,36.2,106.59,181.35,15.98,157.86,53.94,0.0,122.8,3.46,26.07,02-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
02-Jan-2018 - 00:00,17.04,19.53,1.12,9.98,0.55,107.75,19.29,0.86,0.47,31.78,92.89,160.03,12.59,165.09,52.77,0.0,73.07,4.51,26.26,03-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
03-Jan-2018 - 00:00,19.9,17.32,0.99,11.39,0.47,102.0,13.79,0.78,1.25,34.58,69.12,137.22,12.33,169.78,41.36,0.0,78.31,3.83,25.88,04-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
04-Jan-2018 - 00:00,18.79,17.19,0.99,10.79,0.55,109.68,24.54,0.62,2.23,34.46,57.97,122.06,16.02,173.24,43.45,0.0,154.98,3.4,26.25,05-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
05-Jan-2018 - 00:00,28.62,19.42,3.05,17.69,0.62,95.69,46.08,1.98,588.53,61.77,87.77,165.52,16.37,184.29,45.24,0.0,190.66,2.54,26.34,06-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
06-Jan-2018 - 00:00,26.47,17.54,1.38,15.2,0.59,90.98,33.85,3.2,,,67.86,137.64,15.82,185.77,41.23,0.0,192.17,2.46,25.83,07-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
07-Jan-2018 - 00:00,17.85,18.38,1.22,10.5,0.55,98.97,13.31,3.2,,,60.36,114.5,14.1,191.42,46.73,0.0,126.07,3.24,25.82,08-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
08-Jan-2018 - 00:00,20.41,17.69,1.09,11.75,0.51,97.43,15.86,2.1,825.97,34.03,65.25,132.91,14.09,185.43,45.71,0.0,61.57,4.01,26.09,09-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
09-Jan-2018 - 00:00,19.45,17.46,0.98,11.15,1.8,104.35,16.16,0.57,0.92,30.13,79.73,152.86,14.6,177.0,45.72,0.0,62.14,3.98,25.68,10-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
10-Jan-2018 - 00:00,21.02,15.84,1.0,11.98,1.32,101.49,13.45,0.73,0.93,27.83,56.73,126.15,15.08,186.68,37.32,0.0,84.33,3.72,26.42,11-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
11-Jan-2018 - 00:00,12.87,16.79,0.83,7.51,1.3,123.74,17.85,0.58,0.72,18.61,52.58,112.23,16.69,181.23,35.52,0.0,92.44,3.24,27.34,12-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
12-Jan-2018 - 00:00,23.86,18.41,1.13,13.61,1.02,113.03,25.6,0.79,1.76,21.64,70.56,152.84,18.08,177.72,35.96,0.0,79.89,3.51,27.07,13-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
13-Jan-2018 - 00:00,22.49,21.13,1.18,12.93,0.81,83.12,15.51,0.72,1.56,23.98,60.89,148.67,19.71,143.78,36.95,0.0,70.25,3.41,26.46,14-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
14-Jan-2018 - 00:00,16.51,21.19,0.93,9.54,0.95,104.0,21.51,0.79,1.81,41.75,67.29,135.14,22.19,146.22,38.25,0.0,105.62,2.54,25.92,15-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
15-Jan-2018 - 00:00,20.23,21.99,1.41,11.91,1.71,84.65,17.39,0.74,1.35,36.58,60.5,124.27,20.86,185.85,45.24,0.0,88.25,3.51,26.42,16-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
16-Jan-2018 - 00:00,17.83,17.25,0.94,10.25,0.72,98.09,22.75,0.48,2.74,29.38,47.28,115.61,20.5,198.3,38.17,0.0,137.29,2.92,26.52,17-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
17-Jan-2018 - 00:00,19.55,15.53,1.72,11.8,0.5,74.83,20.38,0.41,2.91,23.93,36.06,86.92,21.2,195.77,39.23,0.0,146.52,2.23,26.4,18-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
18-Jan-2018 - 00:00,15.65,13.03,1.34,9.42,0.57,71.38,18.6,0.5,1.19,22.57,29.2,166.3,21.08,213.7,38.35,0.0,175.11,2.73,26.61,19-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
19-Jan-2018 - 00:00,16.67,14.13,1.13,9.79,0.68,83.3,32.65,0.39,2.07,20.71,34.19,434.29,20.68,187.4,36.51,0.0,127.52,2.6,26.3,20-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
20-Jan-2018 - 00:00,15.58,17.61,1.55,9.54,0.65,92.23,19.63,0.56,1.95,28.34,39.08,94.17,20.28,198.35,42.59,0.0,121.86,2.54,26.7,21-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
21-Jan-2018 - 00:00,18.66,17.96,1.13,10.85,0.92,90.89,16.73,0.55,2.09,34.29,41.79,101.73,19.68,199.08,43.99,0.0,90.02,3.17,26.04,22-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
22-Jan-2018 - 00:00,22.6,14.74,1.0,12.83,0.63,102.48,30.25,0.54,2.7,38.46,48.65,122.02,20.29,197.1,39.45,0.0,135.79,2.93,26.31,23-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
23-Jan-2018 - 00:00,15.65,12.85,1.08,9.21,0.84,98.63,29.17,0.41,1.25,30.18,51.58,134.24,17.25,181.69,45.11,0.0,244.75,3.92,25.89,24-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
24-Jan-2018 - 00:00,10.27,13.05,0.95,6.23,0.36,100.56,11.26,0.44,79.09,11.92,393.38,149.41,12.84,205.16,44.21,0.0,209.75,3.72,26.02,25-Jan-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
