from date,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,SO2,WS,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,to date,station
01-Jan-2018 - 00:00,0.12,100.09,88.62,755.69,75.48,106.54,83.6,129.71,3.19,364.93,16.76,,0.0,12.73,0.77,9.65,34.69,9.82,7.92,5.26,02-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
02-Jan-2018 - 00:00,0.04,236.54,85.76,756.11,72.19,41.75,61.3,66.01,6.13,325.26,15.71,,0.0,13.13,0.54,6.88,22.97,5.27,5.81,3.54,03-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
03-Jan-2018 - 00:00,-0.09,251.89,84.48,756.53,80.21,26.96,44.35,45.16,11.09,189.02,15.44,,0.0,8.1,0.68,5.91,16.99,4.17,6.83,0.93,04-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
04-Jan-2018 - 00:00,0.13,146.55,83.34,756.52,84.63,30.04,71.31,61.96,14.05,215.31,15.42,,0.0,8.78,0.87,8.39,20.32,5.01,6.47,0.93,05-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
05-Jan-2018 - 00:00,0.14,144.39,79.91,756.2,78.47,45.47,70.29,73.76,11.92,212.85,15.67,,0.0,11.44,0.83,7.1,16.44,5.62,2.3,0.79,06-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
06-Jan-2018 - 00:00,0.15,225.45,77.54,755.57,86.43,109.4,63.52,121.3,16.34,223.11,15.94,,0.0,12.65,0.65,13.36,35.27,10.13,7.32,1.2,07-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
07-Jan-2018 - 00:00,0.09,252.7,66.02,756.1,95.2,46.81,49.71,63.89,23.09,137.43,16.81,,0.0,9.68,0.99,5.79,15.63,4.45,2.89,0.77,08-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
08-Jan-2018 - 00:00,0.03,239.94,51.07,757.28,90.82,75.71,59.86,92.41,25.67,108.63,17.79,,0.0,15.45,0.74,8.87,27.14,8.29,6.51,1.22,09-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
09-Jan-2018 - 00:00,-0.0,217.82,60.55,758.57,88.83,151.99,65.7,156.53,21.06,223.1,17.56,,0.76,16.07,0.72,12.4,42.47,13.17,9.55,1.54,10-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
10-Jan-2018 - 00:00,0.12,263.99,52.89,758.14,81.01,29.59,64.83,58.06,22.45,230.09,18.55,,1.49,8.05,1.24,6.12,18.11,3.56,2.08,0.74,11-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
11-Jan-2018 - 00:00,-0.02,250.05,51.29,757.23,86.89,29.3,57.67,54.11,32.24,198.36,18.59,,1.09,14.25,1.28,5.72,16.86,4.27,2.25,0.7,12-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
12-Jan-2018 - 00:00,-0.3,234.23,48.18,756.53,82.46,39.85,46.27,56.49,26.32,114.8,19.31,,1.63,22.75,0.87,13.76,49.07,13.04,10.76,2.03,13-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
13-Jan-2018 - 00:00,-0.14,201.52,53.25,756.72,92.11,46.1,24.93,49.81,17.67,164.41,19.39,,2.49,18.83,0.65,20.9,62.18,20.1,13.81,2.41,14-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
14-Jan-2018 - 00:00,-0.28,218.88,49.9,756.72,87.81,15.03,29.98,27.97,22.75,169.96,19.08,,1.84,17.21,0.86,8.53,25.0,9.71,7.14,1.3,15-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
15-Jan-2018 - 00:00,-0.22,251.71,55.11,756.77,86.38,18.38,34.25,32.48,23.29,140.76,18.83,,1.14,8.21,1.01,5.87,15.94,4.36,4.02,0.89,16-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
16-Jan-2018 - 00:00,0.04,243.13,40.18,755.12,86.94,25.08,28.37,33.96,33.4,199.37,19.71,,1.35,19.48,1.13,8.05,28.14,8.35,6.68,0.89,17-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
