from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,SR,Temp,Toluene,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,3.13,0.53,1.83,0.9,743.54,173.1,102.22,0.0,40.18,232.86,16.73,0.43,76.11,1.06,1.06,51.49,9.45,38.29,16.17,89.46,14.25,02-Jan-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
02-Jan-2018 - 00:00,3.48,0.81,2.64,1.21,752.9,189.68,112.64,0.0,43.59,207.54,16.53,0.41,75.86,0.74,1.9,55.88,31.04,27.35,0.0,65.56,17.58,03-Jan-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
03-Jan-2018 - 00:00,6.39,2.45,7.34,3.4,753.48,237.59,125.69,0.0,42.68,206.27,16.26,0.89,75.52,0.55,1.17,86.38,83.86,31.76,0.0,48.46,18.37,04-Jan-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
04-Jan-2018 - 00:00,4.46,1.29,4.61,2.18,753.23,183.87,84.84,0.0,36.5,211.88,17.06,0.6,79.96,0.91,0.0,67.84,33.63,38.17,0.0,43.01,10.7,05-Jan-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
05-Jan-2018 - 00:00,7.89,7.76,13.51,9.07,752.59,161.62,89.26,0.0,35.99,218.85,17.4,9.73,80.08,0.7,0.0,54.13,22.58,35.59,0.0,69.48,12.48,06-Jan-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
06-Jan-2018 - 00:00,10.74,3.72,12.82,5.77,752.29,182.72,91.22,0.0,40.16,232.61,18.69,15.54,79.85,0.94,0.01,59.33,32.47,33.92,0.0,78.46,14.46,07-Jan-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
07-Jan-2018 - 00:00,7.88,2.87,8.48,3.92,753.33,140.19,68.75,0.0,34.19,121.93,16.75,13.67,74.12,0.77,0.0,41.96,15.38,24.21,31.88,69.38,18.66,08-Jan-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
08-Jan-2018 - 00:00,13.4,8.2,24.48,11.07,754.98,178.53,78.72,0.0,26.28,241.95,18.21,24.71,78.18,0.71,0.0,68.89,49.25,29.64,82.26,67.84,27.64,09-Jan-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
09-Jan-2018 - 00:00,6.55,1.86,6.07,2.76,756.24,197.69,104.1,0.0,33.63,222.35,17.71,8.89,79.88,0.69,0.0,75.34,76.88,27.62,64.61,71.74,18.55,10-Jan-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
10-Jan-2018 - 00:00,2.98,0.93,3.06,1.39,756.23,161.27,92.82,0.0,27.85,207.21,17.97,4.71,76.62,0.83,0.0,62.06,25.48,28.15,53.85,54.6,22.91,11-Jan-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
11-Jan-2018 - 00:00,2.83,0.65,2.11,0.97,755.35,151.68,78.25,0.0,24.72,210.81,18.37,3.34,77.22,1.03,0.0,55.19,21.46,35.77,57.48,56.33,41.97,12-Jan-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
12-Jan-2018 - 00:00,3.83,2.04,6.12,2.79,754.13,204.69,110.52,0.0,27.09,200.56,18.95,6.38,80.68,0.96,0.0,91.95,87.61,21.81,84.73,58.47,39.98,13-Jan-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
