from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,6.49,2.53,7.16,3.46,745.14,215.2,113.28,0.0,62.52,16.54,173.89,0.73,1.18,16.13,22.82,41.94,64.78,40.31,8.24,02-Jan-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
02-Jan-2018 - 00:00,5.74,2.15,6.28,3.16,744.93,181.8,90.24,0.0,58.13,15.3,155.79,0.73,1.01,14.31,21.6,36.55,58.15,35.82,7.74,03-Jan-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
03-Jan-2018 - 00:00,3.85,1.28,4.16,1.85,742.86,156.97,68.69,0.0,51.09,14.53,189.39,0.78,0.87,12.53,11.46,40.28,51.74,38.04,4.56,04-Jan-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
04-Jan-2018 - 00:00,4.98,1.79,5.28,2.57,742.79,188.91,73.05,0.0,51.88,15.69,147.66,1.04,1.03,15.31,12.5,40.83,51.06,43.41,7.73,05-Jan-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
05-Jan-2018 - 00:00,4.34,1.92,5.03,2.62,744.05,158.93,71.63,0.0,59.62,16.04,165.04,0.85,0.92,17.65,11.77,46.01,53.63,42.49,8.16,06-Jan-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
06-Jan-2018 - 00:00,5.46,2.36,6.49,3.18,741.34,170.39,73.17,0.0,56.3,16.18,178.43,0.8,1.0,14.11,25.1,43.41,68.51,34.1,7.31,07-Jan-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
07-Jan-2018 - 00:00,3.96,1.46,4.49,2.25,739.31,158.51,59.31,0.0,47.15,16.61,177.09,0.84,0.82,13.97,12.51,44.56,57.08,39.01,8.05,08-Jan-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
08-Jan-2018 - 00:00,5.23,2.82,7.37,3.65,724.72,160.69,64.78,0.0,50.41,15.97,151.05,0.81,0.93,14.18,21.87,46.56,68.42,41.12,6.92,09-Jan-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
09-Jan-2018 - 00:00,5.64,2.61,6.83,3.46,724.09,191.34,84.58,0.0,55.42,15.17,176.55,0.75,1.07,15.67,15.74,40.9,56.64,37.78,12.31,10-Jan-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
10-Jan-2018 - 00:00,4.85,1.91,5.75,2.87,743.27,183.51,73.55,0.0,48.33,16.34,162.17,0.74,0.98,11.73,13.43,33.21,46.64,39.34,19.63,11-Jan-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
11-Jan-2018 - 00:00,3.41,1.06,3.47,1.69,760.21,144.88,56.1,0.0,40.34,17.93,213.05,0.87,0.72,13.14,14.55,19.48,34.02,48.01,10.05,12-Jan-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
12-Jan-2018 - 00:00,3.73,1.88,5.51,3.0,763.52,140.23,50.74,0.0,31.04,18.73,162.48,0.85,0.89,10.13,19.59,14.26,33.78,46.77,11.11,13-Jan-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
13-Jan-2018 - 00:00,4.93,2.07,6.62,3.17,767.19,171.85,60.74,0.0,37.72,19.73,135.38,0.84,0.91,14.12,15.99,25.34,41.33,31.14,18.35,14-Jan-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
14-Jan-2018 - 00:00,3.85,1.46,4.69,2.26,767.58,160.7,65.52,0.0,52.36,19.72,156.15,0.92,0.81,16.1,12.76,24.83,37.6,27.82,16.81,15-Jan-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
15-Jan-2018 - 00:00,2.78,1.38,4.0,1.96,766.15,155.9,50.84,0.0,46.55,19.4,196.45,0.8,0.69,13.61,12.79,22.72,35.51,36.25,16.43,16-Jan-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
16-Jan-2018 - 00:00,3.27,1.17,4.04,1.88,758.1,134.95,58.57,0.0,41.0,18.74,148.12,1.05,0.71,11.79,11.17,21.75,32.93,41.93,20.33,17-Jan-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
17-Jan-2018 - 00:00,3.75,1.34,4.81,2.2,757.58,147.21,56.65,0.0,47.41,19.53,131.16,1.07,0.79,14.99,14.02,18.28,32.3,30.94,23.43,18-Jan-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
