from date,PM10,PM2.5,NO2,NO,NOx,CO,to date,station
01-Jan-2018 - 00:00,,,,,,,02-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
02-Jan-2018 - 00:00,,,,,,,03-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
03-Jan-2018 - 00:00,,,,,,,04-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
04-Jan-2018 - 00:00,,,,,,,05-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
05-Jan-2018 - 00:00,,,,,,,06-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
06-Jan-2018 - 00:00,,,,,,,07-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
07-Jan-2018 - 00:00,,,,,,,08-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
08-Jan-2018 - 00:00,,,,,,,09-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
09-Jan-2018 - 00:00,,,,,,,10-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
10-Jan-2018 - 00:00,,,,,,,11-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
11-Jan-2018 - 00:00,,,,,,,12-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
12-Jan-2018 - 00:00,,,,,,,13-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
13-Jan-2018 - 00:00,,,,,,,14-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
14-Jan-2018 - 00:00,,,,,,,15-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
15-Jan-2018 - 00:00,,,,,,,16-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
16-Jan-2018 - 00:00,,,,,,,17-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
17-Jan-2018 - 00:00,,,,,,,18-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
18-Jan-2018 - 00:00,,,,,,,19-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
19-Jan-2018 - 00:00,,,,,,,20-Jan-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
