from date,PM10,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM2.5,NH3,SO2,Benzene,Toluene,MP-Xylene,Eth-Benzene,to date,station
01-Jan-2018 - 00:00,,,163.48,89.76,56.65,44.05,158.23,115.98,,18.28,,0.07,0.0,371.74,99.45,,,,,,02-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
02-Jan-2018 - 00:00,,,172.95,92.35,51.24,11.23,104.81,61.74,,17.57,,0.12,0.0,378.36,59.5,,,,,,03-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
03-Jan-2018 - 00:00,,,269.12,97.35,61.2,8.68,82.69,48.14,,15.79,,0.17,0.0,233.55,46.87,,,,,,04-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
04-Jan-2018 - 00:00,,,121.7,81.76,120.0,3.77,82.51,44.12,,17.44,,0.19,0.0,269.43,45.83,,,,,,05-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
05-Jan-2018 - 00:00,,,100.67,89.04,62.99,4.15,72.84,39.35,,13.85,,0.19,0.0,278.02,41.39,,,,,,06-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
06-Jan-2018 - 00:00,,,193.2,81.32,74.87,7.25,119.9,66.47,,14.84,,0.16,0.0,258.58,63.63,,,,,,07-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
07-Jan-2018 - 00:00,,,270.73,78.89,111.6,2.19,64.94,33.64,,16.38,,0.29,0.0,219.13,35.4,,,,,,08-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
08-Jan-2018 - 00:00,,,202.5,60.1,105.59,12.63,108.95,65.03,,20.48,,0.22,0.0,158.08,60.48,,,,,,09-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
09-Jan-2018 - 00:00,,,235.41,74.64,95.26,5.12,110.49,59.83,,18.73,,0.23,0.0,229.49,58.35,,,,,,10-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
10-Jan-2018 - 00:00,,,268.24,82.96,127.04,2.67,70.39,36.87,,17.77,,0.36,0.0,231.35,39.31,,,,,,11-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
11-Jan-2018 - 00:00,,,233.08,44.86,115.39,4.0,65.17,36.86,,21.96,,0.34,0.0,120.95,36.06,,,,,,12-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
12-Jan-2018 - 00:00,,,224.47,70.0,50.99,28.76,104.34,75.52,,18.93,,0.22,0.0,270.18,68.47,,,,,,13-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
13-Jan-2018 - 00:00,,,198.89,68.08,88.3,42.41,158.89,115.01,,19.77,,0.17,0.0,204.67,102.04,,,,,,14-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
14-Jan-2018 - 00:00,,,211.3,68.58,94.55,8.95,101.62,58.25,,19.78,,0.2,0.0,182.48,57.16,,,,,,15-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
15-Jan-2018 - 00:00,,,253.75,71.52,114.74,14.0,102.81,62.6,,20.03,,0.31,0.0,230.08,58.99,,,,,,16-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
16-Jan-2018 - 00:00,,,124.91,71.06,10.44,32.99,29.07,39.53,,19.77,,0.08,0.0,300.38,28.42,,,,,,17-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
17-Jan-2018 - 00:00,,,87.82,87.7,72.54,13.58,20.09,19.27,,18.61,,0.22,0.0,267.71,13.11,,,,,,18-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
18-Jan-2018 - 00:00,,,145.87,75.09,70.34,10.81,19.85,17.0,,21.31,,0.11,0.0,245.56,11.48,,,,,,19-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
19-Jan-2018 - 00:00,,,206.75,74.62,88.56,14.86,21.24,20.96,,20.92,,0.19,0.0,287.62,14.07,,,,,,20-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
22-Jan-2018 - 00:00,,,93.04,63.81,78.56,6.92,18.51,13.11,,23.58,,0.22,0.0,189.32,7.83,,,,,,23-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
23-Jan-2018 - 00:00,,,123.02,89.13,30.24,2.62,15.85,8.33,,18.49,,0.21,0.0,189.66,4.54,,,,,,24-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
24-Jan-2018 - 00:00,,,245.41,92.97,72.96,4.0,15.82,9.38,,18.55,,0.19,0.0,168.89,5.12,,,,,,25-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
25-Jan-2018 - 00:00,,,261.87,94.53,86.44,3.03,13.48,7.36,,18.15,,0.36,0.0,125.0,3.47,,,,,,26-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
26-Jan-2018 - 00:00,,,208.0,99.7,9.46,12.48,17.34,16.95,,15.32,,0.12,0.0,178.5,10.29,,,,,,27-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
