from date,Temp,RH,VWS,WD,WS,SR,PM2.5,CO,CH4,NO2,NO,NOx,NH3,SO2,NMHC,to date,THC,BP,station
01-Jan-2018 - 00:00,7.86,97.92,0.24,271.38,0.51,43.93,185.56,0.0,801.78,59.93,7.07,37.4,54.74,9.91,244.99,02-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
02-Jan-2018 - 00:00,7.7,94.39,0.21,287.98,0.52,56.8,234.26,0.0,601.21,59.86,12.93,42.06,52.13,11.07,334.78,03-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
03-Jan-2018 - 00:00,7.75,96.3,0.23,303.84,0.99,73.74,256.64,0.24,80.89,61.26,9.04,39.79,52.47,11.38,251.69,04-Jan-2018 - 00:00,267.07,,"Talkatora District Industries Center, Lucknow - CPCB"
04-Jan-2018 - 00:00,10.78,90.47,0.18,211.79,0.56,73.18,271.18,0.06,807.01,63.41,8.02,40.11,51.8,10.6,341.0,05-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
05-Jan-2018 - 00:00,6.92,97.22,0.24,251.59,0.65,58.89,263.09,0.0,829.84,62.73,12.03,42.98,50.51,16.58,396.14,06-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
06-Jan-2018 - 00:00,8.95,86.68,0.15,253.07,0.6,105.98,206.69,0.0,706.98,62.35,18.91,48.19,49.02,12.74,253.27,07-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
07-Jan-2018 - 00:00,10.27,87.3,0.16,226.43,0.56,91.36,273.63,0.0,547.35,64.34,17.59,48.29,49.74,13.41,433.24,08-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
08-Jan-2018 - 00:00,11.88,85.67,0.15,176.36,0.47,85.8,293.4,0.0,736.01,69.52,13.12,47.47,50.66,19.06,508.67,09-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
09-Jan-2018 - 00:00,8.51,96.2,0.24,212.99,0.45,61.12,299.84,0.53,719.31,63.59,14.03,45.0,51.72,14.16,429.8,10-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
10-Jan-2018 - 00:00,8.93,92.62,0.21,228.35,0.62,89.29,253.93,0.93,809.09,63.6,11.05,42.63,52.36,15.77,381.45,11-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
11-Jan-2018 - 00:00,9.96,93.36,0.22,200.22,0.58,68.32,362.02,0.9,757.9,65.19,13.44,45.37,52.19,16.14,437.1,12-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
12-Jan-2018 - 00:00,9.66,95.92,0.24,151.68,0.41,59.6,464.1,0.76,907.23,69.85,10.59,45.6,52.78,15.07,441.9,13-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
13-Jan-2018 - 00:00,11.11,92.11,0.2,272.99,0.53,77.06,431.74,1.04,616.56,65.17,21.58,51.91,51.29,15.28,313.74,14-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
14-Jan-2018 - 00:00,13.93,75.04,0.07,274.7,0.64,104.49,248.47,0.91,484.98,67.15,22.58,53.75,49.38,12.75,287.75,15-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
15-Jan-2018 - 00:00,14.74,68.25,0.01,293.29,0.8,93.25,229.34,0.78,597.61,68.39,14.89,48.26,50.41,13.65,423.22,16-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
16-Jan-2018 - 00:00,13.44,78.94,0.1,231.29,0.62,85.46,206.8,0.94,742.8,62.86,9.49,41.02,53.24,19.09,307.03,17-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
