from date,PM2.5,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,RH,BP,SR,WD,VWS,WS,RF,AT,to date,station
01-Jan-2018 - 00:00,42.94,78.44,8.55,37.11,72.9,68.95,11.16,0.65,17.84,1.42,3.12,0.29,31.31,71.06,,24.39,195.15,0.01,1.54,0.0,19.25,02-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
02-Jan-2018 - 00:00,45.59,74.75,12.44,26.5,62.17,54.61,11.47,0.59,24.54,1.07,2.63,0.17,31.89,75.57,,37.01,224.59,-0.04,1.53,0.0,19.17,03-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
03-Jan-2018 - 00:00,45.27,75.0,9.61,22.81,58.21,49.49,12.2,0.49,37.61,1.13,2.4,0.2,33.37,76.7,,52.32,230.82,-0.04,1.62,0.0,18.74,04-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
04-Jan-2018 - 00:00,65.9,101.69,3.39,11.3,53.23,37.5,13.61,0.56,47.27,1.2,2.33,0.12,31.07,74.15,,52.2,225.16,-0.06,2.04,0.0,18.18,05-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
05-Jan-2018 - 00:00,69.55,106.25,7.13,22.62,68.71,55.11,16.49,0.61,47.94,1.21,2.48,0.19,31.3,70.01,,61.76,244.15,-0.05,1.82,0.0,18.0,06-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
06-Jan-2018 - 00:00,65.76,98.4,7.15,23.99,80.0,62.03,18.82,0.6,41.74,1.12,2.61,0.21,31.42,69.06,,52.67,272.54,-0.03,1.36,0.0,17.77,07-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
07-Jan-2018 - 00:00,55.41,81.85,6.4,25.54,82.89,64.86,17.0,0.53,42.91,1.02,2.17,0.12,31.21,63.2,,61.89,278.38,-0.04,1.8,0.0,17.74,08-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
08-Jan-2018 - 00:00,59.02,96.07,5.51,19.68,60.28,47.98,18.45,0.5,56.85,0.94,1.79,0.06,31.32,74.33,,60.73,263.93,-0.07,2.32,0.0,17.54,09-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
09-Jan-2018 - 00:00,59.08,114.49,7.47,7.63,45.76,30.54,17.52,0.55,59.84,1.12,1.86,0.15,31.13,85.76,,17.66,121.75,0.0,3.21,0.0,17.34,10-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
10-Jan-2018 - 00:00,58.95,112.59,7.7,8.0,52.77,34.57,16.16,0.59,54.23,1.17,2.01,0.09,31.33,82.44,,5.43,73.42,0.01,2.77,0.0,17.86,11-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
11-Jan-2018 - 00:00,66.93,115.71,4.52,14.03,58.2,42.36,15.75,0.69,45.32,1.43,2.62,0.15,31.55,75.87,,67.75,101.9,-0.05,1.86,0.0,19.82,12-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
12-Jan-2018 - 00:00,64.1,98.98,3.64,32.01,79.93,68.54,14.26,0.66,30.85,1.35,3.23,0.22,31.21,66.15,,65.65,144.44,-0.04,1.0,0.0,20.37,13-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
13-Jan-2018 - 00:00,59.97,95.48,11.87,51.38,72.14,80.14,12.54,0.61,23.75,1.29,3.13,0.19,30.14,66.92,,67.56,174.28,-0.04,1.18,0.0,20.4,14-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
14-Jan-2018 - 00:00,129.06,181.08,12.32,27.46,86.65,68.41,16.12,0.99,37.05,3.26,3.29,0.13,29.94,64.9,,61.89,158.38,-0.07,1.56,0.0,19.8,15-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
15-Jan-2018 - 00:00,62.16,95.09,4.48,45.93,89.48,85.32,10.67,0.65,27.13,1.15,2.35,0.07,29.99,59.92,,40.27,202.37,-0.03,1.01,0.0,19.51,16-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
16-Jan-2018 - 00:00,62.76,100.93,3.03,25.44,69.51,57.65,12.24,0.51,28.42,1.2,2.11,0.07,29.94,67.33,,54.19,199.64,-0.04,1.48,0.0,19.57,17-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
17-Jan-2018 - 00:00,50.12,82.23,4.08,19.61,60.74,48.25,19.25,0.51,35.67,0.96,1.97,0.1,31.28,64.26,,62.22,215.74,-0.06,1.57,0.0,18.9,18-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
18-Jan-2018 - 00:00,40.93,67.89,3.83,15.08,63.26,45.9,19.95,0.35,38.08,0.95,1.81,0.07,31.7,66.67,,70.54,224.82,-0.06,1.72,0.0,18.11,19-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
19-Jan-2018 - 00:00,46.6,77.84,2.13,17.51,68.27,50.55,18.82,0.55,40.33,1.16,2.05,0.08,30.69,71.39,,58.12,214.79,-0.08,1.71,0.0,17.46,20-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
20-Jan-2018 - 00:00,56.93,89.6,3.82,29.21,76.48,64.43,17.34,0.6,37.99,1.25,2.25,0.14,30.94,72.75,,61.07,237.45,-0.07,1.56,0.0,17.43,21-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
21-Jan-2018 - 00:00,74.56,115.14,4.32,51.67,97.89,94.06,16.89,0.63,34.3,1.37,2.46,0.21,31.25,73.36,,58.7,218.76,-0.02,1.82,0.0,17.4,22-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
22-Jan-2018 - 00:00,63.75,99.91,3.77,23.91,78.33,61.1,15.55,0.65,38.75,1.28,2.32,0.19,31.11,77.21,,53.67,231.59,-0.03,1.66,0.0,17.71,23-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
23-Jan-2018 - 00:00,48.16,78.35,2.29,36.29,65.74,64.48,14.02,0.58,29.24,1.39,2.78,0.26,31.03,76.96,,54.27,222.44,-0.03,1.21,0.0,18.51,24-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
24-Jan-2018 - 00:00,61.84,102.45,5.1,41.55,72.46,72.31,26.42,0.76,27.53,1.24,3.16,0.39,34.21,74.48,,46.34,257.77,-0.03,1.19,0.0,,25-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
25-Jan-2018 - 00:00,68.22,102.99,10.95,37.94,82.22,74.49,33.66,0.93,39.25,0.99,2.84,0.26,32.45,57.33,,101.08,220.43,-0.06,1.73,0.0,20.64,26-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
26-Jan-2018 - 00:00,69.31,111.39,4.91,32.0,87.59,72.62,17.64,0.73,41.56,1.12,2.52,0.14,30.47,60.0,,61.49,191.05,-0.04,1.41,0.0,19.42,27-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
27-Jan-2018 - 00:00,72.19,117.65,6.41,30.9,91.51,72.88,17.97,0.72,34.95,1.17,2.0,0.1,30.35,63.15,,84.84,164.46,-0.02,1.3,0.0,19.1,28-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
28-Jan-2018 - 00:00,58.14,92.92,2.34,23.9,75.29,59.47,17.53,0.55,38.15,1.0,1.9,0.07,29.75,64.69,,104.19,282.89,-0.03,2.09,0.0,18.75,29-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
29-Jan-2018 - 00:00,55.55,86.86,1.57,10.1,53.9,36.85,18.05,1.17,52.17,0.93,1.57,0.03,31.67,65.29,,173.08,209.79,-0.06,2.55,0.0,20.33,30-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Tirumala, Tirupati - APPCB"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
01-Feb-2018 - 00:00,31.16,67.69,2.26,25.91,87.04,63.82,15.26,1.13,33.52,0.89,2.29,0.22,31.03,47.26,,4.92,121.45,-0.02,1.23,0.0,20.13,02-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
02-Feb-2018 - 00:00,33.57,68.26,4.27,21.86,89.37,65.3,13.7,0.54,40.5,0.76,1.89,0.1,30.91,44.69,,84.91,111.08,-0.05,1.36,0.0,19.87,03-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
03-Feb-2018 - 00:00,30.76,68.79,6.76,22.3,72.18,56.51,12.64,0.37,40.36,0.7,1.96,0.16,30.74,50.5,,85.27,94.12,-0.07,1.62,0.0,18.55,04-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
04-Feb-2018 - 00:00,29.64,64.38,4.68,23.34,71.04,56.76,13.17,0.37,31.18,0.6,1.51,0.08,29.91,66.73,,79.43,87.51,-0.06,1.78,0.0,17.7,05-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
05-Feb-2018 - 00:00,30.2,66.07,3.38,31.04,66.67,60.71,13.89,0.5,26.01,0.86,2.07,0.12,29.88,75.14,,71.96,76.64,-0.02,1.64,0.0,17.69,06-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
06-Feb-2018 - 00:00,36.32,70.5,2.09,32.1,56.87,56.34,13.75,0.56,22.29,0.92,2.37,0.19,30.03,78.75,,58.39,101.72,-0.02,1.1,0.0,19.22,07-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
07-Feb-2018 - 00:00,28.88,57.0,4.83,10.16,36.61,27.74,13.3,0.45,25.93,0.68,1.81,0.09,30.27,78.15,,58.23,145.51,0.03,1.43,0.55,20.34,08-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
08-Feb-2018 - 00:00,43.62,73.14,6.92,26.69,64.18,55.83,13.24,0.58,31.31,0.91,2.42,0.12,30.22,67.26,,52.24,93.42,-0.04,1.43,0.0,20.37,09-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
09-Feb-2018 - 00:00,39.73,68.54,5.62,31.62,73.07,64.58,14.59,0.52,29.99,1.05,2.85,0.19,30.29,58.24,,77.66,112.8,-0.02,1.21,0.0,21.58,10-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
10-Feb-2018 - 00:00,33.62,62.51,5.47,33.97,51.6,55.06,12.04,0.47,23.77,0.78,2.64,0.27,30.32,62.89,,62.55,117.78,-0.03,1.09,0.0,20.81,11-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
11-Feb-2018 - 00:00,45.43,75.09,6.49,16.26,44.33,36.79,13.53,0.36,31.58,0.71,1.82,0.09,30.04,70.01,,71.6,148.96,-0.05,1.37,0.0,19.58,12-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
12-Feb-2018 - 00:00,44.3,75.58,3.78,37.55,99.33,83.36,11.07,0.4,26.7,0.72,2.01,0.19,29.75,81.71,,35.19,71.69,-0.05,1.87,0.0,19.1,13-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
13-Feb-2018 - 00:00,52.02,85.14,4.98,40.5,269.11,176.08,9.52,0.39,31.5,0.69,1.76,0.16,29.84,80.85,,59.59,66.72,-0.05,1.9,0.0,18.88,14-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
14-Feb-2018 - 00:00,45.04,78.14,2.87,33.18,300.65,186.9,8.93,0.44,36.09,0.93,1.81,0.12,30.09,79.57,,73.25,65.47,-0.03,2.05,0.0,19.32,15-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
15-Feb-2018 - 00:00,43.31,77.2,8.12,22.77,106.38,75.09,10.1,0.42,38.62,1.14,2.23,0.21,30.49,66.59,,90.59,73.11,-0.03,2.09,0.0,20.47,16-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
16-Feb-2018 - 00:00,31.08,52.77,4.42,26.06,70.39,58.64,9.51,0.38,36.64,0.88,2.04,0.18,30.82,53.0,,85.57,86.96,-0.04,1.44,0.0,20.17,17-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
17-Feb-2018 - 00:00,48.29,84.47,9.2,23.88,79.71,61.78,12.59,0.54,42.05,1.1,2.6,0.29,30.31,60.67,,79.7,114.48,-0.01,1.3,0.0,20.5,18-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
18-Feb-2018 - 00:00,47.18,73.2,5.47,27.39,88.7,69.44,10.66,0.52,46.29,0.96,2.26,0.15,30.49,53.09,,87.79,117.05,-0.04,1.34,0.0,20.56,19-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
19-Feb-2018 - 00:00,41.92,71.61,8.4,16.45,70.08,50.65,10.17,0.48,50.41,0.73,2.17,0.11,30.59,55.62,,86.3,92.29,-0.06,1.47,0.0,20.08,20-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
20-Feb-2018 - 00:00,45.15,86.43,8.5,16.06,74.01,52.42,10.21,0.47,50.66,0.76,2.17,0.14,30.42,57.99,,83.36,101.22,-0.06,1.54,0.0,19.97,21-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
21-Feb-2018 - 00:00,41.81,91.5,5.87,18.33,70.37,52.33,9.9,0.46,50.92,0.68,1.88,0.13,30.67,51.33,,82.57,108.4,-0.06,1.5,0.0,20.4,22-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
22-Feb-2018 - 00:00,39.1,83.62,6.73,18.25,71.71,52.98,9.74,0.42,49.85,0.6,1.9,0.09,30.64,49.85,,86.66,104.03,-0.06,1.54,0.0,21.0,23-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
23-Feb-2018 - 00:00,36.16,78.05,5.95,23.66,67.84,55.32,10.51,0.45,45.29,0.63,2.05,0.09,30.59,55.05,,90.71,88.3,-0.05,1.67,0.0,20.01,24-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
24-Feb-2018 - 00:00,35.66,69.16,5.96,46.08,59.15,68.93,10.52,0.49,22.92,0.77,2.39,0.13,30.06,71.57,,80.68,102.15,-0.03,1.21,0.0,19.16,25-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
25-Feb-2018 - 00:00,26.48,51.21,5.16,55.61,51.39,72.57,7.33,0.43,16.48,0.77,2.19,0.13,29.75,66.98,,92.31,89.08,-0.03,1.4,0.0,19.61,26-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
26-Feb-2018 - 00:00,16.65,39.54,2.86,57.89,60.59,79.29,6.34,0.45,16.52,0.69,2.26,0.17,30.1,53.18,,94.62,100.4,-0.03,1.25,0.0,21.07,27-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
27-Feb-2018 - 00:00,21.3,44.03,3.73,45.34,66.13,72.03,7.95,0.38,26.18,0.56,2.03,0.14,30.4,45.86,,93.12,106.54,-0.04,1.39,0.0,21.73,28-Feb-2018 - 00:00,"Tirumala, Tirupati - APPCB"
28-Feb-2018 - 00:00,26.33,54.47,8.81,41.3,69.06,70.31,8.87,0.49,28.8,0.61,1.99,0.1,30.64,45.91,,70.53,131.12,-0.03,1.25,0.0,21.69,01-Mar-2018 - 00:00,"Tirumala, Tirupati - APPCB"
01-Mar-2018 - 00:00,37.71,69.33,5.48,37.6,80.38,73.33,10.08,0.5,42.06,0.7,2.06,0.16,30.48,43.31,,88.41,139.68,-0.04,1.21,0.0,22.08,02-Mar-2018 - 00:00,"Tirumala, Tirupati - APPCB"
02-Mar-2018 - 00:00,42.69,73.27,4.24,36.12,94.36,79.55,9.54,0.5,46.83,0.7,2.08,0.14,30.65,41.39,,91.38,118.98,-0.04,1.24,0.0,22.2,03-Mar-2018 - 00:00,"Tirumala, Tirupati - APPCB"
03-Mar-2018 - 00:00,28.46,54.01,9.66,50.33,88.58,88.05,7.28,0.47,39.49,0.74,2.31,0.21,30.85,37.07,,97.99,104.36,-0.03,1.21,0.0,22.45,04-Mar-2018 - 00:00,"Tirumala, Tirupati - APPCB"
04-Mar-2018 - 00:00,29.65,57.86,6.65,43.65,90.43,83.58,8.2,0.49,40.84,0.77,2.16,0.11,30.64,37.67,,93.12,111.65,-0.04,1.29,0.0,23.18,05-Mar-2018 - 00:00,"Tirumala, Tirupati - APPCB"
05-Mar-2018 - 00:00,22.04,46.54,9.3,49.1,79.82,82.39,7.8,0.43,32.86,0.58,1.89,0.13,30.77,38.08,,98.08,116.48,-0.04,1.32,0.0,22.09,06-Mar-2018 - 00:00,"Tirumala, Tirupati - APPCB"
06-Mar-2018 - 00:00,31.05,61.12,3.87,15.43,74.43,52.14,10.46,0.38,52.44,0.58,1.72,0.09,30.79,40.69,,97.62,181.06,-0.06,1.25,0.0,21.96,07-Mar-2018 - 00:00,"Tirumala, Tirupati - APPCB"
07-Mar-2018 - 00:00,45.05,85.05,8.99,8.93,64.15,41.37,14.12,0.44,56.69,0.85,2.23,0.11,30.53,48.3,,93.31,173.26,-0.05,1.21,0.0,21.44,08-Mar-2018 - 00:00,"Tirumala, Tirupati - APPCB"
08-Mar-2018 - 00:00,43.89,77.19,9.07,13.33,71.06,48.6,13.67,0.53,54.54,0.7,2.26,0.06,31.1,42.97,,89.83,133.18,-0.03,1.29,0.0,22.18,09-Mar-2018 - 00:00,"Tirumala, Tirupati - APPCB"
09-Mar-2018 - 00:00,54.97,92.11,9.61,24.72,87.36,66.57,14.53,0.57,43.59,0.84,2.51,0.18,30.62,50.08,,75.26,142.62,-0.02,1.19,0.0,21.71,10-Mar-2018 - 00:00,"Tirumala, Tirupati - APPCB"
