from date,CO,Ozone,NO2,NO,NOx,SO2,RH,VWS,WS,WD,PM2.5,SR,Benzene,MP-Xylene,Toluene,O Xylene,Eth-Benzene,to date,BP,station
01-Jan-2018 - 00:00,0.0,25.89,15.63,5.61,10.19,3.8,78.75,0.17,1.22,190.64,48.19,66.73,0.68,0.0,4.45,0.07,0.75,02-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
02-Jan-2018 - 00:00,0.0,13.44,16.48,5.81,10.84,3.68,83.1,0.16,1.11,162.25,40.01,73.15,0.77,0.0,5.99,0.32,1.19,03-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
03-Jan-2018 - 00:00,0.0,24.15,18.22,6.23,12.16,4.87,78.69,0.16,1.16,109.88,43.66,81.08,0.7,0.0,4.99,0.48,1.27,04-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
04-Jan-2018 - 00:00,0.0,34.25,16.32,5.77,10.71,4.97,58.34,0.16,1.16,67.86,59.42,74.51,0.68,0.21,4.71,0.32,0.83,05-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
05-Jan-2018 - 00:00,0.02,37.12,15.83,5.66,10.35,7.54,47.69,0.16,1.14,81.59,62.94,88.68,0.66,0.36,4.89,0.38,1.08,06-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
06-Jan-2018 - 00:00,0.78,43.16,14.33,5.29,9.2,7.47,55.59,0.15,0.98,139.27,67.93,70.34,0.92,0.16,5.54,0.63,1.57,07-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
07-Jan-2018 - 00:00,0.84,46.92,14.76,5.4,9.53,6.74,56.41,0.16,1.17,140.15,54.33,121.49,0.75,0.32,5.35,0.65,1.2,08-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
08-Jan-2018 - 00:00,0.76,46.27,13.64,5.13,8.68,8.34,65.19,0.16,1.33,134.34,63.9,79.69,0.69,0.42,4.38,0.54,0.86,09-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
09-Jan-2018 - 00:00,0.75,50.07,12.9,4.95,8.11,7.02,72.34,0.21,1.68,25.62,47.12,28.68,0.16,0.04,2.92,0.12,0.5,10-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
10-Jan-2018 - 00:00,1.33,19.87,13.22,5.03,8.36,6.16,95.01,0.15,0.99,152.78,60.24,19.24,1.84,1.64,7.67,1.73,2.5,11-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
11-Jan-2018 - 00:00,1.23,24.63,22.94,7.37,15.76,4.91,85.8,0.15,1.03,124.24,62.54,90.68,1.32,0.99,5.59,0.96,1.31,12-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
12-Jan-2018 - 00:00,1.18,19.16,21.04,8.4,15.32,4.23,85.01,0.13,0.78,192.71,68.57,77.76,1.17,0.17,5.95,0.48,1.67,13-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
13-Jan-2018 - 00:00,1.35,16.34,24.73,18.76,21.74,5.74,86.7,0.13,0.69,124.78,63.53,175.15,5.07,1.03,7.07,1.58,1.38,14-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
14-Jan-2018 - 00:00,1.1,21.1,21.24,15.17,18.21,5.59,84.07,0.14,0.85,157.99,52.64,182.38,0.73,0.0,4.07,0.34,0.83,15-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
15-Jan-2018 - 00:00,1.0,38.14,12.26,8.64,10.44,6.1,82.5,0.13,0.8,174.16,56.18,180.66,0.5,0.0,3.41,0.09,0.54,16-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
16-Jan-2018 - 00:00,1.06,43.74,11.54,8.1,9.83,5.91,80.65,0.13,0.75,152.22,62.57,174.79,0.42,0.0,3.66,0.18,0.56,17-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
17-Jan-2018 - 00:00,0.9,40.64,22.01,15.72,18.87,5.99,66.97,0.14,0.84,138.26,49.76,198.45,0.44,0.0,3.95,0.33,1.01,18-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
