from date,NO2,NOx,NH3,NO,SO2,CO,PM2.5,PM10,Benzene,O Xylene,MP-Xylene,Toluene,Ozone,Temp,VWS,SR,RH,RF,WD,WS,BP,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
