from date,BP,PM10,PM2.5,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,764.38,196.2,58.95,168.92,1.39,2.24,0.53,2.09,0.97,1.46,19.49,45.46,48.49,93.95,45.82,13.65,02-Jan-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Jan-2019 - 00:00,764.29,192.47,58.9,168.07,1.26,3.46,0.91,2.81,1.32,1.98,20.0,48.83,49.71,98.53,39.91,13.05,03-Jan-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Jan-2019 - 00:00,765.47,157.3,53.04,170.69,1.42,1.57,0.42,1.65,0.84,1.24,12.76,17.0,44.64,61.64,39.15,12.15,04-Jan-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Jan-2019 - 00:00,764.36,141.96,47.82,124.87,1.39,1.29,0.29,0.78,0.53,1.03,10.57,13.63,34.46,48.04,55.58,8.66,05-Jan-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Jan-2019 - 00:00,762.55,127.2,42.53,108.96,1.51,1.1,0.39,0.69,0.6,0.76,6.86,6.93,14.25,21.18,88.9,10.63,06-Jan-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Jan-2019 - 00:00,762.34,195.78,58.58,98.12,2.08,1.83,0.61,0.92,0.77,1.35,10.43,8.63,30.27,38.89,70.12,10.29,07-Jan-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Jan-2019 - 00:00,764.19,102.03,37.23,37.43,1.92,1.9,0.53,1.09,0.81,0.98,9.25,9.45,29.64,39.1,54.45,8.5,08-Jan-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Jan-2019 - 00:00,763.12,148.31,45.35,150.17,1.45,3.51,0.97,2.09,1.23,1.29,10.86,18.05,34.97,53.02,39.7,7.37,09-Jan-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Jan-2019 - 00:00,762.93,128.65,47.82,144.34,1.4,3.89,1.12,2.53,1.44,1.11,9.59,10.93,17.36,28.29,50.62,8.54,10-Jan-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Jan-2019 - 00:00,762.29,150.42,51.62,134.88,1.25,2.23,0.75,1.78,1.09,1.32,15.22,15.77,19.01,34.78,55.37,8.57,11-Jan-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
