from date,PM10,SO2,NOx,CO,WD,Temp,RH,SR,to date,station
01-Jan-2019 - 00:00,162.08,35.4,41.94,1.64,110.91,24.72,44.54,29.12,02-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Jan-2019 - 00:00,206.06,35.28,41.9,2.58,,24.53,46.96,29.1,03-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Jan-2019 - 00:00,221.57,35.9,42.07,3.27,243.0,25.53,50.72,29.22,04-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Jan-2019 - 00:00,168.97,36.12,42.13,3.66,331.0,25.92,48.0,29.27,05-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Jan-2019 - 00:00,186.31,35.56,41.98,3.7,,24.98,52.32,29.16,06-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Jan-2019 - 00:00,164.77,35.53,41.97,1.9,58.45,24.94,51.17,29.15,07-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Jan-2019 - 00:00,141.93,36.58,42.25,1.95,131.67,26.68,36.61,29.36,08-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Jan-2019 - 00:00,107.89,36.53,42.24,1.95,144.47,26.6,35.0,29.35,09-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Jan-2019 - 00:00,216.91,35.58,41.98,1.92,170.75,25.01,44.82,29.16,10-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Jan-2019 - 00:00,211.23,36.01,42.1,2.08,202.47,25.74,46.33,29.25,11-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Jan-2019 - 00:00,251.15,35.27,41.9,2.0,,24.5,51.83,29.1,12-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Jan-2019 - 00:00,225.61,35.3,42.02,2.16,51.0,23.58,61.27,28.98,13-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Jan-2019 - 00:00,184.43,38.36,43.29,2.17,115.56,24.56,55.95,29.1,14-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Jan-2019 - 00:00,159.01,39.36,43.56,2.24,160.67,26.24,50.38,29.31,15-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Jan-2019 - 00:00,135.9,40.87,43.96,2.37,126.0,28.75,41.36,29.62,16-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Jan-2019 - 00:00,160.63,40.5,43.86,2.9,153.7,28.14,46.67,29.54,17-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Jan-2019 - 00:00,173.2,40.04,43.74,3.05,132.0,27.37,48.94,29.45,18-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Jan-2019 - 00:00,160.68,40.27,43.8,2.96,160.86,27.75,43.21,29.5,19-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Jan-2019 - 00:00,198.06,40.16,43.77,2.94,272.73,27.56,49.96,29.47,20-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Jan-2019 - 00:00,201.84,40.43,43.85,2.83,,28.02,52.61,29.53,21-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Jan-2019 - 00:00,144.6,38.23,43.26,2.77,198.49,24.35,64.86,29.08,22-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Jan-2019 - 00:00,91.03,40.26,43.8,2.6,11.52,27.73,57.23,29.49,23-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Jan-2019 - 00:00,117.67,38.58,43.35,2.71,89.64,24.93,66.2,29.15,24-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
