from date,Benzene,Toluene,BP,CO,Eth-Benzene,MP-Xylene,O Xylene,NO,NO2,NOx,Ozone,PM2.5,RH,SO2,SR,Temp,VWS,WD,WS,to date,station
01-Jan-2019 - 00:00,0.32,0.63,767.03,0.56,1.49,0.65,1.48,3.88,16.93,20.7,52.16,109.8,61.07,27.75,67.23,23.82,0.37,115.14,0.23,02-Jan-2019 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
02-Jan-2019 - 00:00,0.46,0.68,766.78,0.96,1.35,1.64,1.91,4.54,17.35,21.44,37.38,55.39,63.89,20.81,62.66,24.39,0.37,133.8,0.2,03-Jan-2019 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
03-Jan-2019 - 00:00,0.19,0.27,767.11,1.09,1.44,0.91,1.86,5.21,17.81,23.01,34.55,71.49,69.24,22.31,61.14,24.29,0.37,142.72,0.21,04-Jan-2019 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
04-Jan-2019 - 00:00,0.2,0.11,766.53,0.97,1.18,0.54,0.65,6.58,17.57,24.14,32.96,73.77,69.57,15.45,69.41,24.44,0.37,148.15,0.24,05-Jan-2019 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
05-Jan-2019 - 00:00,0.11,0.3,765.5,1.23,1.34,0.77,0.74,6.67,18.42,25.09,38.51,73.29,69.65,13.66,64.4,24.4,0.37,147.2,0.2,06-Jan-2019 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
06-Jan-2019 - 00:00,0.1,0.0,764.42,0.76,0.81,0.82,0.59,4.99,16.79,21.77,35.15,67.1,67.98,11.36,62.89,24.48,0.37,168.03,0.2,07-Jan-2019 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
07-Jan-2019 - 00:00,0.06,0.11,763.59,0.87,0.35,0.09,0.6,4.77,17.32,21.82,23.1,55.65,70.42,15.23,57.52,24.54,0.37,148.05,0.24,08-Jan-2019 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
08-Jan-2019 - 00:00,0.26,0.12,763.94,0.95,0.59,0.11,1.0,5.9,18.43,24.33,27.76,66.49,71.22,26.31,59.67,24.57,0.37,160.44,0.23,09-Jan-2019 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
09-Jan-2019 - 00:00,0.0,0.21,764.07,0.95,0.87,0.13,0.1,4.93,16.32,21.26,38.19,77.11,69.81,6.76,64.92,24.65,0.37,121.89,0.16,10-Jan-2019 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
10-Jan-2019 - 00:00,0.0,0.52,763.97,0.9,0.63,0.86,0.74,7.19,17.5,24.68,28.13,66.08,70.67,7.4,67.77,24.66,0.37,106.09,0.2,11-Jan-2019 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
11-Jan-2019 - 00:00,0.11,0.48,764.46,0.89,4.55,0.34,0.49,4.47,14.84,19.27,44.37,69.68,69.3,6.58,68.13,24.8,0.37,114.46,0.2,12-Jan-2019 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
12-Jan-2019 - 00:00,0.31,0.06,764.61,0.51,0.39,0.6,0.14,5.27,15.37,20.64,36.02,56.74,67.01,9.81,68.3,24.7,0.37,109.46,0.21,13-Jan-2019 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
13-Jan-2019 - 00:00,0.3,0.25,764.63,1.17,0.52,0.56,0.53,5.5,15.5,21.0,24.39,67.76,67.54,19.04,67.26,24.57,0.37,119.71,0.24,14-Jan-2019 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
14-Jan-2019 - 00:00,0.33,0.54,764.18,0.68,0.99,0.44,0.93,3.04,14.94,17.98,44.78,90.2,63.54,25.17,70.05,24.65,0.37,172.38,0.24,15-Jan-2019 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
