from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,SR,RF,to date,station
01-Jan-2019 - 00:00,76.82,32.97,67.67,81.52,24.17,1.55,28.75,294.66,405.9,3.85,20.29,12.36,1.22,284.24,55.79,742.0,46.47,0.0,02-Jan-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
02-Jan-2019 - 00:00,66.64,39.74,67.76,99.1,16.6,1.95,28.06,350.06,468.27,5.54,15.39,13.77,0.91,285.0,58.38,742.0,42.19,0.0,03-Jan-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
03-Jan-2019 - 00:00,49.58,28.18,49.29,86.98,16.72,1.63,34.41,334.0,436.45,4.72,17.19,13.73,2.72,283.78,58.54,742.0,59.35,0.0,04-Jan-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
04-Jan-2019 - 00:00,59.75,22.54,50.11,78.11,13.97,1.64,18.65,278.66,378.74,4.3,12.41,12.96,1.14,284.79,63.79,742.0,14.84,0.0,05-Jan-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
05-Jan-2019 - 00:00,38.53,9.32,28.07,77.87,11.9,1.52,26.86,229.88,312.69,4.35,8.32,13.5,2.83,284.98,59.22,742.0,48.08,0.0,06-Jan-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
06-Jan-2019 - 00:00,42.21,7.6,28.63,73.45,13.32,1.33,23.76,216.33,280.74,3.53,5.78,13.61,3.03,284.77,60.38,741.99,31.91,0.0,07-Jan-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
07-Jan-2019 - 00:00,36.38,8.48,26.25,63.05,17.21,1.1,23.74,177.81,235.26,3.63,4.92,12.78,2.6,283.69,61.85,742.0,49.9,0.0,08-Jan-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
08-Jan-2019 - 00:00,28.32,6.29,20.18,60.83,14.57,0.88,26.29,143.76,195.1,2.77,8.12,12.2,3.37,280.51,62.52,741.96,54.75,0.0,09-Jan-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
09-Jan-2019 - 00:00,30.83,6.24,21.48,58.31,13.03,0.89,30.48,148.5,210.33,2.13,15.38,12.54,4.21,281.14,57.6,741.69,59.33,0.0,10-Jan-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
10-Jan-2019 - 00:00,43.06,8.72,29.99,62.54,18.62,1.02,28.35,167.84,231.96,2.51,16.64,13.1,2.67,282.07,55.48,741.75,42.97,0.0,11-Jan-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
