from date,PM2.5,PM10,RH,VWS,BP,SR,AT,WS,WD,CO,SO2,Ozone,NO2,NO,NOx,Benzene,Xylene,Toluene,to date,station
01-Jan-2019 - 00:00,299.71,398.42,59.83,-0.8,732.04,82.99,14.1,0.41,114.75,2.27,31.76,50.12,152.12,106.68,102.7,7.41,12.19,16.0,02-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
02-Jan-2019 - 00:00,350.67,450.18,58.6,-0.68,732.49,77.93,15.38,0.39,123.59,1.45,27.16,39.68,160.0,105.39,101.29,8.37,6.01,21.82,03-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
03-Jan-2019 - 00:00,305.79,384.98,60.31,-0.63,731.91,82.61,15.38,0.66,140.08,0.97,19.6,46.06,155.56,14.41,52.55,6.39,3.5,10.76,04-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
04-Jan-2019 - 00:00,176.16,345.43,59.96,-0.66,732.0,88.18,16.48,0.69,159.01,1.02,22.42,59.16,142.64,12.77,48.33,4.05,3.19,6.47,05-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
05-Jan-2019 - 00:00,176.64,319.22,58.26,-0.66,733.12,85.04,17.58,1.53,249.62,0.99,31.2,85.95,118.99,12.4,39.71,4.29,3.39,5.67,06-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
06-Jan-2019 - 00:00,133.38,249.3,56.8,-0.65,735.69,86.44,19.06,2.8,251.51,0.73,21.8,75.28,77.6,1.59,22.36,2.46,8.26,3.01,07-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
07-Jan-2019 - 00:00,104.65,184.91,65.8,-0.39,735.64,72.86,18.42,1.75,174.51,0.9,21.57,47.63,89.61,7.55,29.93,2.45,6.55,5.93,08-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
08-Jan-2019 - 00:00,173.22,338.1,65.59,-0.42,735.7,94.84,17.05,0.94,158.11,0.92,16.44,56.79,104.57,8.29,35.04,2.89,9.13,4.1,09-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
09-Jan-2019 - 00:00,168.94,310.74,61.36,-0.44,735.51,97.82,15.34,0.82,157.36,1.05,22.57,51.71,116.18,5.63,36.54,2.84,1.14,3.91,10-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
10-Jan-2019 - 00:00,195.04,343.14,60.81,-0.42,735.01,91.93,14.67,0.72,138.14,1.64,27.19,42.78,123.11,44.02,63.72,3.53,0.0,6.45,11-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
11-Jan-2019 - 00:00,234.99,382.89,58.35,-0.39,734.1,90.46,16.25,0.96,138.41,1.27,26.58,60.98,125.92,70.34,76.84,6.69,2.29,17.1,12-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-Jan-2019 - 00:00,190.86,318.47,61.23,-0.39,734.58,82.88,16.38,0.7,172.91,1.33,22.96,52.71,119.24,41.11,54.75,4.79,1.24,8.11,13-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
13-Jan-2019 - 00:00,180.43,289.9,62.94,-0.38,735.12,43.26,15.67,0.99,210.8,1.08,19.75,55.42,104.44,10.04,34.98,3.83,1.13,4.26,14-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
14-Jan-2019 - 00:00,144.19,239.93,58.79,-0.44,734.96,86.64,16.58,1.12,159.38,0.75,20.48,32.09,104.77,7.35,34.45,3.5,0.0,4.01,15-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
15-Jan-2019 - 00:00,96.73,182.13,51.7,-0.44,734.3,100.94,13.06,0.87,158.43,0.9,20.54,53.26,100.27,7.62,33.16,2.01,5.39,4.39,16-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
16-Jan-2019 - 00:00,131.65,231.86,51.83,-0.39,733.99,89.67,14.64,0.78,133.94,1.36,27.56,32.4,122.32,36.09,55.73,3.16,3.16,4.67,17-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
17-Jan-2019 - 00:00,181.17,309.48,57.41,-0.4,736.04,87.83,15.72,0.63,124.73,1.44,21.71,49.15,148.43,70.47,85.41,5.42,0.0,11.55,18-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
18-Jan-2019 - 00:00,167.58,294.49,62.3,-0.43,735.79,83.1,15.05,0.63,160.15,0.9,21.32,74.18,146.89,14.62,64.73,4.23,3.94,5.92,19-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
19-Jan-2019 - 00:00,154.81,270.24,60.0,-0.41,734.73,81.41,16.29,0.66,152.2,1.15,22.03,57.61,137.09,14.32,47.16,3.27,3.53,4.93,20-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
20-Jan-2019 - 00:00,165.49,295.22,58.4,-0.4,734.89,85.3,18.16,0.68,120.03,1.34,20.55,59.56,134.84,33.47,60.23,4.58,5.44,12.84,21-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
21-Jan-2019 - 00:00,153.31,267.73,57.25,-0.36,736.19,87.29,20.89,1.25,230.53,0.81,20.32,67.41,111.51,60.75,66.29,4.54,6.84,9.68,22-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
