from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,AT,RH,WS,WD,VWS,RF,SR,to date,BP,station
01-Jan-2019 - 00:00,57.58,21.53,79.12,28.77,9.64,0.91,15.21,117.49,171.7,9.88,,57.65,0.84,271.12,0.32,0.0,116.85,02-Jan-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
02-Jan-2019 - 00:00,67.63,28.41,96.04,24.09,14.5,1.26,12.39,126.9,202.64,12.1,,57.38,0.8,282.37,0.31,0.0,111.75,03-Jan-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
03-Jan-2019 - 00:00,72.06,28.28,100.34,29.17,17.53,1.1,11.84,169.02,261.39,13.6,,59.46,0.84,299.39,0.31,0.0,101.18,04-Jan-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
04-Jan-2019 - 00:00,71.65,29.6,101.34,34.93,14.32,1.18,10.24,144.45,234.55,17.22,,61.07,0.79,259.03,0.29,0.0,101.27,05-Jan-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
05-Jan-2019 - 00:00,67.35,28.22,95.56,31.96,8.61,0.86,9.86,117.99,199.93,14.79,,58.97,0.86,255.02,0.21,0.0,111.51,06-Jan-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
06-Jan-2019 - 00:00,65.25,36.7,101.95,37.84,9.72,1.27,8.75,106.56,164.96,12.46,,61.64,0.77,227.86,0.2,0.0,122.08,07-Jan-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
07-Jan-2019 - 00:00,61.75,31.43,93.22,32.54,9.97,0.69,7.84,97.0,166.76,15.26,,58.44,0.89,243.68,0.2,0.0,120.79,08-Jan-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
08-Jan-2019 - 00:00,50.37,26.74,77.11,48.05,12.16,0.78,11.91,86.85,159.72,8.34,,64.57,0.95,304.04,0.2,0.0,98.72,09-Jan-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
09-Jan-2019 - 00:00,54.3,32.3,86.61,43.62,14.8,0.9,12.66,106.57,177.66,13.07,,62.42,0.73,265.23,0.2,0.0,105.57,10-Jan-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
10-Jan-2019 - 00:00,62.37,38.79,101.16,44.37,11.63,0.82,12.27,106.3,178.13,12.57,,56.02,0.82,270.76,0.2,0.0,113.93,11-Jan-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
11-Jan-2019 - 00:00,64.65,33.11,97.77,40.99,10.71,0.77,13.14,103.35,182.87,10.91,,55.81,0.73,288.71,0.2,0.0,111.89,12-Jan-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
12-Jan-2019 - 00:00,67.53,38.07,105.58,44.5,13.99,1.16,15.12,117.0,191.3,12.56,,58.41,0.78,243.75,0.2,0.0,108.46,13-Jan-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
13-Jan-2019 - 00:00,76.67,44.63,121.3,45.41,17.69,1.19,14.44,152.12,260.34,18.63,,59.15,0.79,242.93,0.2,0.0,100.17,14-Jan-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
