from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
01-Jan-2019 - 00:00,13.12,995.77,555.28,367.28,74.27,64.37,130.56,0.45,,14.01,67.43,42.62,111.09,77.98,138.93,26.22,19.71,3.46,02-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Jan-2019 - 00:00,14.31,996.09,621.13,457.14,79.16,56.66,80.82,0.38,,20.47,126.92,49.74,159.28,84.32,174.54,27.38,19.37,3.37,03-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Jan-2019 - 00:00,14.04,996.95,586.08,428.69,78.37,61.98,165.68,0.68,,14.43,101.99,48.36,69.26,71.8,94.64,22.34,17.15,2.76,04-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Jan-2019 - 00:00,12.24,995.83,410.34,286.43,84.5,39.66,129.88,0.58,,10.55,60.43,39.99,40.88,55.08,62.63,12.54,14.68,2.41,05-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Jan-2019 - 00:00,14.04,994.41,402.99,283.47,74.11,58.59,65.23,0.66,,13.54,71.47,41.26,47.26,54.31,67.09,45.55,19.11,2.48,06-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Jan-2019 - 00:00,14.28,993.9,227.9,183.18,80.44,65.87,107.21,0.72,,6.86,32.29,42.27,18.99,47.64,39.76,21.56,14.78,1.47,07-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Jan-2019 - 00:00,13.73,995.51,284.17,216.75,82.44,77.97,158.24,0.38,,7.31,42.44,39.16,56.29,61.38,78.54,16.86,20.74,1.59,08-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Jan-2019 - 00:00,14.11,993.6,213.0,168.21,75.77,87.22,172.94,0.73,,4.43,28.86,35.25,12.14,44.72,33.68,23.31,20.39,1.29,09-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Jan-2019 - 00:00,14.23,992.9,222.54,158.83,66.69,89.13,181.01,0.68,,4.66,20.77,30.73,10.74,49.44,35.07,29.08,20.38,1.33,10-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Jan-2019 - 00:00,13.67,992.67,300.65,210.12,69.45,83.93,151.81,0.63,,7.56,50.46,30.16,53.7,58.35,74.81,27.85,21.1,2.26,11-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Jan-2019 - 00:00,12.66,994.33,449.4,362.35,79.47,60.8,72.23,0.47,,17.36,85.69,58.54,128.49,71.59,145.59,25.43,20.9,2.88,12-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Jan-2019 - 00:00,14.32,993.37,439.49,376.98,75.27,68.57,83.6,0.34,,17.19,77.82,62.96,82.16,77.52,106.76,26.74,15.89,3.52,13-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Jan-2019 - 00:00,16.16,995.23,372.46,307.69,71.44,66.52,138.22,0.46,,12.34,56.8,60.92,53.11,59.23,73.86,30.08,21.74,2.26,14-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Jan-2019 - 00:00,13.79,994.89,162.77,99.08,55.97,91.37,180.14,0.8,,3.33,21.53,34.66,13.21,44.55,34.07,30.96,20.18,1.05,15-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Jan-2019 - 00:00,12.08,993.96,230.96,159.4,62.73,71.5,160.47,0.9,,6.71,32.26,37.18,30.64,56.25,54.92,6.1,20.53,1.8,16-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Jan-2019 - 00:00,12.19,994.0,427.72,331.71,74.53,65.28,78.33,0.44,,16.32,81.16,50.15,118.24,89.74,144.17,4.29,26.03,3.34,17-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Jan-2019 - 00:00,13.55,992.78,445.75,382.99,71.63,70.34,134.13,0.31,,13.54,62.81,53.85,84.15,79.17,104.92,4.18,34.37,2.63,18-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Jan-2019 - 00:00,13.4,993.12,323.15,268.4,75.64,84.09,157.42,0.51,,8.41,49.34,45.44,62.84,80.33,93.96,4.46,24.06,2.16,19-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Jan-2019 - 00:00,14.91,992.89,405.42,327.33,71.21,82.01,142.32,0.51,,13.31,70.52,44.67,111.61,77.18,131.86,4.34,25.93,2.94,20-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Jan-2019 - 00:00,17.68,991.92,458.09,401.41,72.39,79.55,110.89,0.36,,23.0,138.51,53.64,199.71,97.95,214.93,4.36,23.11,5.63,21-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Jan-2019 - 00:00,16.97,989.19,248.26,191.94,77.84,38.24,59.68,1.26,,9.61,52.36,53.26,53.06,47.98,62.27,9.09,24.61,2.12,22-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Jan-2019 - 00:00,14.81,989.99,58.27,53.05,91.74,48.82,61.5,1.11,0.0,2.78,14.61,35.76,2.58,26.77,15.75,18.14,15.24,1.02,23-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Jan-2019 - 00:00,13.7,993.39,263.9,183.83,90.25,88.84,140.69,0.32,0.0,7.81,42.89,37.04,61.83,49.59,76.86,18.15,17.76,2.01,24-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
