from date,BP,Benzene,O Xylene,Toluene,CO,Eth-Benzene,PM2.5,NO,NO2,NOx,Ozone,RH,SR,SO2,VWS,WD,WS,to date,station
01-Jan-2019 - 00:00,985.3,0.0,0.0,0.0,0.83,0.0,83.33,3.33,23.16,24.18,70.74,50.5,143.19,4.29,0.08,101.82,0.39,02-Jan-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Jan-2019 - 00:00,986.64,0.0,0.0,0.0,0.64,0.0,58.04,3.24,19.32,22.56,69.9,53.04,137.97,4.0,0.08,87.64,0.52,03-Jan-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Jan-2019 - 00:00,985.29,0.0,0.0,0.0,0.55,0.0,58.9,3.79,21.32,25.11,61.29,50.53,141.51,4.1,0.08,96.57,0.52,04-Jan-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Jan-2019 - 00:00,983.0,0.0,0.0,0.0,0.66,0.0,64.2,4.82,22.97,27.79,59.64,46.16,139.99,3.72,0.08,91.64,0.48,05-Jan-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Jan-2019 - 00:00,988.91,0.06,0.0,0.11,0.59,0.09,67.88,14.73,26.03,34.13,65.98,57.28,55.15,4.63,0.08,96.55,0.56,06-Jan-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Jan-2019 - 00:00,989.51,0.16,0.0,0.28,0.46,0.21,71.02,2.96,16.22,19.16,72.81,58.58,140.73,4.16,0.08,106.97,0.55,07-Jan-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Jan-2019 - 00:00,989.11,0.0,0.0,0.0,0.59,0.0,77.74,4.2,25.08,29.27,60.68,57.81,141.83,4.53,0.08,99.97,0.41,08-Jan-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Jan-2019 - 00:00,981.83,0.3,0.0,0.54,0.62,0.41,73.99,11.3,37.08,48.38,52.61,43.96,137.32,4.93,0.08,119.51,0.26,09-Jan-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Jan-2019 - 00:00,978.78,0.39,0.01,0.7,0.43,0.53,71.52,8.76,30.99,39.48,60.39,38.12,142.28,5.08,0.08,102.9,0.34,10-Jan-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Jan-2019 - 00:00,984.02,0.03,0.0,0.06,0.89,0.05,75.6,3.68,22.98,26.66,70.51,48.1,140.42,4.71,0.08,100.63,0.55,11-Jan-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Jan-2019 - 00:00,986.17,0.08,0.0,0.14,0.67,0.11,69.7,4.23,23.42,27.67,68.37,52.16,145.1,4.69,0.09,110.08,0.53,12-Jan-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Jan-2019 - 00:00,988.34,0.18,0.0,0.31,0.52,0.24,84.17,3.52,20.97,24.49,75.65,56.29,129.59,4.8,0.08,100.38,0.52,13-Jan-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
