from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
