from date,PM10,PM2.5,NOx,CO,SO2,to date,station
01-Jan-2019 - 00:00,256.83,6.3,,2.59,43.16,02-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-Jan-2019 - 00:00,193.94,7.81,,2.33,42.43,03-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-Jan-2019 - 00:00,325.83,10.48,,2.87,44.34,04-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-Jan-2019 - 00:00,171.39,5.78,,2.64,43.24,05-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-Jan-2019 - 00:00,100.37,10.58,,1.93,43.37,06-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-Jan-2019 - 00:00,117.95,8.13,,2.18,45.04,07-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-Jan-2019 - 00:00,140.01,7.85,,2.32,44.03,08-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-Jan-2019 - 00:00,103.24,5.13,,2.1,44.82,09-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-Jan-2019 - 00:00,159.51,5.59,,2.47,44.96,10-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-Jan-2019 - 00:00,128.99,5.53,,2.32,44.82,11-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-Jan-2019 - 00:00,134.69,8.15,,2.33,44.88,12-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-Jan-2019 - 00:00,221.0,10.19,,2.44,47.48,13-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
13-Jan-2019 - 00:00,516.6,10.02,,2.26,47.71,14-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
14-Jan-2019 - 00:00,161.18,7.04,,2.35,47.74,15-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-Jan-2019 - 00:00,86.34,9.4,,2.06,47.54,16-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-Jan-2019 - 00:00,156.59,6.87,,2.45,48.1,17-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
17-Jan-2019 - 00:00,197.61,7.73,,2.89,48.45,18-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
18-Jan-2019 - 00:00,254.23,12.87,,2.89,49.83,19-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
19-Jan-2019 - 00:00,298.89,11.62,,2.9,49.28,20-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
20-Jan-2019 - 00:00,197.3,5.5,,2.91,49.39,21-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
21-Jan-2019 - 00:00,157.6,8.42,,2.5,49.77,22-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
22-Jan-2019 - 00:00,115.93,3.92,,2.14,51.57,23-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
23-Jan-2019 - 00:00,103.26,4.83,,2.29,52.14,24-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
24-Jan-2019 - 00:00,86.47,7.0,,2.08,49.28,25-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
25-Jan-2019 - 00:00,62.55,4.38,,2.21,48.36,26-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
26-Jan-2019 - 00:00,27.78,2.77,,1.98,46.39,27-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
27-Jan-2019 - 00:00,54.88,3.45,,1.87,46.66,28-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
28-Jan-2019 - 00:00,83.2,5.05,,1.91,47.08,29-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
29-Jan-2019 - 00:00,113.69,8.96,,2.1,48.16,30-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
30-Jan-2019 - 00:00,128.25,17.02,,2.45,47.62,31-Jan-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
31-Jan-2019 - 00:00,116.8,5.66,,2.21,49.09,01-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
01-Feb-2019 - 00:00,68.34,8.77,,2.07,50.34,02-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-Feb-2019 - 00:00,105.02,6.89,,2.2,51.55,03-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-Feb-2019 - 00:00,110.73,8.31,,2.3,50.48,04-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-Feb-2019 - 00:00,112.49,8.7,0.0,2.39,50.59,05-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-Feb-2019 - 00:00,99.7,7.33,,2.31,50.76,06-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-Feb-2019 - 00:00,86.87,5.32,,2.21,53.5,07-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-Feb-2019 - 00:00,85.89,4.38,,2.28,54.5,08-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-Feb-2019 - 00:00,72.4,2.55,,2.16,52.9,09-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-Feb-2019 - 00:00,68.98,1.95,,1.93,51.12,10-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-Feb-2019 - 00:00,82.2,2.45,,2.13,49.53,11-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-Feb-2019 - 00:00,105.04,23.94,,2.31,50.8,12-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-Feb-2019 - 00:00,82.48,36.15,,2.48,51.45,13-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
