from date,PM2.5,BP,Temp,SR,RH,RF,WS,WD,PM10,VWS,SO2,NO,NOx,NO2,CO,Benzene,Ozone,to date,station
01-Jan-2019 - 00:00,79.16,770.24,24.88,63.25,50.61,0.0,0.08,125.64,221.15,0.56,22.2,63.46,129.55,66.09,2.77,2.77,45.42,02-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
02-Jan-2019 - 00:00,83.89,770.06,24.34,60.13,57.23,0.0,0.08,89.95,240.95,0.62,26.48,80.97,143.8,62.84,3.15,3.09,54.73,03-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
03-Jan-2019 - 00:00,102.33,770.57,24.63,61.96,63.27,0.0,0.08,114.99,293.32,0.63,25.45,84.28,143.49,59.21,3.67,4.07,68.84,04-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
04-Jan-2019 - 00:00,83.36,769.5,25.22,62.36,57.16,0.0,0.07,130.09,247.32,0.56,23.13,81.05,141.66,60.6,3.48,3.33,67.64,05-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
05-Jan-2019 - 00:00,76.44,768.44,24.31,62.56,59.1,0.0,0.08,113.32,214.97,0.55,24.94,61.08,124.93,63.86,2.74,2.54,63.46,06-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
06-Jan-2019 - 00:00,80.92,768.02,22.36,23.16,65.94,0.0,0.1,63.18,234.7,0.7,20.87,49.21,109.4,60.19,2.76,2.19,61.47,07-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
07-Jan-2019 - 00:00,53.39,767.55,23.16,38.38,57.37,0.0,0.11,94.58,167.98,0.58,23.33,43.27,102.76,68.82,2.27,1.53,48.94,08-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
08-Jan-2019 - 00:00,56.07,767.81,24.92,63.11,48.07,0.0,0.12,131.86,172.1,0.49,31.71,52.55,108.86,56.31,2.7,2.41,67.36,09-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
09-Jan-2019 - 00:00,73.94,767.52,23.26,61.04,59.92,0.0,0.09,173.7,203.85,0.57,20.95,56.96,105.36,48.38,2.49,2.58,85.91,10-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
10-Jan-2019 - 00:00,84.82,766.76,24.18,61.25,59.05,0.0,0.08,130.63,254.86,0.56,19.75,71.99,123.27,51.3,3.07,3.21,69.76,11-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
11-Jan-2019 - 00:00,83.62,767.32,23.79,59.36,64.16,0.0,0.08,71.89,232.68,0.58,32.81,75.99,122.41,46.42,3.23,3.03,71.35,12-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
12-Jan-2019 - 00:00,78.65,767.64,23.36,61.38,69.13,0.0,0.08,130.73,245.08,0.56,34.43,56.78,103.81,49.48,2.82,2.57,79.4,13-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
13-Jan-2019 - 00:00,74.26,768.11,23.39,62.98,64.69,0.0,0.09,160.98,228.13,0.54,30.63,62.04,96.19,34.15,3.06,2.64,75.82,14-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
14-Jan-2019 - 00:00,66.22,767.32,24.37,60.82,62.25,0.0,0.13,83.69,194.66,0.56,25.58,37.53,82.56,45.02,2.4,1.59,72.51,15-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
15-Jan-2019 - 00:00,67.68,767.69,26.87,61.6,52.8,0.0,0.18,134.27,186.15,0.58,28.79,51.99,103.21,51.22,2.51,1.68,72.11,16-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
16-Jan-2019 - 00:00,69.68,767.75,26.88,62.51,55.08,0.0,0.07,152.95,196.56,0.57,27.38,64.48,113.23,48.82,2.59,1.89,62.72,17-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
17-Jan-2019 - 00:00,84.91,767.1,25.94,60.76,60.27,0.0,0.07,132.18,248.2,0.61,27.57,116.97,164.66,47.69,3.24,2.71,32.64,18-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
18-Jan-2019 - 00:00,84.13,766.93,25.33,58.25,60.11,0.0,0.08,59.94,232.29,0.62,26.68,72.61,126.05,53.45,3.04,2.21,32.2,19-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
19-Jan-2019 - 00:00,83.55,767.36,26.41,60.17,59.99,0.0,0.11,109.74,262.16,0.6,35.11,96.06,145.07,49.01,3.34,2.51,30.12,20-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
20-Jan-2019 - 00:00,90.88,767.87,26.94,59.02,63.44,0.0,0.07,95.75,273.93,0.55,35.41,76.51,102.3,25.8,3.26,3.05,32.81,21-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
21-Jan-2019 - 00:00,50.62,767.45,25.32,62.24,69.99,0.0,0.1,104.24,132.34,0.54,28.19,37.36,55.62,18.26,2.08,1.14,20.24,22-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
22-Jan-2019 - 00:00,33.45,767.88,25.21,63.4,70.55,0.0,0.11,230.5,106.82,0.59,23.27,36.25,72.03,35.81,1.93,1.03,24.06,23-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
23-Jan-2019 - 00:00,26.34,768.64,24.43,67.01,68.71,0.0,0.2,120.05,116.91,0.57,21.74,26.8,70.15,43.45,1.64,0.66,29.63,24-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
24-Jan-2019 - 00:00,54.44,768.94,23.23,74.97,60.04,0.0,0.2,80.75,150.05,0.53,18.11,23.47,94.45,70.98,1.79,0.7,37.34,25-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
25-Jan-2019 - 00:00,46.65,768.74,22.92,81.55,47.41,0.0,0.24,100.87,135.09,0.48,12.42,24.0,104.2,80.21,1.83,0.84,52.34,26-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
26-Jan-2019 - 00:00,39.87,768.83,23.92,102.81,47.74,0.0,0.28,88.45,126.14,0.5,12.78,38.56,108.96,70.4,1.86,0.98,56.48,27-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
27-Jan-2019 - 00:00,37.12,769.09,24.59,77.57,48.88,0.0,0.3,97.58,117.93,0.54,10.91,17.59,84.71,67.26,1.8,0.76,33.88,28-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
28-Jan-2019 - 00:00,47.7,769.95,24.92,79.8,44.45,0.0,0.18,117.92,120.75,0.41,12.61,11.22,15.93,12.18,2.28,1.43,35.32,29-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
29-Jan-2019 - 00:00,46.36,769.58,24.96,81.9,42.42,0.0,0.15,128.35,130.31,0.42,14.62,38.75,76.77,38.06,2.23,1.87,41.76,30-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
30-Jan-2019 - 00:00,51.69,768.78,24.98,77.95,44.62,0.0,0.09,131.5,175.29,0.53,18.6,,,,2.79,2.2,48.76,31-Jan-2019 - 00:00,"Bandra, Mumbai - MPCB"
31-Jan-2019 - 00:00,50.16,768.02,24.38,77.4,55.53,0.0,0.1,106.93,170.09,0.57,23.39,,,,2.86,4.26,47.28,01-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
01-Feb-2019 - 00:00,48.35,768.04,24.61,79.51,59.06,0.0,0.11,88.21,151.74,0.63,17.38,,,,2.25,1.64,58.76,02-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
02-Feb-2019 - 00:00,51.33,767.17,23.82,77.22,61.78,0.0,0.11,49.81,189.61,0.62,18.59,,,,2.35,1.96,60.35,03-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
03-Feb-2019 - 00:00,74.19,767.56,25.33,70.16,64.74,0.0,0.1,103.31,258.34,0.61,22.16,,,,3.24,3.44,72.57,04-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
04-Feb-2019 - 00:00,64.81,768.72,27.23,75.06,61.06,0.0,0.13,250.02,213.9,0.66,22.16,54.58,72.48,17.9,3.23,3.12,56.42,05-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
05-Feb-2019 - 00:00,65.87,768.87,26.96,78.33,69.24,0.0,0.1,113.25,207.91,0.57,19.34,28.79,61.35,32.56,2.71,2.84,70.55,06-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
06-Feb-2019 - 00:00,42.62,767.24,25.61,102.36,69.58,0.0,0.17,67.63,146.2,0.58,14.61,38.94,61.61,22.67,1.86,1.0,65.72,07-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
07-Feb-2019 - 00:00,18.54,768.45,23.76,95.06,65.77,0.0,0.27,65.96,95.11,0.58,12.27,40.72,60.09,24.41,1.58,0.58,44.48,08-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
08-Feb-2019 - 00:00,54.61,770.22,21.31,95.4,52.54,0.0,0.33,77.73,207.51,0.5,14.02,53.08,90.63,37.56,1.68,0.7,37.05,09-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
09-Feb-2019 - 00:00,73.35,769.09,21.86,104.45,41.87,0.0,0.2,136.85,191.4,0.51,21.23,83.29,114.72,33.6,2.09,1.32,33.86,10-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
10-Feb-2019 - 00:00,86.1,768.34,24.01,96.71,43.3,0.0,0.1,149.93,222.83,0.62,26.18,31.01,61.59,30.55,2.83,3.09,56.25,11-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
11-Feb-2019 - 00:00,101.84,768.07,25.75,91.52,50.04,0.0,0.08,118.9,260.14,0.67,25.6,42.33,78.09,35.89,3.14,2.89,68.48,12-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
12-Feb-2019 - 00:00,95.86,768.32,27.81,81.64,46.84,0.0,0.08,52.05,226.01,0.66,25.46,97.58,142.23,44.66,3.42,3.38,56.19,13-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
13-Feb-2019 - 00:00,75.54,769.36,27.41,86.58,55.67,0.0,0.09,82.11,140.55,0.6,20.86,70.26,104.6,34.33,2.37,2.16,55.91,14-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
14-Feb-2019 - 00:00,50.17,767.83,25.92,93.94,66.57,0.0,0.11,72.41,110.5,0.56,17.27,59.71,92.58,32.87,1.98,0.91,56.36,15-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
15-Feb-2019 - 00:00,46.92,768.37,25.1,97.46,66.63,0.0,0.15,44.67,116.96,0.59,15.1,42.99,74.07,31.08,1.81,0.87,67.43,16-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
16-Feb-2019 - 00:00,53.31,768.64,24.45,97.42,58.78,0.0,0.15,69.84,132.48,0.66,18.12,65.43,103.19,37.75,2.19,1.59,58.63,17-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
17-Feb-2019 - 00:00,59.97,767.53,24.33,94.88,57.24,0.0,0.2,62.95,168.95,0.77,19.92,60.05,94.29,34.24,2.38,1.71,92.54,18-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
18-Feb-2019 - 00:00,54.47,765.81,24.78,91.36,63.05,0.0,0.11,77.46,134.54,0.66,19.09,48.5,81.11,32.6,2.24,1.31,82.0,19-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
19-Feb-2019 - 00:00,50.8,766.02,25.66,105.63,62.79,0.0,0.13,51.86,123.75,0.63,18.98,53.38,87.06,33.67,2.31,1.36,78.78,20-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
20-Feb-2019 - 00:00,62.81,767.31,26.21,91.67,74.3,0.0,0.1,139.34,177.22,0.67,21.88,54.33,82.29,27.95,2.83,3.88,101.11,21-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
21-Feb-2019 - 00:00,36.44,769.55,25.68,98.17,81.54,0.0,0.1,82.22,85.33,0.63,17.04,32.54,53.56,21.01,1.7,0.51,69.44,22-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
22-Feb-2019 - 00:00,39.85,768.22,26.64,94.43,73.47,0.0,0.1,82.72,116.42,0.82,17.52,40.89,62.88,21.98,1.97,0.9,57.78,23-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
23-Feb-2019 - 00:00,56.98,766.21,27.9,103.29,63.81,0.0,0.09,62.06,190.12,0.6,20.8,50.89,83.56,32.66,2.43,1.85,77.57,24-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
24-Feb-2019 - 00:00,30.96,765.31,28.29,122.98,48.93,0.0,0.11,58.52,121.64,0.57,18.1,40.81,62.13,21.3,1.82,0.86,62.73,25-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
25-Feb-2019 - 00:00,36.7,765.27,26.83,107.48,55.41,0.0,0.09,87.59,122.73,0.56,14.96,54.91,81.55,26.74,1.97,1.0,58.23,26-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
26-Feb-2019 - 00:00,26.61,765.25,27.06,134.34,65.27,0.0,0.11,79.46,112.45,0.51,8.06,45.84,70.1,24.24,1.67,0.53,45.02,27-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
27-Feb-2019 - 00:00,22.79,765.14,25.65,164.64,71.0,0.0,0.1,54.13,111.55,0.64,7.79,56.26,74.47,18.21,1.75,0.79,37.23,28-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
28-Feb-2019 - 00:00,48.84,765.76,26.12,165.96,59.51,0.0,0.26,85.7,,0.77,10.0,55.38,69.85,14.47,1.9,1.12,50.09,01-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
01-Mar-2019 - 00:00,42.5,764.91,25.77,155.36,52.44,0.0,0.12,48.47,181.25,0.73,17.72,91.06,130.83,39.76,2.4,2.6,65.52,02-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
02-Mar-2019 - 00:00,48.46,764.71,26.28,148.83,65.74,0.0,0.24,148.09,196.31,0.75,14.76,107.65,140.83,33.17,2.72,2.92,73.17,03-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
03-Mar-2019 - 00:00,15.81,766.05,26.53,158.16,71.13,0.0,0.15,153.73,59.79,0.75,7.52,35.72,48.24,12.51,1.64,0.42,63.27,04-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
04-Mar-2019 - 00:00,17.22,765.51,26.52,162.12,74.57,0.0,0.28,87.73,83.71,0.79,7.72,41.89,49.17,7.28,1.64,0.36,73.77,05-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
05-Mar-2019 - 00:00,22.06,765.31,26.53,160.21,68.04,0.0,0.23,156.07,125.7,0.76,6.85,29.93,35.56,5.63,1.55,0.31,76.72,06-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
06-Mar-2019 - 00:00,23.56,766.3,25.72,152.32,66.42,0.0,0.16,140.24,90.9,0.75,7.09,37.17,47.49,10.32,1.67,0.38,80.69,07-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
07-Mar-2019 - 00:00,25.46,765.61,25.85,163.87,68.58,0.0,0.13,92.08,104.24,0.74,7.23,41.24,56.92,15.68,1.76,0.61,80.61,08-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
08-Mar-2019 - 00:00,29.99,766.51,26.58,155.27,62.57,0.0,0.13,81.24,109.85,0.74,8.48,44.69,63.79,19.09,1.9,0.81,80.63,09-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
09-Mar-2019 - 00:00,37.16,767.15,29.12,213.65,52.44,0.0,0.1,102.52,140.52,0.77,10.51,50.97,69.63,18.66,2.13,1.08,90.82,10-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
10-Mar-2019 - 00:00,29.88,766.69,27.91,160.62,55.98,0.0,0.18,72.05,152.6,0.75,9.51,48.12,65.13,17.01,1.88,1.02,60.76,11-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
11-Mar-2019 - 00:00,22.65,767.91,26.79,157.18,69.66,0.0,0.33,132.35,126.13,0.76,7.09,39.9,48.51,8.59,1.63,0.53,46.14,12-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
