from date,SO2,NO2,NH3,NOx,NO,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Temp,WD,RH,BP,to date,station
01-Jan-2019 - 00:00,8.45,79.9,13.8,80.57,46.84,1.37,85.88,66.2,121.94,0.1,0.46,25.59,117.64,48.55,721.82,02-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Jan-2019 - 00:00,7.97,77.14,13.65,73.89,40.42,1.1,77.72,52.06,100.73,0.1,0.44,25.45,96.77,51.41,722.08,03-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Jan-2019 - 00:00,9.03,79.43,14.64,86.8,54.79,1.34,73.37,54.06,109.91,0.1,0.48,25.69,107.53,48.98,722.59,04-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Jan-2019 - 00:00,8.59,82.43,15.14,85.64,51.41,1.2,60.11,56.64,113.99,0.1,0.49,25.73,105.88,45.8,721.78,05-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Jan-2019 - 00:00,8.23,82.86,15.03,77.18,40.71,1.19,73.61,50.48,101.5,0.1,0.44,25.41,102.33,49.85,720.62,06-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Jan-2019 - 00:00,5.92,74.35,16.32,60.17,25.37,1.05,101.51,60.93,106.42,0.1,0.39,25.53,110.55,56.88,719.1,07-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Jan-2019 - 00:00,8.87,84.23,15.29,82.69,46.6,1.46,91.17,64.57,128.1,0.1,0.52,24.91,131.9,54.98,718.48,08-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Jan-2019 - 00:00,7.8,84.42,15.8,81.89,45.48,1.29,78.92,59.34,128.22,0.1,0.57,24.29,142.28,44.72,719.02,09-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Jan-2019 - 00:00,11.93,88.16,17.12,77.26,37.35,1.31,95.19,64.46,128.73,0.1,0.53,24.35,117.83,41.29,720.86,10-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Jan-2019 - 00:00,9.61,91.62,17.95,76.54,34.21,1.24,87.08,69.69,133.36,0.1,0.49,24.18,108.22,48.1,718.59,11-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Jan-2019 - 00:00,9.67,87.47,17.69,81.48,42.98,1.46,89.2,68.27,137.17,0.1,0.57,24.27,138.49,51.2,719.46,12-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Jan-2019 - 00:00,9.14,86.39,18.55,80.24,42.17,1.41,88.74,75.59,149.53,0.1,0.61,24.37,133.67,53.79,719.32,13-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Jan-2019 - 00:00,10.41,73.85,16.57,64.39,31.2,1.05,71.41,59.86,111.8,0.1,0.45,24.17,114.6,53.16,719.56,14-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Jan-2019 - 00:00,8.36,81.33,16.93,79.73,44.88,1.26,67.38,69.76,132.41,0.1,0.49,23.27,114.14,52.38,719.0,15-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Jan-2019 - 00:00,9.21,81.32,15.92,81.4,46.94,1.14,78.29,55.15,110.54,0.1,0.47,26.58,108.22,32.39,719.52,16-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Jan-2019 - 00:00,7.29,81.84,15.67,67.87,29.92,1.16,104.98,64.8,119.42,0.1,0.42,25.4,103.36,44.06,719.53,17-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Jan-2019 - 00:00,6.56,,,,,1.42,79.17,67.28,137.69,0.1,0.51,25.33,125.94,49.53,718.42,18-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Jan-2019 - 00:00,6.27,,,,,1.35,71.29,78.21,144.72,0.1,0.52,25.31,123.3,53.72,718.51,19-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Jan-2019 - 00:00,6.62,,,,,1.27,62.73,68.05,132.31,0.1,0.52,25.31,118.07,45.44,719.33,20-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Jan-2019 - 00:00,7.9,,,,,0.89,83.58,48.03,94.24,0.1,0.47,27.3,109.85,39.35,720.35,21-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Jan-2019 - 00:00,6.15,,,,,0.99,103.35,56.07,103.93,0.1,0.4,25.14,106.7,47.55,719.26,22-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Jan-2019 - 00:00,9.8,122.09,24.27,133.18,89.42,1.19,87.59,84.23,157.57,0.12,0.59,25.77,144.0,50.38,719.15,23-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Jan-2019 - 00:00,10.88,67.37,18.47,56.49,25.52,1.08,76.9,64.68,127.16,0.1,0.61,24.92,131.38,53.59,718.83,24-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Jan-2019 - 00:00,8.39,59.59,13.29,47.21,19.08,0.8,80.85,52.44,104.16,0.1,0.48,24.88,144.79,55.05,719.22,25-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Jan-2019 - 00:00,10.59,52.43,11.91,38.11,12.57,0.74,86.86,38.99,76.62,0.1,0.42,24.76,123.69,51.69,718.72,26-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Jan-2019 - 00:00,10.62,51.85,12.57,38.28,13.16,0.75,77.37,51.59,93.33,0.1,0.4,24.71,136.59,58.35,718.68,27-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Jan-2019 - 00:00,12.83,44.43,12.32,31.71,9.94,0.71,80.7,41.46,72.04,0.1,0.32,24.72,130.86,60.33,718.96,28-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Jan-2019 - 00:00,8.32,46.01,11.05,39.35,18.3,0.9,81.6,38.79,76.72,0.1,0.33,24.71,155.86,62.5,719.39,29-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Jan-2019 - 00:00,10.34,50.84,12.57,57.39,37.32,1.17,68.72,42.52,75.33,0.1,0.41,24.77,110.04,60.85,719.96,30-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Jan-2019 - 00:00,9.22,62.8,13.66,60.81,33.72,1.34,83.94,57.33,101.35,15.37,17.84,25.09,112.81,54.12,720.18,31-Jan-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
31-Jan-2019 - 00:00,11.81,70.85,12.71,58.04,25.04,0.9,103.62,52.11,95.94,14.06,43.68,25.79,104.44,55.45,719.52,01-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Feb-2019 - 00:00,11.45,76.95,10.72,65.53,30.24,1.03,89.03,58.1,111.16,5.3,12.81,25.15,119.42,53.06,719.32,02-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Feb-2019 - 00:00,10.92,79.66,12.61,70.45,34.53,0.93,84.33,51.76,104.84,1.44,1.95,24.06,121.09,53.06,718.53,03-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Feb-2019 - 00:00,10.19,67.67,12.88,55.65,24.17,0.74,95.87,43.53,87.65,1.42,1.98,23.89,114.69,53.47,719.61,04-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Feb-2019 - 00:00,8.23,67.41,11.17,68.83,40.56,0.91,62.98,41.69,83.15,1.42,2.02,23.78,93.52,53.59,721.09,05-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Feb-2019 - 00:00,8.58,64.98,11.87,52.62,22.21,0.75,91.2,45.21,86.12,1.42,2.01,23.76,103.69,56.34,720.79,06-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Feb-2019 - 00:00,12.54,76.13,10.87,57.01,20.3,0.89,119.94,58.09,112.11,1.42,1.96,23.95,117.06,45.11,718.72,07-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Feb-2019 - 00:00,12.47,76.14,11.06,58.45,22.09,0.86,80.1,56.65,115.9,1.42,1.95,24.1,134.01,46.85,718.53,08-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Feb-2019 - 00:00,11.37,61.9,12.75,44.16,13.82,0.7,101.11,53.27,108.01,1.44,1.95,24.65,162.91,51.47,718.71,09-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Feb-2019 - 00:00,13.44,82.14,14.15,74.47,37.86,1.26,64.11,75.49,144.31,1.45,1.91,26.12,138.32,59.35,718.91,10-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Feb-2019 - 00:00,8.45,66.01,17.48,60.5,31.22,0.99,55.78,53.09,101.71,1.47,1.93,25.96,115.36,62.79,719.94,11-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Feb-2019 - 00:00,7.89,60.05,14.92,62.37,37.43,0.91,48.36,47.22,92.2,1.45,1.95,26.03,96.79,61.43,720.78,12-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Feb-2019 - 00:00,7.64,70.87,13.24,68.09,37.39,0.95,67.09,52.39,106.29,1.45,1.96,26.11,95.36,57.83,721.51,13-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Feb-2019 - 00:00,6.3,74.34,12.17,70.31,37.85,0.98,75.45,51.19,106.27,1.45,1.96,26.19,100.31,55.03,722.02,14-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Feb-2019 - 00:00,6.26,67.54,11.31,60.06,29.68,0.82,69.13,39.68,87.8,1.45,1.93,25.96,105.85,50.81,719.66,15-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Feb-2019 - 00:00,5.7,64.6,11.21,50.97,20.44,0.74,70.55,36.39,77.78,1.45,1.92,26.35,132.78,56.45,719.48,16-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Feb-2019 - 00:00,7.39,72.91,11.09,72.44,41.4,1.22,76.2,48.9,114.6,1.45,1.92,26.29,193.72,51.53,719.15,17-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Feb-2019 - 00:00,7.72,64.92,12.31,57.7,28.49,0.87,73.61,42.29,95.85,1.45,1.91,25.88,215.32,46.77,718.2,18-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Feb-2019 - 00:00,8.18,76.11,11.12,76.77,44.63,1.0,60.01,45.97,111.31,1.45,1.86,26.08,179.49,37.91,716.71,19-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Feb-2019 - 00:00,7.89,58.84,14.59,46.01,18.1,0.84,78.37,41.83,86.48,1.45,1.88,26.22,122.39,53.44,717.33,20-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Feb-2019 - 00:00,6.85,58.94,12.06,58.88,33.86,0.8,47.53,34.3,77.59,1.46,1.9,27.9,100.33,52.53,720.05,21-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Feb-2019 - 00:00,7.66,65.08,13.77,73.07,47.3,0.79,44.22,46.69,103.58,1.49,1.89,28.83,93.89,46.61,721.66,22-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Feb-2019 - 00:00,8.36,64.66,13.62,74.74,49.62,0.53,59.1,47.48,106.27,1.68,3.29,27.34,103.45,38.14,720.45,23-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Feb-2019 - 00:00,8.62,94.11,11.92,101.45,63.22,1.1,52.28,44.14,98.3,17.65,50.23,21.66,96.0,22.5,722.54,24-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Feb-2019 - 00:00,9.97,76.57,14.65,74.23,41.2,0.87,64.76,44.68,108.15,11.5,32.37,22.28,111.92,31.14,722.07,25-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Feb-2019 - 00:00,17.01,75.09,13.59,75.15,43.3,0.78,85.81,42.99,99.97,11.58,36.54,22.21,137.02,28.23,721.16,26-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Feb-2019 - 00:00,14.48,73.96,15.35,63.16,29.3,1.05,65.26,56.93,122.89,13.78,36.27,22.43,198.82,39.95,720.28,27-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Feb-2019 - 00:00,10.18,56.94,16.38,41.52,13.81,0.68,64.85,49.17,108.25,9.97,28.14,23.06,189.74,51.95,719.57,28-Feb-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Feb-2019 - 00:00,11.83,71.11,10.79,57.52,24.23,0.89,58.42,55.82,135.1,17.58,31.13,22.39,215.54,39.15,720.59,01-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Mar-2019 - 00:00,11.82,74.01,16.01,59.65,24.96,1.06,47.13,58.17,133.64,15.48,47.01,23.17,152.44,49.8,720.54,02-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Mar-2019 - 00:00,6.9,55.06,14.67,42.44,16.17,0.58,61.77,40.0,87.88,6.05,24.0,23.03,114.86,57.07,721.67,03-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Mar-2019 - 00:00,9.26,57.15,11.48,44.84,17.77,0.67,71.88,36.74,84.71,6.86,22.91,23.12,135.7,53.08,721.7,04-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Mar-2019 - 00:00,11.6,48.53,12.66,30.96,6.32,0.58,86.19,40.52,88.75,5.6,17.84,23.6,169.08,52.42,720.62,05-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Mar-2019 - 00:00,6.12,62.27,11.69,51.96,23.15,1.11,66.5,51.65,117.83,8.92,24.74,23.16,207.58,54.47,720.69,06-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Mar-2019 - 00:00,7.77,73.7,10.76,63.61,28.76,1.03,56.44,54.57,132.38,12.09,32.55,23.31,236.85,41.09,720.97,07-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Mar-2019 - 00:00,11.74,83.53,14.43,111.41,84.33,1.22,42.86,71.35,180.62,17.6,47.65,23.18,225.72,28.24,720.07,08-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Mar-2019 - 00:00,11.31,,,,,1.01,33.89,58.0,149.25,12.82,34.28,22.73,199.21,31.61,721.29,09-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Mar-2019 - 00:00,7.57,,,,,0.84,60.44,51.57,123.29,9.11,27.12,22.6,181.97,53.81,723.05,10-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Mar-2019 - 00:00,9.4,,,,,0.66,66.91,35.7,82.0,4.72,16.38,23.14,147.76,52.28,723.07,11-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Mar-2019 - 00:00,11.87,,,,,0.66,86.15,34.83,83.77,4.09,15.56,22.79,147.58,45.5,723.84,12-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Mar-2019 - 00:00,16.12,68.93,9.92,47.82,13.73,0.53,103.21,47.52,105.17,4.77,18.05,23.95,151.74,39.5,724.12,13-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Mar-2019 - 00:00,17.52,69.02,10.51,50.78,17.32,0.7,95.96,50.18,112.46,6.11,20.27,24.23,138.45,33.82,724.57,14-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Mar-2019 - 00:00,10.84,61.18,10.41,44.47,14.66,0.54,101.42,43.88,105.07,4.49,17.5,23.69,124.7,30.47,724.34,15-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Mar-2019 - 00:00,12.04,69.29,10.91,50.22,16.44,0.52,51.85,42.83,97.45,5.0,20.13,23.99,117.25,29.02,723.9,16-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Mar-2019 - 00:00,9.02,75.81,13.46,73.15,40.36,0.65,37.91,46.71,107.56,7.44,24.07,25.61,104.07,34.55,723.67,17-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Mar-2019 - 00:00,6.74,77.09,15.1,60.76,24.29,0.76,79.0,44.44,93.83,6.74,21.82,27.0,121.53,36.39,723.07,18-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Mar-2019 - 00:00,10.96,66.5,15.19,47.12,14.44,0.46,90.67,40.59,92.91,5.38,19.37,27.07,161.94,44.9,722.64,19-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Mar-2019 - 00:00,7.4,62.7,15.0,45.91,15.46,0.81,68.54,38.95,85.96,4.84,18.65,27.39,162.61,49.15,721.35,20-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Mar-2019 - 00:00,9.92,62.54,14.48,46.98,16.87,0.56,62.17,40.06,90.76,4.73,18.43,27.7,161.11,48.25,721.24,21-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Mar-2019 - 00:00,9.19,67.12,13.62,48.18,15.35,0.66,77.35,39.69,88.16,5.41,19.19,28.23,173.42,44.22,722.23,22-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Mar-2019 - 00:00,11.92,67.48,13.86,49.17,16.32,0.66,73.38,40.11,91.52,7.42,22.38,28.41,161.86,43.48,722.73,23-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Mar-2019 - 00:00,7.95,70.48,13.89,52.75,18.77,0.67,67.62,40.69,98.64,7.1,24.65,28.42,161.23,41.16,722.27,24-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Mar-2019 - 00:00,5.91,60.82,14.89,44.56,15.02,0.56,79.16,38.73,91.69,5.01,18.28,28.63,163.59,45.76,721.58,25-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Mar-2019 - 00:00,11.43,67.9,14.96,54.67,22.81,0.66,64.61,43.48,102.32,5.39,21.32,29.14,125.74,42.27,721.52,26-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Mar-2019 - 00:00,10.26,67.99,14.14,53.05,20.76,0.62,78.91,44.88,103.39,5.07,19.62,29.12,140.56,35.69,722.76,27-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Mar-2019 - 00:00,11.54,76.63,14.66,70.23,36.25,0.81,67.56,53.83,129.23,7.61,23.41,29.3,152.08,39.11,723.95,28-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Mar-2019 - 00:00,8.61,81.02,16.13,71.01,34.33,0.82,56.91,57.54,139.31,8.71,29.07,29.31,162.33,36.78,723.09,29-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Mar-2019 - 00:00,8.84,75.93,16.68,60.79,25.08,0.84,75.42,58.0,130.54,8.59,23.8,29.07,181.93,44.74,721.49,30-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Mar-2019 - 00:00,6.47,76.02,16.4,59.58,23.55,0.76,56.6,51.07,122.08,6.98,24.26,29.16,171.8,42.35,721.46,31-Mar-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
31-Mar-2019 - 00:00,3.89,63.47,17.27,48.01,17.52,0.56,57.28,47.11,103.17,5.76,17.41,30.35,178.85,49.02,721.96,01-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Apr-2019 - 00:00,5.35,66.83,16.02,52.47,20.83,0.63,55.73,45.83,104.43,6.29,18.16,30.89,180.14,44.77,721.76,02-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Apr-2019 - 00:00,5.55,68.41,16.72,55.26,23.22,0.71,59.16,47.86,115.93,6.98,22.52,30.92,179.27,47.07,721.35,03-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Apr-2019 - 00:00,5.15,69.39,16.47,55.76,23.18,0.62,67.02,46.85,107.26,6.66,21.28,31.79,158.01,40.5,721.09,04-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Apr-2019 - 00:00,9.84,58.92,21.35,49.1,21.84,0.56,60.64,36.93,102.14,4.47,19.26,31.72,143.45,40.85,722.45,05-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Apr-2019 - 00:00,7.11,62.08,17.51,46.75,16.89,0.68,65.11,45.72,100.95,8.11,18.58,29.37,178.12,42.11,723.08,06-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Apr-2019 - 00:00,6.27,63.69,19.13,48.77,17.04,0.7,73.44,46.41,100.53,6.9,24.11,31.52,170.68,42.31,722.11,07-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Apr-2019 - 00:00,5.49,60.92,18.11,49.9,20.55,0.6,72.13,39.34,85.96,5.74,17.56,32.51,170.36,41.09,721.06,08-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Apr-2019 - 00:00,4.89,61.25,18.6,51.57,21.86,0.65,64.38,38.54,91.47,5.72,17.97,33.05,174.55,47.09,720.39,09-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Apr-2019 - 00:00,3.9,59.52,24.51,47.63,19.24,0.58,72.96,40.79,82.27,5.04,16.88,33.74,211.47,51.64,720.99,10-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
