from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,NH3,NO2,NO,NOx,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,12.24,995.29,515.67,151.12,76.28,82.27,,188.31,0.64,2.51,74.42,54.95,56.88,75.44,27.43,18.54,02-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
02-Jan-2019 - 00:00,14.25,995.5,625.6,257.21,72.77,72.17,,166.69,0.84,3.0,81.71,73.14,58.9,86.91,31.07,21.16,03-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
03-Jan-2019 - 00:00,11.74,996.62,515.14,141.07,88.24,63.66,,57.04,0.97,2.02,75.25,44.5,22.73,42.12,17.08,16.18,04-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
04-Jan-2019 - 00:00,11.24,995.36,383.3,222.49,89.87,55.75,,80.11,0.8,1.88,53.2,36.1,18.52,34.29,12.88,15.61,05-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
05-Jan-2019 - 00:00,13.33,993.97,494.91,309.92,73.72,106.89,,194.95,1.33,2.1,49.8,58.23,18.4,45.92,3.63,15.43,06-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
06-Jan-2019 - 00:00,14.31,993.66,255.56,178.92,77.18,98.36,,97.39,1.32,1.19,44.77,39.76,4.85,25.1,3.57,14.52,07-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
07-Jan-2019 - 00:00,11.99,995.36,300.45,204.94,87.97,97.68,131.47,51.63,0.9,1.39,39.97,39.95,15.61,33.97,3.67,14.96,08-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
08-Jan-2019 - 00:00,12.25,993.36,266.65,182.73,83.98,117.8,,46.64,0.93,1.22,40.14,35.62,9.87,26.99,17.8,16.14,09-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
09-Jan-2019 - 00:00,12.04,992.65,293.29,194.78,78.33,135.46,,33.14,1.04,1.31,37.17,37.75,9.59,27.9,24.82,17.67,10-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
10-Jan-2019 - 00:00,12.1,992.32,348.72,249.77,77.71,127.44,298.91,77.48,0.79,1.92,38.09,42.84,37.37,53.23,26.69,19.05,11-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
11-Jan-2019 - 00:00,12.75,993.93,517.52,395.12,75.45,105.02,266.62,174.67,0.61,3.2,57.34,66.42,78.45,99.35,31.39,19.48,12-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
12-Jan-2019 - 00:00,14.11,992.97,648.86,449.05,74.21,90.7,237.76,212.64,0.64,3.1,77.45,100.82,59.37,102.0,37.28,17.95,13-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
13-Jan-2019 - 00:00,15.9,995.04,402.38,277.81,72.86,91.59,207.5,85.03,1.16,1.66,64.17,50.84,15.01,39.4,48.04,17.81,14-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
14-Jan-2019 - 00:00,12.07,994.77,200.58,132.35,68.21,146.09,,29.36,1.26,0.88,41.37,38.07,4.25,23.68,40.35,16.35,15-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
15-Jan-2019 - 00:00,9.76,993.71,290.33,203.04,77.26,96.26,,77.15,1.01,1.41,39.67,47.15,25.36,45.7,29.69,20.44,16-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
16-Jan-2019 - 00:00,11.4,993.59,564.36,397.05,74.27,86.3,148.38,182.16,0.68,2.83,61.01,85.85,60.57,95.37,29.2,20.03,17-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
17-Jan-2019 - 00:00,12.68,992.59,586.89,453.2,75.95,108.01,211.71,95.7,0.7,2.39,69.43,68.68,70.32,93.88,37.19,17.25,18-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
18-Jan-2019 - 00:00,10.97,992.92,421.98,289.05,86.36,96.88,,80.94,0.81,1.71,50.83,56.16,28.47,53.09,27.17,12.3,19-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
19-Jan-2019 - 00:00,14.18,992.58,477.66,333.94,74.54,125.27,239.51,145.46,0.72,2.14,50.28,66.45,54.63,79.86,36.4,17.61,20-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
20-Jan-2019 - 00:00,17.38,991.59,577.85,369.44,68.76,106.27,260.15,188.2,0.6,3.15,70.71,110.46,79.13,123.31,52.2,17.36,21-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
21-Jan-2019 - 00:00,16.88,988.64,427.64,236.15,74.77,58.29,190.88,200.74,2.38,1.78,71.52,65.27,32.11,60.86,41.82,16.07,22-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
22-Jan-2019 - 00:00,14.77,989.46,76.11,64.86,88.94,56.55,169.55,201.86,1.79,0.76,36.73,41.82,2.68,24.42,35.19,10.99,23-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
23-Jan-2019 - 00:00,12.48,993.1,206.27,144.26,90.65,99.74,185.07,83.87,0.74,1.18,35.77,43.21,18.62,38.15,17.82,13.91,24-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
24-Jan-2019 - 00:00,15.32,995.28,207.18,132.48,76.64,112.7,172.21,118.23,1.42,0.88,38.46,37.61,4.45,23.63,34.46,15.44,25-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
