from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,to date,station
01-Jan-2019 - 00:00,29.5,0.58,25.3,1.48,28.96,16.56,14.4,13.84,61.47,111.66,0.15,1.14,0.01,22.42,40.45,5.23,112.34,107.73,801.3,02-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
02-Jan-2019 - 00:00,29.37,0.72,19.81,1.62,33.66,19.19,16.3,6.85,70.2,144.34,0.23,2.96,0.09,21.99,42.98,3.86,136.12,104.44,786.1,03-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
03-Jan-2019 - 00:00,29.23,0.86,15.81,2.47,41.82,24.25,19.36,5.57,69.73,152.8,0.17,3.16,0.16,22.54,48.36,3.79,146.5,98.64,762.34,04-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
04-Jan-2019 - 00:00,29.31,0.65,19.95,1.49,30.94,17.67,21.59,5.25,76.55,149.39,0.19,4.17,0.09,22.29,52.89,4.78,134.99,100.31,761.73,05-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
05-Jan-2019 - 00:00,29.07,0.83,17.69,1.54,28.58,16.41,21.57,4.51,74.68,139.36,0.12,1.76,0.11,22.01,55.31,5.01,144.26,100.88,764.61,06-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
06-Jan-2019 - 00:00,28.9,0.69,19.75,1.38,22.93,13.28,23.36,3.78,77.67,150.73,0.16,1.8,0.08,21.59,60.48,4.91,144.1,96.45,765.08,07-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
07-Jan-2019 - 00:00,28.97,0.64,19.58,1.39,24.4,14.11,20.68,3.71,73.42,144.96,0.2,1.7,0.08,22.15,55.92,4.67,113.88,91.66,766.26,08-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
08-Jan-2019 - 00:00,29.32,0.82,18.56,2.02,29.91,17.55,21.35,6.06,70.01,157.03,0.19,1.88,0.05,21.34,51.33,4.67,124.33,99.43,764.8,09-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
09-Jan-2019 - 00:00,29.51,0.73,16.39,1.79,38.28,21.83,20.59,8.78,69.88,152.48,0.23,2.58,0.08,22.07,40.92,3.69,119.52,101.2,765.19,10-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
10-Jan-2019 - 00:00,29.44,0.67,20.53,1.66,33.72,19.29,23.03,6.05,72.5,146.69,0.17,3.03,0.08,21.84,45.78,4.38,130.88,98.39,763.93,11-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
11-Jan-2019 - 00:00,29.17,0.72,18.23,1.46,30.38,17.34,27.56,3.83,78.94,143.19,0.14,1.88,0.08,22.12,57.73,5.02,140.18,93.88,746.23,12-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
12-Jan-2019 - 00:00,29.05,0.67,17.22,1.49,20.81,12.28,27.34,3.3,79.42,135.14,0.13,1.81,0.37,21.94,64.81,5.77,139.06,93.74,704.18,13-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
13-Jan-2019 - 00:00,29.13,0.58,17.18,1.43,18.86,11.16,24.7,3.69,74.83,113.33,0.13,1.77,0.08,22.13,60.77,5.76,144.82,95.5,705.48,14-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
14-Jan-2019 - 00:00,29.04,0.65,18.35,1.38,19.03,11.24,23.22,3.58,73.05,125.66,0.14,1.33,0.05,22.42,57.15,4.85,135.48,96.52,704.56,15-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
15-Jan-2019 - 00:00,29.03,0.63,26.45,1.23,15.63,9.28,23.56,4.46,72.45,114.79,0.12,1.81,0.02,22.52,54.97,5.19,97.93,95.25,705.52,16-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
16-Jan-2019 - 00:00,29.32,0.66,20.39,1.21,17.34,10.21,22.57,4.92,73.11,126.97,0.14,1.69,0.03,22.63,52.31,4.54,103.53,96.12,701.63,17-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
17-Jan-2019 - 00:00,29.25,0.69,16.43,2.19,28.41,16.89,25.28,4.57,69.23,140.77,0.3,4.12,0.11,23.05,52.14,3.47,111.94,100.94,702.83,18-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
18-Jan-2019 - 00:00,29.06,0.65,17.35,1.65,27.62,16.04,25.83,4.22,74.91,143.16,0.14,2.05,0.13,22.88,54.36,4.53,124.82,90.63,705.62,19-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
19-Jan-2019 - 00:00,28.99,0.64,20.55,1.34,27.72,15.83,24.63,4.88,78.12,153.43,0.12,3.15,0.1,22.63,53.81,4.24,122.96,93.86,705.97,20-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
20-Jan-2019 - 00:00,29.25,0.59,20.17,1.46,26.35,15.21,20.85,4.73,69.39,131.83,0.15,3.17,0.06,23.33,47.65,3.99,122.87,104.35,707.9,21-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
21-Jan-2019 - 00:00,29.01,0.69,15.67,1.69,28.86,16.68,21.97,3.2,67.38,126.14,0.16,1.88,0.16,22.98,53.33,4.66,139.73,104.34,707.54,22-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
22-Jan-2019 - 00:00,29.17,0.49,12.7,1.39,23.51,13.64,20.2,3.32,49.61,96.74,0.09,0.94,0.03,22.79,46.39,7.06,163.8,106.15,705.13,23-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
23-Jan-2019 - 00:00,28.82,0.51,15.95,1.43,18.13,10.8,23.16,2.99,54.13,101.93,0.1,0.71,0.05,24.81,51.98,5.36,161.3,126.2,713.44,24-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
24-Jan-2019 - 00:00,29.01,0.62,13.7,1.5,20.17,11.94,21.89,3.05,59.24,104.61,0.1,1.14,0.06,23.1,61.6,5.36,149.15,87.42,715.15,25-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
25-Jan-2019 - 00:00,28.87,0.48,10.51,1.25,19.41,11.27,20.23,3.0,36.88,92.03,0.07,0.84,0.02,23.12,61.31,8.81,164.64,93.57,712.21,26-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
26-Jan-2019 - 00:00,29.04,0.53,11.85,1.16,14.36,8.5,19.65,3.18,34.92,60.55,0.1,0.83,0.0,22.35,72.07,6.45,122.6,78.44,729.62,27-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
27-Jan-2019 - 00:00,28.85,0.48,10.48,1.33,9.71,6.13,19.95,2.54,47.36,52.59,0.08,0.32,0.0,18.73,84.59,7.41,64.19,38.26,702.58,28-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
28-Jan-2019 - 00:00,28.75,0.5,15.04,1.14,18.95,10.9,17.5,3.86,65.6,84.38,0.09,0.64,0.0,19.15,74.22,7.01,81.71,68.36,727.6,29-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
29-Jan-2019 - 00:00,28.83,0.45,20.62,1.24,17.24,10.11,15.2,5.73,58.88,78.98,0.07,0.62,0.0,19.12,60.1,6.83,84.46,114.23,733.94,30-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
30-Jan-2019 - 00:00,29.3,0.55,21.1,1.31,29.1,16.45,12.63,6.58,50.96,96.87,0.09,0.87,0.03,19.56,45.79,5.21,98.6,102.77,725.24,31-Jan-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
31-Jan-2019 - 00:00,29.03,0.57,17.48,1.2,29.42,16.63,17.92,4.89,65.68,115.59,0.11,2.6,0.08,20.41,58.57,5.7,134.09,115.26,707.48,01-Feb-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
01-Feb-2019 - 00:00,29.56,0.64,15.64,1.38,24.25,13.95,19.48,3.09,70.6,109.82,0.11,1.59,0.08,22.09,62.32,5.21,141.14,108.84,708.72,02-Feb-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
02-Feb-2019 - 00:00,29.33,0.63,13.23,1.28,30.0,16.9,20.33,3.91,65.04,123.17,0.14,2.02,0.13,22.34,56.96,4.4,129.35,108.83,706.66,03-Feb-2019 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
