from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
01-Jan-2019 - 00:00,526.7,354.97,47.15,43.18,90.33,2.85,,25.25,02-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
02-Jan-2019 - 00:00,600.34,325.68,45.02,43.91,88.93,2.65,0.0,25.84,03-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
03-Jan-2019 - 00:00,585.54,277.09,40.0,38.25,78.25,3.24,2.88,29.54,04-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
04-Jan-2019 - 00:00,415.6,300.31,39.63,32.56,72.18,3.41,15.67,34.24,05-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
05-Jan-2019 - 00:00,433.09,285.77,36.38,24.89,61.26,3.06,,30.92,06-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
06-Jan-2019 - 00:00,228.16,157.53,35.99,23.05,59.04,3.74,,26.1,07-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
07-Jan-2019 - 00:00,250.92,158.74,35.79,22.56,58.35,3.81,,22.02,08-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
08-Jan-2019 - 00:00,196.15,124.91,37.96,23.08,61.05,3.89,,23.89,09-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
09-Jan-2019 - 00:00,191.23,113.7,37.88,22.99,60.88,3.85,,24.19,10-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
10-Jan-2019 - 00:00,254.5,150.44,42.27,24.53,66.8,3.66,,26.32,11-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
11-Jan-2019 - 00:00,444.41,278.13,45.68,25.94,71.62,2.49,0.0,23.58,12-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
12-Jan-2019 - 00:00,449.44,303.05,43.96,25.33,69.29,2.87,,26.72,13-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
13-Jan-2019 - 00:00,377.2,244.28,45.82,25.78,71.6,0.8,,16.39,14-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
14-Jan-2019 - 00:00,128.44,70.09,49.47,26.57,76.04,0.0,,17.38,15-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
15-Jan-2019 - 00:00,191.46,109.59,48.33,26.14,74.48,0.38,,17.09,16-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
16-Jan-2019 - 00:00,442.91,279.03,79.84,36.84,116.67,1.86,0.0,28.88,17-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
17-Jan-2019 - 00:00,463.84,302.42,102.16,44.3,127.38,2.17,0.0,42.72,18-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
