from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
01-Jan-2019 - 00:00,458.75,300.6,101.07,24.92,125.98,3.72,0.0,46.12,0.0,0.0,0.0,0.0,02-Jan-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
02-Jan-2019 - 00:00,462.76,313.11,88.99,21.47,110.47,3.54,0.0,49.8,0.0,0.0,0.0,0.0,03-Jan-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
03-Jan-2019 - 00:00,509.4,358.32,97.36,23.91,121.27,3.76,0.0,43.21,0.0,0.0,0.0,0.0,04-Jan-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
04-Jan-2019 - 00:00,348.82,230.94,81.71,19.87,101.58,3.05,0.0,44.98,0.0,0.0,0.0,0.0,05-Jan-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
05-Jan-2019 - 00:00,324.57,230.27,77.64,18.25,95.9,2.12,0.0,50.6,0.0,0.0,0.0,0.0,06-Jan-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
06-Jan-2019 - 00:00,260.39,180.92,79.5,18.57,98.07,2.24,0.0,45.82,0.0,0.0,0.0,0.0,07-Jan-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
07-Jan-2019 - 00:00,314.13,193.1,93.33,21.25,114.58,2.93,0.0,44.2,0.0,0.0,0.0,0.0,08-Jan-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
08-Jan-2019 - 00:00,255.27,160.64,86.26,18.49,95.91,2.16,0.0,34.79,0.0,0.0,0.0,0.0,09-Jan-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
09-Jan-2019 - 00:00,220.02,134.5,69.44,13.27,82.71,1.42,0.0,20.33,0.0,0.0,0.0,0.0,10-Jan-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
10-Jan-2019 - 00:00,274.23,161.49,77.17,14.76,91.93,2.33,0.0,21.01,0.0,0.0,0.0,0.0,11-Jan-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
11-Jan-2019 - 00:00,446.66,317.71,73.43,14.04,87.48,4.33,0.0,30.99,0.0,0.0,0.0,0.0,12-Jan-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
12-Jan-2019 - 00:00,443.18,207.48,76.98,14.7,91.06,3.89,0.0,34.31,0.0,0.0,0.0,0.0,13-Jan-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
13-Jan-2019 - 00:00,398.57,286.5,85.4,16.32,101.72,2.8,0.0,30.97,0.0,0.0,0.0,0.0,14-Jan-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
14-Jan-2019 - 00:00,170.62,83.83,98.91,26.27,114.71,1.27,0.0,19.9,0.0,0.0,0.0,0.0,15-Jan-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
15-Jan-2019 - 00:00,297.05,191.21,136.46,58.57,179.74,1.49,0.0,20.76,0.0,0.0,0.0,0.0,16-Jan-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
