from date,CO,PM10,NO,NO2,NOx,SO2,to date,station
01-Jan-2019 - 00:00,1.4,124.06,31.75,43.34,75.1,6.5,02-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Jan-2019 - 00:00,2.07,111.61,28.76,41.86,70.63,5.84,03-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Jan-2019 - 00:00,2.06,108.99,33.57,42.94,76.51,6.39,04-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Jan-2019 - 00:00,1.78,112.11,34.18,44.17,78.23,6.3,05-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Jan-2019 - 00:00,1.43,112.68,28.32,45.68,74.0,6.18,06-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Jan-2019 - 00:00,1.36,118.48,21.68,42.78,64.46,5.88,07-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Jan-2019 - 00:00,1.45,129.97,33.05,53.88,86.94,7.06,08-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Jan-2019 - 00:00,1.43,109.05,22.17,41.76,63.93,5.86,09-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Jan-2019 - 00:00,1.44,135.65,25.9,48.61,74.51,7.35,10-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Jan-2019 - 00:00,1.55,134.66,30.54,56.98,87.52,7.27,11-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Jan-2019 - 00:00,1.54,151.76,48.37,69.87,118.24,6.8,12-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Jan-2019 - 00:00,1.38,141.63,27.5,50.86,78.36,6.34,13-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Jan-2019 - 00:00,1.39,122.74,26.3,46.69,72.99,6.91,14-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Jan-2019 - 00:00,1.42,129.3,27.3,46.26,73.56,6.72,15-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Jan-2019 - 00:00,1.4,107.49,38.81,52.3,91.11,6.33,16-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Jan-2019 - 00:00,1.55,153.78,37.29,63.62,100.92,8.18,17-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Jan-2019 - 00:00,1.45,136.57,31.39,48.54,79.94,6.77,18-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Jan-2019 - 00:00,1.43,129.46,29.77,48.98,78.75,6.18,19-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Jan-2019 - 00:00,1.28,110.75,6.81,22.72,29.53,5.22,20-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Jan-2019 - 00:00,,,,,,,21-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Jan-2019 - 00:00,1.46,156.4,38.44,60.27,98.71,7.84,22-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Jan-2019 - 00:00,1.32,121.19,12.72,31.43,44.15,4.9,23-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Jan-2019 - 00:00,1.58,189.38,39.91,70.23,110.14,6.63,24-Jan-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
