from date,Eth-Benzene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,0.59,13.54,764.37,51.35,155.43,0.0,44.31,14.93,185.68,1.19,1.23,34.9,42.74,58.48,101.22,31.9,15.17,02-Jan-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Jan-2019 - 00:00,0.58,13.66,764.5,50.74,171.79,0.0,45.71,15.37,193.85,1.45,0.94,35.92,35.67,52.34,87.84,31.49,7.87,03-Jan-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Jan-2019 - 00:00,0.15,6.6,765.77,53.18,117.27,0.0,35.32,16.57,235.14,1.42,0.88,28.24,14.16,46.28,59.05,32.93,5.96,04-Jan-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Jan-2019 - 00:00,0.15,5.06,764.49,85.73,150.43,0.0,46.63,15.42,210.18,1.67,0.85,31.4,13.72,47.76,61.48,46.15,8.84,05-Jan-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Jan-2019 - 00:00,0.21,7.35,762.75,86.69,136.98,0.0,52.32,16.56,176.59,1.43,0.94,34.49,12.93,50.61,63.54,38.9,10.5,06-Jan-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Jan-2019 - 00:00,0.02,2.09,763.2,108.52,138.78,0.0,63.59,14.08,249.71,2.03,0.71,31.54,4.65,28.19,32.83,61.78,6.12,07-Jan-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Jan-2019 - 00:00,0.32,1.03,765.27,57.48,120.49,0.0,60.99,13.12,125.3,1.42,0.91,31.08,12.81,33.57,46.36,40.72,5.84,08-Jan-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Jan-2019 - 00:00,0.49,0.81,764.76,63.45,128.98,0.0,54.25,13.81,190.5,1.41,0.59,34.46,21.71,39.2,60.89,37.92,4.69,09-Jan-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Jan-2019 - 00:00,0.42,0.64,765.64,67.88,109.88,0.0,44.97,14.47,183.09,2.0,0.62,31.13,13.97,36.27,50.24,48.17,3.37,10-Jan-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Jan-2019 - 00:00,0.5,0.91,765.73,77.7,151.84,0.0,47.12,14.42,172.7,2.14,0.63,32.03,22.67,44.13,66.8,37.71,5.38,11-Jan-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Jan-2019 - 00:00,0.27,0.51,765.33,55.18,118.27,0.0,38.85,16.15,131.72,2.57,0.48,27.31,6.25,36.24,42.49,48.57,6.82,12-Jan-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Jan-2019 - 00:00,0.44,0.87,764.38,68.9,148.39,0.0,48.66,15.04,170.53,2.0,0.66,32.17,21.18,44.67,65.85,40.04,5.74,13-Jan-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
