from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,AT,WS,WD,RH,BP,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
