from date,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM10,PM2.5,NH3,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
01-Jan-2019 - 00:00,13.14,129.3,60.85,61.72,28.03,39.75,43.58,58.1,13.43,2.86,0.64,0.0,488.08,297.6,20.89,17.11,15.63,68.39,4.28,3.16,02-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
02-Jan-2019 - 00:00,22.88,97.6,62.27,53.69,27.01,42.86,44.41,55.96,14.7,4.18,0.56,0.0,565.16,350.33,21.05,16.68,24.08,81.23,8.98,7.7,03-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
03-Jan-2019 - 00:00,16.33,165.72,66.87,58.99,21.81,45.47,41.64,53.39,13.55,3.6,0.75,0.0,591.22,381.28,20.9,15.39,18.45,113.64,5.78,3.92,04-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
04-Jan-2019 - 00:00,5.91,141.44,71.75,37.79,29.52,56.74,53.8,39.83,12.15,2.1,0.57,0.0,392.64,228.88,23.18,11.24,10.77,43.63,3.52,3.01,05-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
05-Jan-2019 - 00:00,11.58,114.84,60.6,57.83,42.86,71.48,72.32,42.54,14.28,2.58,0.63,0.01,421.57,246.89,26.08,15.65,16.28,67.59,3.04,2.96,06-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
06-Jan-2019 - 00:00,7.98,101.49,67.37,54.44,21.68,55.08,46.66,48.97,14.86,1.2,0.59,0.04,244.65,156.46,22.09,11.97,9.92,45.67,4.16,3.48,07-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
07-Jan-2019 - 00:00,7.32,147.17,69.94,60.47,29.74,67.78,59.61,44.0,13.15,1.19,0.49,0.01,287.16,173.64,24.78,14.21,8.5,54.13,3.5,2.05,08-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
08-Jan-2019 - 00:00,5.01,166.66,66.11,64.22,23.08,84.37,63.3,53.55,13.77,0.75,0.73,0.0,252.39,158.04,22.95,15.9,6.15,37.06,2.68,1.72,09-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
09-Jan-2019 - 00:00,3.76,153.73,60.26,72.94,21.15,89.56,64.53,61.38,13.83,0.81,0.75,0.0,266.86,161.86,23.1,17.18,6.11,27.28,1.71,1.16,10-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
10-Jan-2019 - 00:00,6.92,140.32,61.91,70.08,67.7,107.63,111.41,58.38,13.52,1.81,0.65,0.0,341.5,220.15,26.75,21.77,9.77,45.73,2.56,1.51,11-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
11-Jan-2019 - 00:00,23.2,77.19,61.17,57.47,102.82,138.92,153.8,54.6,13.33,2.41,0.59,0.0,455.6,283.59,31.05,24.17,17.41,92.81,10.92,19.4,12-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
12-Jan-2019 - 00:00,23.93,100.87,60.57,50.56,129.79,216.07,220.12,53.99,14.95,3.02,0.63,0.0,471.56,290.29,38.16,19.29,22.23,142.42,11.12,7.74,13-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
13-Jan-2019 - 00:00,21.15,103.55,60.9,52.14,49.06,88.97,86.43,60.76,16.49,2.07,0.45,0.0,405.96,241.32,29.3,28.34,19.22,77.01,9.16,10.49,14-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
14-Jan-2019 - 00:00,2.79,158.78,52.0,78.73,8.82,65.79,41.47,49.63,13.62,0.4,0.82,0.0,180.03,99.98,16.3,15.14,3.73,16.69,1.08,0.5,15-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
15-Jan-2019 - 00:00,3.77,146.7,58.06,50.96,54.22,116.39,103.52,34.01,11.47,1.28,0.74,0.0,259.99,161.8,9.81,16.09,7.04,24.9,1.74,1.05,16-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
16-Jan-2019 - 00:00,20.64,88.78,59.91,50.59,144.07,216.4,226.24,20.91,12.41,4.16,0.58,0.0,499.56,296.83,0.67,20.35,24.11,92.24,7.55,6.69,17-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
