from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,SO2,Ozone,CO,to date,station
01-Jan-2019 - 00:00,12.91,994.36,429.16,144.83,74.95,71.28,233.61,0.68,7.56,51.85,55.97,65.89,97.31,114.35,19.42,19.28,2.62,02-Jan-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Jan-2019 - 00:00,14.94,994.75,479.51,221.94,78.59,67.3,150.57,0.7,13.66,69.56,63.57,76.34,157.42,169.0,20.64,21.67,2.47,03-Jan-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Jan-2019 - 00:00,11.83,995.7,527.85,320.09,86.88,71.47,258.56,0.92,7.58,50.85,66.76,55.03,76.28,91.41,15.63,13.63,2.85,04-Jan-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Jan-2019 - 00:00,11.51,994.55,507.59,265.6,89.54,63.83,216.74,0.75,7.91,50.26,51.77,53.25,74.12,88.66,17.34,9.17,2.62,05-Jan-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Jan-2019 - 00:00,14.44,993.05,511.93,273.43,71.94,80.15,103.98,0.94,8.39,64.77,56.16,67.73,89.24,108.82,17.92,16.98,2.92,06-Jan-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Jan-2019 - 00:00,14.52,992.5,269.67,169.4,80.82,70.81,181.51,1.07,4.71,29.34,55.89,52.7,10.91,36.95,17.13,20.63,1.46,07-Jan-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Jan-2019 - 00:00,12.16,994.06,356.65,167.48,89.13,77.7,270.89,0.73,5.05,38.68,53.6,45.67,61.56,74.35,19.58,13.48,2.03,08-Jan-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Jan-2019 - 00:00,12.33,992.24,317.79,169.39,84.79,83.14,270.69,0.91,3.71,18.71,47.92,40.81,31.85,47.6,18.39,17.95,1.43,09-Jan-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Jan-2019 - 00:00,12.55,991.5,316.18,165.56,74.81,88.28,286.39,1.01,3.43,17.81,38.96,42.85,25.76,43.77,20.07,23.53,1.33,10-Jan-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Jan-2019 - 00:00,12.17,991.27,439.43,184.57,78.78,90.61,251.17,0.74,5.77,35.67,38.23,50.37,94.99,104.28,23.48,20.07,2.79,11-Jan-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
