from date,WD,RH,BP,SR,NO,NO2,Ozone,Temp,MH,WS,SO2,Benzene,Toluene,MP-Xylene,to date,station
01-Jan-2019 - 00:00,,,,,32.37,101.29,163.5,,305.79,,15.46,6.11,114.5,5.51,02-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
02-Jan-2019 - 00:00,,,,,35.12,101.49,119.9,,75.68,,19.36,8.66,126.72,8.17,03-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
03-Jan-2019 - 00:00,,,,,30.26,97.57,35.74,,0.0,,12.62,7.94,110.98,5.05,04-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
04-Jan-2019 - 00:00,,,,,28.87,79.98,30.16,,0.0,,8.54,6.88,110.4,4.17,05-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
05-Jan-2019 - 00:00,,,,,28.61,71.56,31.8,,0.0,,16.44,6.11,107.35,2.91,06-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
06-Jan-2019 - 00:00,,,,,26.27,63.07,30.82,,0.0,,7.97,5.29,80.37,2.67,07-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
07-Jan-2019 - 00:00,,,,,27.64,71.68,28.48,,6.88,,12.54,5.2,81.63,3.47,08-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
08-Jan-2019 - 00:00,,,,,25.93,70.64,25.48,,6.88,,9.21,4.0,52.08,3.29,09-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
09-Jan-2019 - 00:00,,,,,26.58,70.52,28.01,,7.71,,8.02,4.2,54.51,3.08,10-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
10-Jan-2019 - 00:00,,,,,29.92,85.27,30.8,,21.04,,8.18,6.98,102.94,5.53,11-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
11-Jan-2019 - 00:00,,,,,29.66,76.7,36.58,,2.92,,22.51,6.32,86.11,2.37,12-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
12-Jan-2019 - 00:00,,,,,,,,,3.12,,,,,,13-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
13-Jan-2019 - 00:00,,,,,,,,,4.38,,,,,,14-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
14-Jan-2019 - 00:00,,,,,25.14,59.92,33.51,,24.58,,6.81,3.31,39.13,2.96,15-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
15-Jan-2019 - 00:00,,,,,28.56,76.78,28.0,,22.92,,8.47,5.25,72.76,3.33,16-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
16-Jan-2019 - 00:00,,,,,31.56,108.22,30.33,,13.12,,18.65,6.69,132.59,5.97,17-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
17-Jan-2019 - 00:00,,,,,24.99,93.07,41.33,,5.62,,15.39,7.6,127.52,5.08,18-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
18-Jan-2019 - 00:00,,,,,29.03,100.98,31.66,,0.0,,11.26,7.2,90.95,5.4,19-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
19-Jan-2019 - 00:00,,,,,36.64,113.99,38.86,,12.5,,16.6,10.19,162.07,6.57,20-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
20-Jan-2019 - 00:00,,,,,44.68,138.88,37.95,,5.83,,22.72,10.84,198.03,9.24,21-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
21-Jan-2019 - 00:00,,,,,26.79,70.88,29.43,,34.32,,12.71,5.01,80.36,3.58,22-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
22-Jan-2019 - 00:00,,,,,23.06,54.56,25.59,,36.07,,5.0,3.1,33.82,3.58,23-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
23-Jan-2019 - 00:00,,,,,32.36,63.82,29.52,,11.96,,11.26,9.94,91.32,6.56,24-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
24-Jan-2019 - 00:00,,,,,25.37,53.22,26.71,,0.0,,23.52,4.95,55.3,2.57,25-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
25-Jan-2019 - 00:00,,,,,23.89,48.46,29.94,,7.27,,7.38,3.68,43.41,2.97,26-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
26-Jan-2019 - 00:00,,,,,22.89,50.97,31.19,,10.62,,11.89,3.65,41.85,2.51,27-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
27-Jan-2019 - 00:00,,,,,23.68,64.6,26.53,,8.33,,8.53,3.99,50.53,2.29,28-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
28-Jan-2019 - 00:00,,,,,24.1,71.98,26.7,,9.38,,8.89,3.73,52.77,2.89,29-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
29-Jan-2019 - 00:00,,,,,26.29,77.72,27.94,,0.0,,10.26,5.23,66.55,3.31,30-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
30-Jan-2019 - 00:00,,,,,29.95,98.77,32.23,,0.0,,21.53,6.2,99.92,4.99,31-Jan-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
31-Jan-2019 - 00:00,,,,,29.28,78.25,31.79,,0.0,,15.86,5.55,94.04,4.0,01-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
01-Feb-2019 - 00:00,,,,,25.28,65.92,27.26,,6.88,,14.11,4.69,61.09,4.22,02-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
02-Feb-2019 - 00:00,,,,,24.31,58.69,22.54,,5.83,,2.77,4.25,45.14,5.11,03-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
03-Feb-2019 - 00:00,,,,,24.1,59.31,23.82,,5.42,,3.1,4.38,45.17,8.72,04-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
04-Feb-2019 - 00:00,,,,,30.19,88.81,33.8,,24.58,,4.99,6.44,85.29,8.33,05-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
05-Feb-2019 - 00:00,,,,,34.58,106.2,35.17,,0.0,,32.1,7.08,138.41,7.44,06-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
06-Feb-2019 - 00:00,,,,,25.45,64.52,27.42,,0.0,,5.35,3.87,47.23,5.06,07-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
07-Feb-2019 - 00:00,,,,,25.32,46.15,26.04,,0.0,,3.03,3.3,22.05,4.78,08-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
08-Feb-2019 - 00:00,,,,,25.96,55.85,25.18,,5.0,,7.73,3.83,36.43,4.12,09-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
09-Feb-2019 - 00:00,,,,,24.12,59.59,26.53,,3.75,,6.49,3.99,38.85,4.84,10-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
10-Feb-2019 - 00:00,,,,,22.44,78.81,25.74,,0.0,,9.29,4.67,52.68,4.31,11-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
11-Feb-2019 - 00:00,,,,,25.35,81.26,32.24,,6.46,,11.99,5.97,70.19,4.35,12-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
12-Feb-2019 - 00:00,,,,,23.6,84.84,38.28,,2.5,,19.33,6.59,76.59,3.8,13-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
13-Feb-2019 - 00:00,,,,,29.27,97.33,33.35,,2.5,,12.12,5.68,75.6,5.52,14-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
14-Feb-2019 - 00:00,,,,,22.35,68.93,25.51,,19.09,,6.86,4.52,49.1,4.96,15-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
15-Feb-2019 - 00:00,,,,,22.8,62.45,23.22,,10.68,,10.16,4.32,51.52,4.77,16-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
16-Feb-2019 - 00:00,,,,,22.09,53.55,18.94,,2.92,,3.87,4.06,35.8,5.66,17-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
17-Feb-2019 - 00:00,,,,,22.69,65.07,26.72,,8.75,,6.04,4.2,41.79,5.47,18-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
18-Feb-2019 - 00:00,,,,,23.71,69.78,26.69,,2.39,,10.74,3.92,44.55,4.42,19-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
19-Feb-2019 - 00:00,,,,,25.34,79.3,29.79,,28.54,,9.59,5.2,66.83,5.44,20-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
20-Feb-2019 - 00:00,,,,,24.14,71.06,19.23,,27.75,,19.89,5.07,58.18,5.06,21-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
21-Feb-2019 - 00:00,,,,,27.03,67.24,23.77,,8.33,,20.18,5.5,69.16,5.49,22-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
22-Feb-2019 - 00:00,,,,,23.8,51.23,24.55,,10.0,,4.47,4.35,35.28,6.32,23-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
23-Feb-2019 - 00:00,,,,,22.31,50.99,29.24,,50.83,,5.94,4.3,28.43,4.95,24-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
24-Feb-2019 - 00:00,,,,,22.65,62.78,32.75,,30.0,,8.39,4.62,32.53,4.32,25-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
25-Feb-2019 - 00:00,,,,,25.45,73.89,30.16,,10.53,,21.09,4.64,40.56,4.45,26-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
26-Feb-2019 - 00:00,,,,,22.7,62.26,23.02,,0.0,,15.26,5.22,39.67,4.67,27-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
27-Feb-2019 - 00:00,,,,,19.81,44.91,31.7,,5.42,,12.69,5.39,35.93,4.44,28-Feb-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
28-Feb-2019 - 00:00,,,,,22.93,58.42,29.6,,20.83,,10.18,4.83,47.86,4.88,01-Mar-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
01-Mar-2019 - 00:00,207.31,32.2,986.98,541.67,21.81,62.98,31.74,21.78,23.12,4.21,10.18,5.17,46.48,4.42,02-Mar-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
02-Mar-2019 - 00:00,,,,,22.71,83.22,19.77,,8.68,,15.79,5.21,59.77,4.59,03-Mar-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
03-Mar-2019 - 00:00,,,,,23.43,56.46,23.31,,12.0,,8.84,4.91,41.19,4.22,04-Mar-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
04-Mar-2019 - 00:00,,,,,25.67,55.59,27.83,,5.87,,9.79,5.81,47.43,4.25,05-Mar-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
05-Mar-2019 - 00:00,,,,,20.63,60.04,27.34,,18.33,,6.32,4.66,35.34,5.75,06-Mar-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
06-Mar-2019 - 00:00,,,,,20.67,63.71,28.2,,0.0,,6.26,5.26,44.72,5.31,07-Mar-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
07-Mar-2019 - 00:00,,,,,23.53,70.2,34.05,,0.0,,9.22,6.34,52.92,5.71,08-Mar-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
08-Mar-2019 - 00:00,,,,,20.32,64.59,34.18,,4.35,,11.5,5.18,43.13,4.81,09-Mar-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
09-Mar-2019 - 00:00,,,,,18.37,44.58,35.48,,11.46,,8.01,6.15,25.37,6.7,10-Mar-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
10-Mar-2019 - 00:00,,,,,17.38,37.85,44.43,,0.0,,2.92,10.03,17.74,9.92,11-Mar-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
11-Mar-2019 - 00:00,,,,,18.71,78.46,39.69,,0.0,,3.79,8.39,26.45,8.65,12-Mar-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
12-Mar-2019 - 00:00,,,,,19.81,39.83,34.67,,3.54,,7.18,4.13,26.51,4.83,13-Mar-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
13-Mar-2019 - 00:00,,,,,21.25,67.35,34.08,,18.12,,17.23,6.04,54.41,4.14,14-Mar-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
14-Mar-2019 - 00:00,,,,,22.97,54.39,27.35,,11.46,,15.36,5.83,52.5,3.79,15-Mar-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
15-Mar-2019 - 00:00,,,,,21.23,56.51,28.86,,21.36,,10.02,5.08,43.73,5.05,16-Mar-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
