from date,NO2,NOx,NO,NH3,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,SR,RF,SO2,CO,Ozone,PM2.5,PM10,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
07-Jan-2019 - 00:00,4.11,21.22,17.43,0.0,8.84,19.0,7.15,22.17,10.4,296.5,0.86,0.0,0.0,20.57,1.28,10.23,84.12,151.56,08-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
09-Jan-2019 - 00:00,1.25,7.43,6.2,0.0,7.44,18.77,3.97,6.55,4.06,262.36,1.86,249.99,0.0,21.03,0.88,6.8,70.93,269.32,10-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
10-Jan-2019 - 00:00,2.57,14.38,11.81,,12.77,19.0,8.2,22.85,14.28,166.27,1.22,191.68,0.0,21.01,0.64,1.55,132.78,233.5,11-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
11-Jan-2019 - 00:00,2.47,14.05,11.58,,10.54,18.8,7.14,20.47,13.09,87.61,1.15,284.4,0.0,20.94,0.56,2.0,124.77,200.74,12-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
12-Jan-2019 - 00:00,1.88,10.96,9.08,,9.48,19.0,6.98,20.79,13.58,133.79,1.54,216.71,0.0,20.95,0.58,1.71,154.04,225.16,13-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
13-Jan-2019 - 00:00,2.55,14.46,11.9,,6.77,19.0,5.77,17.73,11.43,236.89,1.96,282.07,0.0,20.87,0.44,1.54,81.64,152.04,14-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
14-Jan-2019 - 00:00,1.27,7.43,6.25,,6.11,18.75,3.09,8.52,5.39,282.59,1.88,464.46,0.0,23.58,0.36,21.41,68.56,165.02,15-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
15-Jan-2019 - 00:00,2.18,18.61,16.44,,9.96,19.0,4.52,12.62,7.95,259.18,1.49,259.3,0.0,15.68,0.56,16.6,112.92,235.52,16-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
16-Jan-2019 - 00:00,2.23,17.36,15.72,,10.39,18.79,4.56,9.6,5.98,107.32,1.41,594.49,0.0,0.54,1.05,19.98,123.15,205.38,17-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
17-Jan-2019 - 00:00,1.72,15.23,13.82,,10.59,18.32,4.19,10.09,6.61,197.94,1.23,701.07,0.0,49.24,1.9,17.37,212.59,309.98,18-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
18-Jan-2019 - 00:00,6.92,26.02,19.3,,11.55,15.57,4.33,10.5,6.36,131.14,0.84,348.71,0.0,26.04,1.57,24.93,156.92,250.42,19-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
19-Jan-2019 - 00:00,9.55,60.24,51.32,,11.65,12.85,5.58,13.83,8.0,106.86,0.65,352.53,0.0,16.96,1.44,14.62,143.02,177.15,20-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
20-Jan-2019 - 00:00,48.74,143.92,158.43,,11.65,7.37,8.09,23.24,12.87,108.7,1.43,92.86,0.0,14.8,1.18,15.66,142.9,202.51,21-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
21-Jan-2019 - 00:00,37.41,250.65,234.5,,9.36,15.81,9.3,26.52,14.81,127.71,2.11,95.32,0.0,14.82,1.09,13.29,100.53,132.54,22-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
22-Jan-2019 - 00:00,51.5,324.76,274.08,,8.22,,8.56,29.6,16.68,175.04,1.18,102.65,0.0,10.62,0.89,20.13,35.38,74.25,23-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
23-Jan-2019 - 00:00,33.59,114.38,80.79,,5.89,104.9,5.13,15.46,8.54,157.96,1.27,147.49,0.0,5.03,0.87,22.67,53.2,91.38,24-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
24-Jan-2019 - 00:00,22.0,37.18,15.18,,5.93,,3.06,9.02,5.04,201.99,1.54,137.92,0.0,11.78,0.92,24.64,62.02,114.31,25-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
25-Jan-2019 - 00:00,28.84,59.12,30.29,,9.82,,6.9,20.75,11.6,277.41,1.12,222.31,0.0,18.56,1.17,20.52,93.7,166.84,26-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
26-Jan-2019 - 00:00,24.59,50.71,26.12,,10.32,,8.5,25.31,14.15,303.27,1.38,194.44,0.0,18.93,1.21,25.56,100.37,172.94,27-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
27-Jan-2019 - 00:00,24.34,48.58,24.24,,9.59,,8.34,24.96,13.56,303.85,1.63,224.78,0.0,18.66,1.11,28.22,91.92,166.25,28-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
28-Jan-2019 - 00:00,20.27,32.01,11.74,,7.26,45.35,4.11,12.15,6.65,300.52,1.78,140.04,0.0,13.38,0.94,36.85,91.37,172.82,29-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
29-Jan-2019 - 00:00,20.01,28.07,8.07,,8.6,42.23,3.42,9.51,5.01,288.7,1.48,221.63,0.0,10.62,1.0,29.48,84.21,192.4,30-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
30-Jan-2019 - 00:00,34.02,44.72,10.72,,11.64,448.54,4.2,10.28,5.3,183.83,1.08,232.87,0.0,17.47,1.01,25.22,118.3,221.58,31-Jan-2019 - 00:00,"F-Block, Sirsa - HSPCB"
31-Jan-2019 - 00:00,44.44,68.47,24.03,,9.33,493.58,4.78,13.13,7.49,97.15,1.89,61.23,0.0,30.61,0.87,7.27,144.26,192.2,01-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
01-Feb-2019 - 00:00,43.63,118.59,74.96,,9.45,499.0,6.71,19.63,10.8,270.48,1.8,77.72,0.0,31.66,0.84,5.04,109.04,139.45,02-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
02-Feb-2019 - 00:00,44.69,135.83,91.14,,11.46,499.0,8.14,23.54,12.58,244.94,1.1,145.62,0.0,31.91,1.06,4.68,101.56,137.17,03-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
03-Feb-2019 - 00:00,47.27,143.73,96.47,,16.25,499.0,8.43,26.58,14.09,236.81,1.18,237.29,0.0,32.15,1.25,6.86,98.35,138.91,04-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
04-Feb-2019 - 00:00,55.66,157.24,101.68,,16.25,480.41,9.87,20.88,11.48,186.41,1.04,262.95,0.0,35.33,1.54,9.15,132.31,205.25,05-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
