from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
