from date,NO2,NH3,NOx,NO,CO,Ozone,SO2,Benzene,PM10,PM2.5,WD,WS,AT,to date,station
01-Jan-2019 - 00:00,22.92,60.28,43.59,21.68,2.81,8.11,14.33,14.78,188.8,120.58,118.88,0.48,14.44,02-Jan-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
02-Jan-2019 - 00:00,24.63,48.35,44.69,20.28,2.93,7.97,16.27,15.37,212.2,137.97,128.03,0.51,15.22,03-Jan-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
03-Jan-2019 - 00:00,28.64,50.62,42.16,18.2,2.99,9.2,15.79,16.5,214.4,145.35,126.01,0.5,15.96,04-Jan-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
04-Jan-2019 - 00:00,25.47,52.46,44.42,25.0,2.84,7.14,15.06,12.45,197.18,111.4,117.2,0.55,15.62,05-Jan-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
05-Jan-2019 - 00:00,29.18,65.14,47.66,23.5,2.91,6.62,15.71,12.06,184.15,112.43,112.1,0.51,15.7,06-Jan-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
06-Jan-2019 - 00:00,28.64,85.72,43.2,19.82,2.99,7.24,16.04,13.62,168.63,111.75,117.52,0.49,16.04,07-Jan-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
07-Jan-2019 - 00:00,28.05,59.97,39.12,16.98,3.03,7.37,15.32,10.46,175.18,115.65,117.67,0.5,16.46,08-Jan-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
08-Jan-2019 - 00:00,23.65,44.73,34.5,14.43,3.01,8.15,15.05,10.2,170.56,121.1,165.21,0.39,16.67,09-Jan-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
09-Jan-2019 - 00:00,24.49,41.56,32.61,13.41,3.04,7.08,14.86,12.93,163.3,113.87,108.91,0.51,15.56,10-Jan-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
10-Jan-2019 - 00:00,25.18,53.43,39.22,19.68,2.9,7.36,14.84,3.99,173.73,110.27,124.48,0.48,15.68,11-Jan-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
11-Jan-2019 - 00:00,27.12,48.59,43.39,20.15,3.01,7.78,15.69,0.1,203.3,131.17,125.02,0.49,15.77,12-Jan-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
12-Jan-2019 - 00:00,32.47,43.65,49.27,22.05,3.19,8.06,17.82,0.0,225.19,146.8,122.19,0.47,16.69,13-Jan-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
13-Jan-2019 - 00:00,27.63,51.75,43.07,19.2,3.19,9.41,17.62,0.0,224.92,157.0,141.67,0.46,17.65,14-Jan-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
14-Jan-2019 - 00:00,26.54,35.39,39.71,19.17,3.32,7.88,16.53,0.0,227.09,156.39,133.21,0.42,18.56,15-Jan-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
15-Jan-2019 - 00:00,27.34,39.21,37.99,16.07,2.96,8.74,15.81,0.0,161.06,98.89,158.94,0.48,17.06,16-Jan-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
16-Jan-2019 - 00:00,30.37,38.36,45.7,22.07,2.99,8.73,18.05,0.0,168.1,98.02,122.52,0.57,15.38,17-Jan-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
17-Jan-2019 - 00:00,29.08,44.3,47.57,21.79,3.16,9.99,17.89,0.0,225.01,134.14,144.72,0.49,15.87,18-Jan-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
