from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
09-Jan-2019 - 00:00,34.38,53.75,19.36,25.02,9.88,0.53,6.25,48.33,93.76,2.69,29.04,1.0,1.0,0.31,63.67,1.16,284.75,750.0,0.0,10-Jan-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
10-Jan-2019 - 00:00,39.44,81.77,42.29,24.94,8.57,0.96,14.22,66.28,117.35,3.69,32.72,1.0,0.71,0.15,60.66,0.96,230.09,749.65,0.0,11-Jan-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
11-Jan-2019 - 00:00,44.39,99.0,54.59,17.35,8.38,1.53,40.43,128.13,210.09,2.0,2.72,,0.05,0.01,72.41,0.62,179.39,750.0,0.0,12-Jan-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
12-Jan-2019 - 00:00,59.05,183.43,124.38,5.5,8.98,1.65,18.97,147.38,233.44,,,,0.0,0.0,77.73,0.48,175.56,750.0,0.0,13-Jan-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
13-Jan-2019 - 00:00,65.44,207.15,141.71,2.03,10.89,1.68,20.06,158.85,224.84,,,,0.0,0.0,74.35,0.52,250.34,750.0,0.0,14-Jan-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
