from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,WS,WD,RH,SR,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
03-Jan-2019 - 00:00,109.22,163.42,37.58,21.18,1.95,0.04,73.92,0.92,32.67,7.6,0.0,10.45,14.85,,2.58,261.5,77.47,117.31,0.0,04-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
04-Jan-2019 - 00:00,228.6,355.43,67.31,73.76,48.14,0.07,73.64,2.48,5.06,20.56,0.0,16.85,21.17,29.11,1.2,205.06,90.21,108.52,0.0,05-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
05-Jan-2019 - 00:00,179.03,281.56,67.76,65.41,37.44,0.34,73.47,1.66,17.53,16.23,0.0,20.7,25.47,22.39,,,82.13,188.26,0.0,06-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
06-Jan-2019 - 00:00,149.54,259.09,69.43,77.88,52.05,0.34,75.09,1.53,15.8,12.0,0.0,19.46,25.47,21.9,,,75.5,137.34,0.0,07-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
07-Jan-2019 - 00:00,116.17,187.63,53.01,48.03,25.38,0.05,75.58,0.98,17.89,10.34,0.0,18.29,23.26,17.08,,,72.65,282.25,0.0,08-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
08-Jan-2019 - 00:00,105.9,168.65,42.65,27.37,6.35,0.0,76.19,0.9,19.85,7.13,0.0,9.78,15.55,11.07,2.18,258.62,82.08,202.78,0.0,09-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
09-Jan-2019 - 00:00,102.23,169.78,38.43,22.41,2.91,0.0,40.75,0.83,11.0,6.6,0.0,7.4,12.34,8.83,2.53,262.43,73.73,283.39,0.0,10-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
10-Jan-2019 - 00:00,119.16,199.14,57.38,50.46,25.58,0.09,2.07,1.18,35.36,8.76,0.0,10.46,15.61,13.29,1.31,244.99,79.15,215.33,0.0,11-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
11-Jan-2019 - 00:00,192.29,311.01,73.63,70.65,40.18,0.24,22.31,1.82,24.32,16.95,0.0,18.18,21.24,21.0,0.84,166.97,76.03,227.86,0.0,12-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
12-Jan-2019 - 00:00,159.1,279.55,72.53,79.27,51.63,0.17,14.33,1.68,23.59,15.24,0.0,19.73,21.66,21.1,0.93,151.98,67.13,238.69,0.0,13-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
13-Jan-2019 - 00:00,116.02,185.19,43.65,35.48,15.84,0.06,11.1,1.02,31.24,9.24,0.0,13.53,18.28,15.05,1.81,210.99,69.82,260.21,0.0,14-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
14-Jan-2019 - 00:00,56.28,107.04,29.03,17.3,2.66,0.0,13.83,0.51,32.47,3.88,0.0,5.72,10.13,6.62,2.87,268.82,68.82,320.18,0.0,15-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
15-Jan-2019 - 00:00,96.36,166.26,46.63,38.19,16.85,0.16,11.84,0.9,21.16,6.94,0.0,6.41,9.78,7.71,2.03,257.71,76.44,227.15,0.0,16-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
16-Jan-2019 - 00:00,162.28,306.68,80.2,95.1,65.08,0.16,14.16,1.86,20.95,14.28,0.0,17.59,21.12,22.15,1.22,118.69,75.39,248.75,0.0,17-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
17-Jan-2019 - 00:00,170.13,288.81,55.6,72.63,61.22,0.02,21.08,1.64,34.05,13.29,0.0,16.35,17.15,17.95,1.3,229.78,74.43,256.62,0.0,18-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
18-Jan-2019 - 00:00,127.74,219.15,42.63,28.88,9.25,0.01,16.17,1.08,36.67,8.75,0.0,9.76,13.35,10.52,1.75,261.96,74.04,284.54,0.0,19-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
19-Jan-2019 - 00:00,96.32,162.03,53.0,35.0,10.11,0.0,28.12,0.86,11.39,7.66,0.0,9.21,14.04,10.47,1.08,265.83,83.19,133.26,0.0,20-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
21-Jan-2019 - 00:00,126.8,265.92,28.85,22.47,10.9,0.0,24.23,0.78,74.34,6.92,0.0,7.47,7.94,8.84,3.43,110.84,65.15,164.61,0.0,22-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
22-Jan-2019 - 00:00,20.5,48.65,36.86,29.69,15.82,0.15,4.49,0.55,39.94,3.55,0.0,3.18,3.59,4.03,2.14,100.87,88.16,38.63,0.12,23-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
23-Jan-2019 - 00:00,47.91,90.6,32.24,31.87,19.85,0.0,10.22,0.66,38.47,5.36,,8.11,7.75,8.33,1.13,265.3,72.06,341.72,0.0,24-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
24-Jan-2019 - 00:00,73.24,156.17,32.09,46.7,38.5,8.82,17.47,0.78,40.45,6.75,,7.85,7.43,8.7,1.81,217.25,73.92,329.29,0.01,25-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
25-Jan-2019 - 00:00,48.86,79.79,30.3,33.96,23.63,15.86,12.06,0.58,49.85,4.42,,5.53,6.53,6.58,1.87,212.45,75.26,242.6,0.0,26-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
26-Jan-2019 - 00:00,59.63,106.69,28.43,26.71,15.81,18.19,21.51,0.57,44.86,5.81,,6.26,7.15,6.59,1.86,265.51,76.36,337.26,0.0,27-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
27-Jan-2019 - 00:00,54.24,99.59,22.68,13.88,3.54,18.45,14.31,0.54,48.58,4.68,,4.08,5.06,4.52,2.07,266.81,78.27,289.1,0.0,28-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
28-Jan-2019 - 00:00,52.73,99.21,23.76,14.16,3.18,17.02,15.94,0.52,55.11,4.16,,3.57,4.6,4.17,2.46,265.63,73.15,352.89,0.0,29-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
29-Jan-2019 - 00:00,79.74,143.93,34.58,21.08,4.77,18.18,17.2,0.72,52.74,6.04,,5.39,6.95,6.44,1.82,245.24,71.62,330.61,0.0,30-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
30-Jan-2019 - 00:00,95.67,195.23,54.04,48.86,26.86,19.48,16.59,1.09,12.5,8.36,,9.18,10.02,11.84,1.32,233.37,77.23,207.84,0.0,31-Jan-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
31-Jan-2019 - 00:00,126.71,242.08,55.59,51.0,28.58,19.3,11.99,1.46,26.88,13.74,,9.6,9.45,12.1,1.8,101.31,68.6,170.4,0.0,01-Feb-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
01-Feb-2019 - 00:00,77.2,153.19,40.28,29.58,11.77,16.27,11.99,0.81,52.55,6.64,,6.39,7.2,8.04,1.61,170.46,66.49,219.04,0.0,02-Feb-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
02-Feb-2019 - 00:00,63.12,105.84,20.78,13.1,3.79,18.1,7.78,0.7,34.78,5.95,,4.7,6.32,5.84,2.24,257.35,90.21,268.6,0.0,03-Feb-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
03-Feb-2019 - 00:00,68.1,122.94,32.77,46.48,38.21,13.84,4.92,1.07,26.85,7.58,,7.05,7.43,8.98,1.43,219.76,95.37,154.33,0.0,04-Feb-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
04-Feb-2019 - 00:00,105.79,170.97,46.01,61.52,48.26,17.87,6.7,1.84,33.32,13.25,,10.18,9.49,12.1,1.17,204.69,93.03,298.12,0.0,05-Feb-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
05-Feb-2019 - 00:00,144.38,286.33,70.48,76.23,50.28,17.09,17.49,2.19,41.05,17.11,,14.25,14.07,18.05,0.88,151.0,79.73,341.01,0.0,06-Feb-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
06-Feb-2019 - 00:00,104.58,205.44,51.14,46.75,26.46,17.46,13.87,1.17,40.85,9.98,,11.07,10.72,14.18,1.83,95.56,70.4,240.51,0.0,07-Feb-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
07-Feb-2019 - 00:00,51.37,107.22,18.81,14.17,6.83,11.79,11.3,0.57,49.29,3.88,0.0,4.54,5.76,5.8,3.7,108.07,78.0,126.04,0.02,08-Feb-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
08-Feb-2019 - 00:00,38.99,102.38,21.61,8.81,6.92,10.13,14.72,0.38,62.98,2.58,20.83,2.82,3.67,3.27,2.96,268.57,75.2,350.33,0.0,09-Feb-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
