from date,PM2.5,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,SR,WD,WS,RH,to date,station
01-Jan-2019 - 00:00,91.51,203.47,2.87,22.67,20.89,43.95,6.64,0.15,9.84,7.56,2.78,6.73,14.53,237.46,187.01,1.2,78.47,02-Jan-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
02-Jan-2019 - 00:00,73.8,172.14,3.4,40.52,21.31,57.28,9.92,0.05,5.86,5.6,2.85,10.18,13.57,196.1,239.14,1.33,88.65,03-Jan-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
03-Jan-2019 - 00:00,43.51,96.62,3.53,30.84,27.52,58.36,9.06,0.01,5.8,6.5,2.36,7.97,12.96,230.22,280.33,1.21,69.16,04-Jan-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
04-Jan-2019 - 00:00,35.18,78.11,3.49,29.93,32.32,62.24,9.36,0.0,5.15,6.88,1.76,8.5,13.87,237.65,256.09,1.23,71.57,05-Jan-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
05-Jan-2019 - 00:00,26.47,58.77,2.25,26.49,29.04,55.53,8.3,0.0,5.01,7.58,1.52,6.76,12.88,207.94,131.21,1.88,86.39,06-Jan-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
06-Jan-2019 - 00:00,14.89,33.12,1.61,28.09,31.57,59.66,8.99,0.0,5.45,7.8,0.76,6.19,12.8,212.44,187.42,1.35,87.15,07-Jan-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
07-Jan-2019 - 00:00,24.12,55.99,1.86,25.15,27.76,47.15,8.05,0.0,5.08,6.85,1.13,5.75,11.92,170.88,302.23,1.36,86.94,08-Jan-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
08-Jan-2019 - 00:00,28.27,62.81,2.93,23.01,26.18,47.79,7.46,0.02,9.0,6.43,1.24,5.34,14.29,244.87,301.48,1.29,68.15,09-Jan-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
09-Jan-2019 - 00:00,34.08,91.01,3.16,16.33,21.45,32.16,5.65,0.04,9.03,5.08,1.24,4.44,15.15,287.71,265.32,1.19,61.46,10-Jan-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
10-Jan-2019 - 00:00,45.89,102.0,2.84,19.49,25.11,44.0,6.48,0.03,8.68,6.05,1.76,6.05,14.7,259.49,273.87,1.16,60.1,11-Jan-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
