from date,NO,NO2,NOx,CO,SO2,PM10,PM2.5,Temp,WS,WD,RH,SR,BP,RF,to date,station
01-Jan-2019 - 00:00,12.46,17.97,30.4,0.6,9.06,140.65,53.58,15.88,1.51,169.18,60.46,599.13,983.19,,02-Jan-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-Jan-2019 - 00:00,10.97,21.12,32.09,0.46,9.1,122.0,46.05,15.48,1.53,222.29,60.0,478.5,982.65,,03-Jan-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-Jan-2019 - 00:00,10.69,21.14,31.14,0.61,8.0,111.89,47.14,15.31,1.54,291.78,61.93,458.83,982.62,,04-Jan-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-Jan-2019 - 00:00,14.46,15.93,29.35,0.56,9.14,114.95,44.26,15.2,1.62,158.08,62.82,417.43,982.98,,05-Jan-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-Jan-2019 - 00:00,12.06,18.08,29.49,0.42,8.46,138.85,55.66,15.08,1.43,96.77,62.57,419.78,982.68,,06-Jan-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-Jan-2019 - 00:00,11.83,19.34,28.97,0.52,8.71,52.0,36.34,15.38,1.53,273.15,62.86,529.63,982.87,,07-Jan-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-Jan-2019 - 00:00,11.66,19.81,31.48,0.65,9.11,59.65,41.1,15.44,1.62,299.42,63.2,571.17,983.26,,08-Jan-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-Jan-2019 - 00:00,9.94,22.89,32.81,0.68,9.29,96.43,38.13,15.95,1.58,284.27,63.45,625.05,983.21,,09-Jan-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-Jan-2019 - 00:00,9.83,22.1,31.62,0.6,8.63,116.76,38.41,16.71,1.63,269.13,64.21,645.04,983.29,,10-Jan-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-Jan-2019 - 00:00,11.06,20.72,30.81,0.69,11.49,113.85,39.86,17.11,1.64,206.5,63.53,654.99,983.25,,11-Jan-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
11-Jan-2019 - 00:00,11.39,19.9,30.33,0.73,9.33,132.83,39.2,16.57,1.43,132.5,58.97,659.93,983.05,,12-Jan-2019 - 00:00,"Hardev Nagar, Bathinda - PPCB"
