from date,NO2,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WS,WD,RH,to date,station
01-Jan-2019 - 00:00,47.17,10.24,28.38,0.9,14.45,62.96,103.79,0.52,25.75,1.5,92.28,54.27,02-Jan-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-Jan-2019 - 00:00,48.69,10.7,29.09,1.2,12.17,51.4,90.68,0.6,25.61,1.88,91.46,58.24,03-Jan-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-Jan-2019 - 00:00,53.62,11.8,8.35,1.28,8.48,54.89,100.93,0.65,25.64,1.47,89.12,53.57,04-Jan-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-Jan-2019 - 00:00,56.97,12.31,8.31,1.14,7.38,53.31,96.83,0.63,24.69,1.61,90.07,51.25,05-Jan-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-Jan-2019 - 00:00,56.14,12.92,8.69,1.25,14.09,54.5,99.91,0.64,25.22,1.43,88.67,56.29,06-Jan-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-Jan-2019 - 00:00,41.88,15.06,8.12,0.86,26.4,62.94,100.74,0.51,25.72,1.48,92.18,62.54,07-Jan-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-Jan-2019 - 00:00,51.49,13.44,8.65,1.42,21.29,60.89,110.32,0.64,25.59,1.44,92.44,60.93,08-Jan-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-Jan-2019 - 00:00,52.56,12.0,8.27,1.19,23.97,56.02,105.69,0.57,25.74,1.31,86.04,49.17,09-Jan-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-Jan-2019 - 00:00,62.89,12.19,8.9,1.2,20.42,61.84,114.22,0.7,25.72,1.39,88.63,46.2,10-Jan-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-Jan-2019 - 00:00,62.27,15.26,8.55,1.24,21.61,73.52,130.56,0.75,25.35,1.46,92.57,53.82,11-Jan-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-Jan-2019 - 00:00,52.89,14.16,8.59,1.06,21.9,63.21,117.62,0.58,24.03,1.47,94.06,56.54,12-Jan-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-Jan-2019 - 00:00,54.03,16.33,8.54,0.87,34.7,76.02,128.19,0.58,23.35,1.54,89.32,58.94,13-Jan-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-Jan-2019 - 00:00,44.9,13.49,8.49,0.73,51.0,57.35,105.32,0.55,23.35,1.43,92.52,55.33,14-Jan-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-Jan-2019 - 00:00,52.38,15.37,8.46,0.89,36.53,78.94,133.26,0.77,23.44,1.51,90.88,57.52,15-Jan-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-Jan-2019 - 00:00,49.93,9.69,8.26,0.63,43.35,47.67,87.33,0.48,22.92,1.58,89.07,39.54,16-Jan-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-Jan-2019 - 00:00,57.46,14.42,6.86,0.83,51.72,68.41,112.88,0.55,24.63,1.7,93.52,50.33,17-Jan-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
