from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,RH,BP,Toluene,WD,to date,station
01-Jan-2019 - 00:00,15.89,8.31,9.27,1.61,2.62,0.58,90.77,57.88,97.12,0.22,22.61,61.56,719.84,1.27,153.51,02-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
02-Jan-2019 - 00:00,39.21,7.41,24.06,4.55,4.09,1.58,53.74,29.67,77.79,0.44,22.47,44.12,719.76,3.88,140.72,03-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
03-Jan-2019 - 00:00,31.24,7.94,20.17,4.98,2.65,0.63,55.51,43.56,87.73,0.72,22.34,57.94,720.46,6.44,143.5,04-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
04-Jan-2019 - 00:00,29.34,8.94,18.48,4.12,2.41,0.65,54.72,53.77,99.64,0.72,21.87,61.95,720.11,6.91,147.5,05-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
11-Jan-2019 - 00:00,17.72,7.79,10.36,1.77,6.36,0.45,140.54,38.88,90.75,0.25,19.74,30.12,716.06,3.36,198.12,12-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
14-Jan-2019 - 00:00,36.78,8.34,24.48,6.66,6.85,0.88,75.63,49.02,106.62,0.33,22.36,45.0,716.24,2.96,158.58,15-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
15-Jan-2019 - 00:00,27.65,6.87,15.88,2.06,7.09,0.55,68.52,41.93,83.91,0.27,22.23,44.43,717.29,2.56,146.53,16-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
16-Jan-2019 - 00:00,31.83,8.43,20.14,4.55,5.14,0.8,78.63,62.56,115.5,0.28,22.14,53.76,717.33,2.55,135.03,17-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
17-Jan-2019 - 00:00,29.38,8.68,21.66,8.2,5.6,0.86,69.17,58.36,111.41,0.31,22.54,58.05,716.15,2.7,151.71,18-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
18-Jan-2019 - 00:00,24.31,8.59,14.62,2.69,4.18,0.75,63.85,68.77,120.55,0.27,22.71,62.25,716.12,2.24,149.89,19-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
19-Jan-2019 - 00:00,29.92,7.12,18.57,3.89,2.82,0.7,57.99,53.24,104.67,0.27,22.56,54.85,717.06,2.16,155.22,20-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
20-Jan-2019 - 00:00,22.93,7.08,13.21,1.87,4.06,0.54,73.38,41.22,82.71,0.2,22.34,50.23,718.23,1.58,130.2,21-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
21-Jan-2019 - 00:00,30.31,7.84,18.28,3.28,5.21,0.61,64.55,50.66,103.59,0.26,22.51,56.66,716.99,1.96,103.68,22-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
22-Jan-2019 - 00:00,31.58,8.61,21.88,6.89,2.59,0.87,87.21,70.54,134.08,0.35,22.71,58.97,716.82,3.08,107.57,23-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
23-Jan-2019 - 00:00,33.46,9.9,23.21,7.27,3.33,0.84,64.85,58.41,123.74,0.36,22.75,61.57,716.49,2.73,116.57,24-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
24-Jan-2019 - 00:00,25.92,10.42,15.35,2.55,2.17,0.96,68.8,51.02,113.78,0.28,23.03,63.44,716.94,2.3,95.22,25-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
25-Jan-2019 - 00:00,24.12,10.08,14.72,2.94,2.47,0.72,58.26,38.81,92.53,0.26,23.0,60.02,716.44,2.66,82.93,26-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
26-Jan-2019 - 00:00,21.83,10.25,12.84,2.12,2.82,0.88,53.9,54.73,105.52,0.28,23.06,66.71,716.42,2.54,100.5,27-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
27-Jan-2019 - 00:00,17.75,9.75,10.16,1.5,3.08,0.7,55.43,41.91,84.76,0.21,23.35,68.47,716.71,1.74,80.06,28-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
28-Jan-2019 - 00:00,15.59,8.66,8.95,1.43,1.85,0.59,60.3,31.86,70.26,0.19,23.26,69.89,717.12,1.55,151.9,29-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
29-Jan-2019 - 00:00,20.32,8.13,12.05,2.14,2.66,0.62,60.96,28.69,57.21,0.19,23.12,68.9,717.85,1.21,151.9,30-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
30-Jan-2019 - 00:00,27.13,8.05,19.41,6.76,3.01,0.85,67.34,52.84,97.58,0.29,23.02,62.29,718.0,1.69,126.58,31-Jan-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
31-Jan-2019 - 00:00,23.38,7.76,14.03,2.57,3.59,0.68,71.62,49.05,91.5,0.23,23.13,62.85,717.41,1.33,112.65,01-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
01-Feb-2019 - 00:00,31.33,7.34,20.5,5.34,3.08,0.77,68.22,55.59,107.14,0.28,22.85,60.67,717.14,1.71,117.83,02-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
02-Feb-2019 - 00:00,24.64,7.52,14.38,2.18,3.28,0.63,71.31,44.7,96.46,0.24,22.9,60.2,716.2,1.55,137.14,03-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
03-Feb-2019 - 00:00,19.51,7.91,11.06,1.46,3.08,0.59,70.95,39.64,80.03,0.22,22.8,60.46,717.36,1.08,120.09,04-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
04-Feb-2019 - 00:00,22.46,8.49,13.98,3.12,3.27,0.63,53.44,30.83,69.94,0.19,24.91,60.97,719.16,1.2,123.47,05-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
05-Feb-2019 - 00:00,21.12,8.3,12.46,2.12,1.35,0.64,72.6,37.65,78.17,0.18,23.05,62.1,718.72,1.08,107.22,06-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
06-Feb-2019 - 00:00,27.54,7.42,15.86,2.11,4.89,0.68,93.24,49.44,108.1,0.22,22.92,51.43,716.56,1.48,103.79,07-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
07-Feb-2019 - 00:00,30.94,8.05,18.74,3.43,2.43,0.81,82.85,49.29,117.14,0.29,24.09,52.92,716.34,2.24,97.36,08-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
08-Feb-2019 - 00:00,23.6,8.92,13.41,1.71,2.62,0.64,73.94,51.31,107.14,0.28,22.88,57.23,716.58,2.64,115.18,09-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
09-Feb-2019 - 00:00,36.91,10.38,24.67,6.81,3.24,2.83,67.94,69.35,131.05,0.34,23.32,69.25,716.68,2.74,126.7,10-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
10-Feb-2019 - 00:00,24.11,12.31,14.43,2.6,2.29,0.73,41.77,46.24,87.16,0.22,23.63,69.24,717.82,1.75,112.64,11-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
11-Feb-2019 - 00:00,21.98,10.44,14.19,3.69,2.32,0.66,40.43,40.27,77.57,0.16,23.52,67.3,718.65,1.14,119.92,12-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
12-Feb-2019 - 00:00,23.45,8.26,13.88,2.36,2.65,0.62,58.47,46.76,90.23,0.17,23.21,63.33,719.46,1.08,127.85,13-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
13-Feb-2019 - 00:00,25.93,7.83,15.5,2.7,2.24,0.66,60.34,45.4,92.79,0.19,22.92,60.12,719.98,1.2,131.15,14-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
14-Feb-2019 - 00:00,26.64,7.89,17.36,4.54,2.51,0.71,48.6,33.69,84.94,0.23,22.7,55.96,717.53,1.53,95.06,15-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
15-Feb-2019 - 00:00,23.83,9.01,14.74,3.16,2.76,0.67,65.04,29.91,77.72,0.21,23.27,61.12,717.38,2.1,111.96,16-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
16-Feb-2019 - 00:00,28.93,9.3,22.54,9.4,2.78,0.92,58.7,38.31,85.31,0.31,23.13,57.2,717.0,2.7,139.42,17-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
17-Feb-2019 - 00:00,21.63,8.36,12.58,1.93,2.52,0.66,62.7,37.78,81.26,0.23,22.81,51.92,716.02,1.76,177.61,18-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
