from date,NOx,NO2,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,PM2.5,PM10,RH,WD,WS,SR,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
09-Jan-2019 - 00:00,9.04,3.08,5.96,4.94,21.54,0.55,4.49,6.43,10.0,5.43,3.71,10.09,69.94,172.81,56.08,16.49,2.44,328.36,0.0,10-Jan-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
10-Jan-2019 - 00:00,9.41,3.1,6.31,4.89,25.65,0.74,3.55,9.04,9.83,5.49,3.45,9.14,115.15,209.55,61.87,10.8,1.54,308.58,0.0,11-Jan-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
11-Jan-2019 - 00:00,9.41,3.1,6.31,4.89,24.11,0.66,3.4,6.09,9.51,5.46,2.95,7.16,112.99,179.8,69.25,11.27,1.61,244.52,0.0,12-Jan-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
12-Jan-2019 - 00:00,9.55,3.1,6.45,4.87,23.94,0.81,3.47,8.38,9.81,6.0,3.1,8.07,206.62,287.56,79.91,14.17,2.09,228.25,0.01,13-Jan-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
13-Jan-2019 - 00:00,10.32,3.07,7.24,4.81,22.87,0.56,2.88,4.92,9.87,5.16,2.37,6.59,67.19,142.03,78.05,16.66,2.47,210.73,0.0,14-Jan-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
