from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
01-Jan-2019 - 00:00,366.37,216.33,95.96,81.71,177.66,0.37,,6.71,02-Jan-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
02-Jan-2019 - 00:00,413.09,232.86,99.54,83.09,182.63,0.46,,8.95,03-Jan-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
03-Jan-2019 - 00:00,418.64,282.04,87.42,76.9,163.26,0.36,,4.93,04-Jan-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
04-Jan-2019 - 00:00,343.02,201.22,56.07,70.4,126.45,0.36,,4.04,05-Jan-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
05-Jan-2019 - 00:00,377.56,212.14,66.53,71.55,138.09,0.33,,6.19,06-Jan-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
06-Jan-2019 - 00:00,208.32,127.29,31.79,64.79,96.57,0.35,,4.4,07-Jan-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
07-Jan-2019 - 00:00,238.93,143.26,42.49,62.98,105.47,0.44,,4.31,08-Jan-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
08-Jan-2019 - 00:00,223.09,139.21,35.74,59.78,95.52,0.45,,4.66,09-Jan-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
09-Jan-2019 - 00:00,204.73,119.39,34.77,61.15,95.92,0.74,,5.74,10-Jan-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
10-Jan-2019 - 00:00,243.31,121.45,86.95,73.72,159.7,1.24,,9.91,11-Jan-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
11-Jan-2019 - 00:00,412.12,226.43,143.47,97.5,240.36,2.2,,25.11,12-Jan-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
12-Jan-2019 - 00:00,468.55,277.76,123.63,95.83,218.94,4.34,,31.24,13-Jan-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
13-Jan-2019 - 00:00,336.4,207.74,49.68,73.46,123.15,4.77,,27.2,14-Jan-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
14-Jan-2019 - 00:00,134.78,76.17,17.71,57.27,74.97,4.45,,28.67,15-Jan-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
15-Jan-2019 - 00:00,180.39,97.57,34.87,62.62,97.5,4.65,,27.88,16-Jan-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
