from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM2.5,RH,WS,THC,Temp,NH3,SO2,to date,station
01-Jan-2019 - 00:00,,226.73,757.27,65.57,339.31,79.74,103.16,75.93,2.2,-0.05,266.34,56.37,1.83,947.44,17.59,70.52,11.93,02-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Jan-2019 - 00:00,,159.24,757.34,61.21,367.73,89.19,135.9,110.57,0.81,-0.05,330.68,63.11,1.53,552.06,17.15,67.82,17.07,03-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Jan-2019 - 00:00,,295.58,757.7,68.93,296.29,74.57,74.88,44.02,0.42,0.28,338.6,59.93,1.49,78.09,16.82,26.72,10.58,04-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Jan-2019 - 00:00,,201.23,756.98,50.06,540.49,58.16,50.89,24.94,2.3,0.41,263.32,73.4,1.47,,14.83,26.61,4.38,05-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Jan-2019 - 00:00,,136.95,756.23,66.26,527.58,54.36,50.16,26.56,1.73,-0.07,246.39,61.7,1.53,,16.84,45.84,6.27,06-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Jan-2019 - 00:00,,137.76,755.83,54.21,391.2,44.91,36.4,15.64,0.84,-0.29,179.5,68.64,1.48,,17.06,51.7,4.73,07-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Jan-2019 - 00:00,,258.19,756.49,73.52,452.36,53.98,43.87,18.94,0.75,-0.22,165.24,67.16,1.51,,17.13,53.49,6.2,08-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Jan-2019 - 00:00,,321.95,755.53,78.44,376.61,50.98,36.76,12.05,0.59,-0.15,133.22,61.25,1.62,,17.44,42.84,4.7,09-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Jan-2019 - 00:00,,313.93,755.3,89.79,360.45,50.25,33.78,8.82,0.63,-0.19,132.94,50.21,1.89,,17.43,36.39,3.66,10-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Jan-2019 - 00:00,,234.85,755.34,86.55,483.48,53.78,46.04,21.79,0.98,-0.14,154.69,53.24,1.27,,15.59,36.7,4.63,11-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Jan-2019 - 00:00,,148.41,756.03,64.58,803.69,67.21,95.36,74.51,1.94,-0.15,293.38,64.07,0.54,,14.44,43.33,13.39,12-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Jan-2019 - 00:00,,173.44,755.22,62.24,,97.59,169.99,147.59,2.81,-0.24,415.8,62.52,0.72,,14.17,55.53,24.8,13-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Jan-2019 - 00:00,,185.21,756.22,63.21,766.58,74.28,85.83,57.9,1.66,-0.2,318.02,57.05,1.49,960.95,16.14,45.49,21.51,14-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Jan-2019 - 00:00,,330.34,756.46,99.57,281.9,39.14,25.22,5.5,0.65,0.05,82.98,41.04,2.14,797.12,14.11,30.59,6.26,15-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Jan-2019 - 00:00,,301.57,755.86,67.95,406.66,56.1,43.44,16.99,1.02,0.1,128.04,45.37,1.67,869.68,13.73,27.9,5.0,16-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Jan-2019 - 00:00,,154.01,755.88,65.61,845.16,83.24,111.51,84.04,1.69,-0.17,267.0,58.03,0.59,901.17,14.35,32.95,13.11,17-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Jan-2019 - 00:00,,158.02,755.08,75.21,901.85,82.51,103.57,74.6,2.01,-0.17,395.11,57.06,1.16,997.3,15.93,41.34,21.09,18-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Jan-2019 - 00:00,,265.57,755.23,87.37,550.18,70.56,53.89,20.45,1.6,-0.21,216.99,56.61,1.37,832.76,16.01,33.95,9.48,19-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Jan-2019 - 00:00,,242.66,755.17,84.35,869.97,88.78,105.78,73.19,1.53,-0.23,265.86,53.36,1.07,878.74,16.12,31.44,13.35,20-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Jan-2019 - 00:00,,180.27,754.57,73.71,,119.64,179.9,145.33,2.72,-0.22,366.34,56.78,0.73,,18.09,48.3,25.81,21-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Jan-2019 - 00:00,,146.62,753.75,38.03,626.44,58.51,79.16,60.05,1.52,-0.21,212.75,67.39,2.07,677.87,17.21,48.58,22.66,22-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Jan-2019 - 00:00,,126.25,754.92,45.19,238.36,34.79,24.44,7.42,1.04,0.16,44.36,85.55,1.63,571.06,15.48,43.87,5.91,23-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Jan-2019 - 00:00,,163.18,758.54,88.68,431.11,42.46,49.25,32.94,1.41,0.06,142.05,78.2,1.07,762.38,15.8,28.48,7.58,24-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Jan-2019 - 00:00,,82.08,759.39,75.23,270.27,39.01,32.82,14.55,0.96,-0.06,152.63,65.31,1.66,630.99,17.56,21.55,8.08,25-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Jan-2019 - 00:00,,135.15,757.38,92.04,283.96,35.07,22.56,4.48,0.39,0.11,73.11,64.63,2.28,698.82,15.8,16.56,3.82,26-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Jan-2019 - 00:00,,235.55,757.91,106.12,283.48,37.02,23.05,3.82,0.68,0.03,85.41,50.36,2.13,725.77,13.67,14.69,4.25,27-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Jan-2019 - 00:00,,310.86,761.09,74.91,292.47,47.13,29.25,5.7,0.63,0.0,114.55,48.98,2.13,717.45,12.6,16.03,3.49,28-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Jan-2019 - 00:00,,311.87,760.23,107.04,297.19,52.44,33.87,7.2,0.67,0.03,105.8,42.38,2.39,686.67,13.74,16.9,4.17,29-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Jan-2019 - 00:00,,262.74,758.67,105.26,371.65,61.42,43.96,13.82,0.9,-0.01,125.32,42.45,1.9,753.05,14.33,19.73,6.63,30-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Jan-2019 - 00:00,,238.27,757.81,83.85,539.63,88.43,83.03,45.31,1.36,0.13,200.75,43.66,1.41,619.39,14.5,39.83,13.04,31-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-Jan-2019 - 00:00,,148.34,756.99,67.11,545.68,73.79,72.38,42.17,1.34,0.15,254.03,49.8,2.13,622.18,15.31,42.65,28.26,01-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Feb-2019 - 00:00,,210.41,757.74,74.71,358.67,49.51,33.38,9.33,0.89,0.1,177.1,62.42,1.93,783.51,15.75,37.93,14.79,02-Feb-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
