from date,NO,NO2,NOx,Ozone,CO,NH3,PM10,PM2.5,SO2,to date,station
01-Jan-2019 - 00:00,106.0,53.6,114.66,11.54,3.39,59.62,337.67,269.38,12.07,02-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
02-Jan-2019 - 00:00,137.02,62.62,144.07,8.5,3.82,75.74,407.18,324.15,11.38,03-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
03-Jan-2019 - 00:00,66.22,46.85,78.62,11.21,3.32,39.16,436.04,348.8,9.28,04-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
04-Jan-2019 - 00:00,63.2,36.36,70.64,7.76,2.35,37.02,325.96,234.48,6.92,05-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
05-Jan-2019 - 00:00,95.24,44.43,99.5,7.26,2.51,54.73,341.89,248.26,7.69,06-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
06-Jan-2019 - 00:00,33.62,36.52,46.32,8.92,1.45,22.6,221.65,179.0,5.07,07-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
07-Jan-2019 - 00:00,51.32,38.12,61.98,9.92,1.64,32.38,244.69,190.27,7.76,08-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
08-Jan-2019 - 00:00,22.46,32.67,35.61,11.62,1.11,17.08,201.73,155.4,6.65,09-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
09-Jan-2019 - 00:00,19.12,31.99,28.76,13.47,1.07,15.22,185.06,134.38,7.4,10-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
10-Jan-2019 - 00:00,80.53,48.75,86.61,7.99,2.67,45.91,267.79,190.82,6.91,11-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
11-Jan-2019 - 00:00,220.97,76.67,220.43,8.43,4.57,119.73,398.3,301.24,,12-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
12-Jan-2019 - 00:00,203.68,76.8,206.56,8.38,4.39,113.53,366.31,269.11,,13-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
13-Jan-2019 - 00:00,72.13,51.8,85.9,12.24,2.32,47.29,,0.0,,14-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
14-Jan-2019 - 00:00,14.79,32.81,29.11,13.41,0.79,15.88,115.72,35.52,,15-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
15-Jan-2019 - 00:00,48.52,38.69,39.42,12.2,1.43,31.39,173.14,132.22,,16-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
16-Jan-2019 - 00:00,177.83,71.54,182.63,6.75,3.64,99.91,354.89,269.18,,17-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
17-Jan-2019 - 00:00,137.91,58.4,141.72,9.69,3.76,92.5,509.41,393.68,,18-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
18-Jan-2019 - 00:00,74.1,31.73,77.1,11.8,2.08,43.36,330.81,247.58,,19-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
19-Jan-2019 - 00:00,115.18,48.47,119.41,11.8,2.85,67.22,361.7,271.11,,20-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
20-Jan-2019 - 00:00,201.12,68.54,199.96,9.58,4.28,112.42,397.08,306.19,,21-Jan-2019 - 00:00,"ITO, Delhi - CPCB"
